# x0 x1 x2 x3 amplitude sigma
0.619898 0.224505 -0.002220 0.568559 1.000000 1.006726
-0.260905 0.531635 0.739811 0.118632 1.000000 0.557531
-0.149048 -0.570452 -0.435593 -0.376767 1.000000 1.127580
0.321939 0.943553 -0.496136 -0.985875 1.000000 0.632553
-0.269913 0.727683 0.575068 -0.385089 1.000000 0.631085
-0.182606 0.388149 -0.599932 0.492239 1.000000 1.288544
0.202956 0.257063 -0.796399 0.023519 1.000000 1.006686
-0.136999 0.129321 0.492509 -0.994716 1.000000 0.912826
0.813894 0.387964 -0.525917 0.709846 1.000000 1.078009
-0.664336 0.229192 0.473637 0.865432 1.000000 0.988174
-0.578197 -0.958746 -0.013576 -0.381636 1.000000 0.835964
0.620748 0.259970 0.642901 -0.089846 1.000000 0.640816
0.162468 0.210018 0.471829 0.850534 1.000000 1.391442
0.875899 -0.017387 0.708872 -0.756809 1.000000 0.586312
0.130591 -0.521181 0.431992 0.043264 1.000000 1.347512
-0.931980 -0.397211 -0.599229 -0.370311 1.000000 1.029616
