# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 11.270603 0.033752 11.268335 0.031770 11.270523 0.009639 11.267929 0.009568
1.000000 10.736923 0.035275 10.738953 0.034110 10.878559 0.059962 10.877298 0.058874
2.000000 9.859822 0.059306 9.866803 0.060449 9.808875 0.187162 9.810070 0.183484
3.000000 8.329026 0.097763 8.341607 0.103126 7.784516 0.372229 7.789600 0.363781
4.000000 6.135735 0.149609 6.153057 0.158460 4.875925 0.452675 4.884302 0.441915
5.000000 3.944566 0.315739 3.962466 0.318825 2.322627 0.581999 2.327025 0.587355
6.000000 2.364523 0.297385 2.375044 0.292557 1.925416 0.502237 1.930543 0.500022
7.000000 2.028729 0.269076 2.035577 0.266878 1.703483 0.528398 1.715598 0.535813
8.000000 1.865217 0.230534 1.874296 0.230233 1.200104 0.394109 1.200001 0.393877
9.000000 1.434758 0.158725 1.437313 0.155138 1.112614 0.375181 1.106795 0.370990
10.000000 1.192583 0.134380 1.190264 0.130205 1.151205 0.250876 1.147633 0.247294
11.000000 1.138151 0.132874 1.137197 0.133055 1.021793 0.182313 1.023178 0.179312
12.000000 1.159294 0.133089 1.161080 0.134125 0.807460 0.147625 0.812460 0.146704
13.000000 1.163757 0.113459 1.166457 0.114098 0.747154 0.127637 0.753767 0.129555
14.000000 1.080978 0.072896 1.082734 0.073673 0.742341 0.163285 0.748747 0.166348
15.000000 0.909303 0.045472 0.909379 0.046605 0.647788 0.148678 0.652226 0.151933
16.000000 0.714476 0.048672 0.713165 0.049311 0.527279 0.094126 0.528554 0.094832
17.000000 0.584554 0.058976 0.582759 0.059242 0.437608 0.076447 0.436192 0.076503
18.000000 0.564998 0.064079 0.563666 0.065043 0.380814 0.072518 0.378284 0.072003
19.000000 0.608362 0.049780 0.607780 0.051322 0.366144 0.087442 0.363942 0.085536
20.000000 0.608272 0.051253 0.607732 0.052206 0.350261 0.086535 0.349126 0.085496
21.000000 0.520054 0.052171 0.518644 0.052336 0.308421 0.052085 0.308140 0.052250
22.000000 0.403813 0.032365 0.401527 0.032039 0.271680 0.054852 0.271684 0.056155
23.000000 0.327636 0.020887 0.325295 0.021262 0.231319 0.041913 0.231254 0.043076
24.000000 0.304310 0.025324 0.302793 0.025578 0.194915 0.048182 0.194755 0.048786
25.000000 0.311881 0.027940 0.311604 0.027933 0.190749 0.053098 0.190522 0.053337
26.000000 0.324810 0.022470 0.325585 0.022771 0.207400 0.035384 0.206997 0.035490
27.000000 0.326439 0.016990 0.327635 0.017573 0.197915 0.038495 0.197297 0.038887
28.000000 0.310063 0.018836 0.310948 0.019379 0.162349 0.032584 0.161647 0.032828
29.000000 0.276346 0.021679 0.276424 0.022486 0.141057 0.034507 0.140419 0.034433
30.000000 0.232750 0.021450 0.231919 0.022477 0.137188 0.023792 0.136669 0.023873
31.000000 0.193032 0.017386 0.191508 0.018371 0.132612 0.014459 0.132159 0.014947
32.000000 0.169856 0.013497 0.167966 0.014352 0.129379 0.022788 0.128898 0.023119
33.000000 0.164101 0.011542 0.162093 0.012161 0.127805 0.021057 0.127272 0.021249
34.000000 0.164762 0.009705 0.162724 0.009905 0.115464 0.020584 0.114919 0.020487
35.000000 0.160621 0.009992 0.158541 0.009924 0.097083 0.011877 0.096519 0.011734
36.000000 0.149300 0.009090 0.147200 0.008981 0.089893 0.015219 0.089257 0.015180
37.000000 0.135327 0.007896 0.133303 0.007620 0.095010 0.008635 0.094296 0.008427
38.000000 0.123114 0.007856 0.121255 0.007255 0.097899 0.015229 0.097156 0.015161
39.000000 0.113758 0.008960 0.112080 0.008275 0.089992 0.010118 0.089261 0.010133
40.000000 0.106368 0.009748 0.104813 0.009195 0.080192 0.005725 0.079474 0.005666
41.000000 0.099962 0.008955 0.098457 0.008600 0.076564 0.007923 0.075842 0.007844
42.000000 0.094206 0.007536 0.092722 0.007423 0.075465 0.008840 0.074726 0.008745
43.000000 0.088907 0.006793 0.087479 0.006773 0.073440 0.009300 0.072683 0.009266
44.000000 0.083323 0.006081 0.082028 0.006008 0.072274 0.007550 0.071516 0.007605
45.000000 0.077024 0.004813 0.075920 0.004705 0.070782 0.004211 0.070031 0.004338
46.000000 0.071035 0.004918 0.070116 0.004808 0.065751 0.003775 0.064998 0.003780
47.000000 0.066597 0.005490 0.065803 0.005363 0.060260 0.005681 0.059506 0.005624
48.000000 0.063372 0.004675 0.062644 0.004530 0.058096 0.005538 0.057370 0.005545
49.000000 0.060208 0.003637 0.059520 0.003494 0.057641 0.005691 0.056971 0.005686
50.000000 0.056915 0.003277 0.056258 0.003197 0.056524 0.004000 0.055894 0.003847
51.000000 0.053995 0.002888 0.053353 0.002891 0.054401 0.003845 0.053769 0.003753
52.000000 0.051329 0.002517 0.050674 0.002512 0.051701 0.003676 0.051045 0.003700
53.000000 0.048509 0.003035 0.047824 0.002976 0.049418 0.003422 0.048745 0.003458
54.000000 0.045874 0.003135 0.045157 0.003075 0.048458 0.003953 0.047786 0.003941
55.000000 0.043984 0.002434 0.043247 0.002381 0.047793 0.004058 0.047136 0.003981
56.000000 0.042590 0.002243 0.041852 0.002210 0.046012 0.003521 0.045371 0.003483
57.000000 0.041096 0.002583 0.040377 0.002580 0.043996 0.003317 0.043360 0.003354
58.000000 0.039422 0.002449 0.038737 0.002432 0.043069 0.003078 0.042427 0.003091
59.000000 0.037747 0.002140 0.037109 0.002085 0.042649 0.002998 0.042003 0.002933
60.000000 0.036111 0.002196 0.035538 0.002112 0.041512 0.003224 0.040869 0.003150
61.000000 0.034639 0.002317 0.034154 0.002214 0.039978 0.002763 0.039342 0.002731
62.000000 0.033554 0.001959 0.033164 0.001874 0.039052 0.002159 0.038421 0.002134
63.000000 0.032808 0.001534 0.032500 0.001529 0.038555 0.001956 0.037930 0.001945
64.000000 0.032101 0.001648 0.031842 0.001700 0.037754 0.002317 0.037137 0.002314
65.000000 0.031238 0.001803 0.030992 0.001832 0.036663 0.002403 0.036055 0.002385
66.000000 0.030234 0.001882 0.029969 0.001857 0.035654 0.002201 0.035050 0.002178
67.000000 0.029217 0.001812 0.028914 0.001756 0.034851 0.001972 0.034247 0.001967
68.000000 0.028361 0.001617 0.028016 0.001562 0.034274 0.002072 0.033667 0.002062
69.000000 0.027711 0.001453 0.027336 0.001407 0.033861 0.002015 0.033248 0.001985
