# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 11.278753 0.028209 11.275496 0.027268 11.265100 0.009097 11.262576 0.008909
1.000000 9.888817 0.095992 9.892852 0.095263 9.952004 0.116214 9.952877 0.114254
2.000000 6.493722 0.214949 6.505873 0.213624 5.048671 0.280670 5.055257 0.276253
3.000000 2.699571 0.452856 2.712679 0.454061 2.141864 0.462618 2.143800 0.456975
4.000000 3.724698 0.821202 3.745377 0.825737 1.760723 0.803666 1.764550 0.807132
5.000000 1.851455 0.384521 1.848519 0.379330 1.482405 0.290011 1.473239 0.288143
6.000000 1.110326 0.089973 1.115574 0.087740 1.656193 0.200713 1.649592 0.197099
7.000000 1.444158 0.196175 1.455271 0.195208 1.035823 0.240231 1.039089 0.238702
8.000000 1.637961 0.262691 1.649384 0.262857 0.943931 0.071355 0.949589 0.070431
9.000000 1.487415 0.279281 1.495839 0.279948 0.750957 0.188857 0.755435 0.190957
10.000000 1.133614 0.266144 1.138142 0.267238 0.510419 0.132723 0.509828 0.133720
11.000000 0.774250 0.211947 0.775940 0.213372 0.545725 0.074449 0.541716 0.074838
12.000000 0.557940 0.146508 0.558186 0.147336 0.450920 0.114255 0.447750 0.114445
13.000000 0.503269 0.084009 0.502824 0.082633 0.336765 0.090459 0.336043 0.091552
14.000000 0.519101 0.039802 0.518002 0.038500 0.302466 0.057610 0.302654 0.058070
15.000000 0.484249 0.088478 0.481895 0.088859 0.264370 0.065611 0.263717 0.066246
16.000000 0.383837 0.099133 0.380661 0.098667 0.273916 0.077060 0.272677 0.077547
17.000000 0.300502 0.085544 0.297962 0.084474 0.251516 0.045977 0.250383 0.046056
18.000000 0.274059 0.074247 0.273335 0.073442 0.207633 0.044069 0.206974 0.044288
19.000000 0.276476 0.039961 0.277548 0.040542 0.171548 0.022910 0.171224 0.023073
20.000000 0.280167 0.037900 0.281922 0.038165 0.185447 0.044499 0.185261 0.044150
21.000000 0.274947 0.047665 0.276067 0.047311 0.172615 0.046829 0.172421 0.046740
22.000000 0.254152 0.049872 0.254028 0.049501 0.148529 0.022818 0.148112 0.023164
23.000000 0.215264 0.051375 0.214294 0.050805 0.121719 0.019661 0.121369 0.019967
24.000000 0.171809 0.043683 0.170753 0.042807 0.123420 0.022862 0.123162 0.022977
25.000000 0.147422 0.030898 0.146566 0.030031 0.131755 0.030454 0.131165 0.030385
26.000000 0.146203 0.017952 0.145379 0.017705 0.126200 0.017728 0.125366 0.017503
27.000000 0.147454 0.007731 0.146559 0.007678 0.092630 0.011132 0.091983 0.011044
28.000000 0.138414 0.018166 0.137536 0.017942 0.088589 0.010724 0.087977 0.010811
29.000000 0.124022 0.017421 0.123229 0.017047 0.099298 0.012432 0.098536 0.012409
30.000000 0.111650 0.014507 0.110989 0.013807 0.089608 0.015794 0.088889 0.015827
31.000000 0.103950 0.017840 0.103547 0.017451 0.078689 0.007371 0.078193 0.007356
32.000000 0.099848 0.012540 0.099792 0.012456 0.070290 0.011392 0.069892 0.011653
33.000000 0.096163 0.007053 0.096384 0.007068 0.067747 0.005343 0.067248 0.005265
34.000000 0.089872 0.009927 0.090184 0.009942 0.067712 0.010484 0.067099 0.010286
35.000000 0.081439 0.010803 0.081681 0.010882 0.067135 0.007848 0.066439 0.007751
36.000000 0.073341 0.010811 0.073477 0.010813 0.056415 0.006373 0.055761 0.006373
37.000000 0.066787 0.012081 0.066891 0.011990 0.053061 0.004437 0.052535 0.004530
38.000000 0.062875 0.010247 0.063017 0.010150 0.055804 0.008198 0.055344 0.008285
39.000000 0.061494 0.005008 0.061684 0.005010 0.052213 0.008509 0.051744 0.008458
40.000000 0.059331 0.005679 0.059552 0.005742 0.048902 0.004606 0.048368 0.004566
41.000000 0.053937 0.005926 0.054166 0.005965 0.044430 0.005771 0.043815 0.005796
42.000000 0.047634 0.006186 0.047842 0.006238 0.043212 0.004841 0.042523 0.004686
43.000000 0.043694 0.007307 0.043876 0.007376 0.040784 0.005778 0.040091 0.005617
44.000000 0.042050 0.006264 0.042229 0.006287 0.039706 0.005044 0.039042 0.005066
45.000000 0.041057 0.004348 0.041245 0.004318 0.037417 0.003780 0.036753 0.003856
46.000000 0.039534 0.003790 0.039737 0.003788 0.036199 0.004568 0.035521 0.004466
47.000000 0.037069 0.003798 0.037292 0.003702 0.034288 0.004194 0.033627 0.004092
48.000000 0.034361 0.004479 0.034583 0.004326 0.032991 0.004526 0.032338 0.004409
49.000000 0.032593 0.005105 0.032779 0.004991 0.031921 0.003163 0.031244 0.003081
50.000000 0.031436 0.004452 0.031579 0.004354 0.030654 0.003558 0.029987 0.003413
51.000000 0.030047 0.003481 0.030154 0.003430 0.029622 0.003862 0.029013 0.003707
52.000000 0.028654 0.003028 0.028740 0.002990 0.028702 0.003753 0.028126 0.003656
53.000000 0.027055 0.003240 0.027143 0.003145 0.027358 0.003252 0.026783 0.003159
54.000000 0.025419 0.003910 0.025532 0.003831 0.027237 0.003137 0.026672 0.003028
55.000000 0.024425 0.004070 0.024562 0.004052 0.026013 0.003370 0.025458 0.003249
56.000000 0.023858 0.003594 0.024003 0.003606 0.024930 0.003145 0.024369 0.003012
57.000000 0.023122 0.002957 0.023264 0.002959 0.023893 0.002968 0.023324 0.002815
58.000000 0.021950 0.002866 0.022097 0.002850 0.024001 0.002918 0.023442 0.002775
59.000000 0.020798 0.003410 0.020963 0.003405 0.022959 0.003016 0.022430 0.002863
60.000000 0.019908 0.003612 0.020096 0.003613 0.021923 0.003046 0.021416 0.002898
61.000000 0.019258 0.003265 0.019465 0.003258 0.021450 0.002833 0.020950 0.002676
62.000000 0.018834 0.002805 0.019041 0.002817 0.021127 0.002918 0.020633 0.002771
63.000000 0.018026 0.002685 0.018214 0.002711 0.020435 0.002863 0.019948 0.002723
64.000000 0.017021 0.002900 0.017191 0.002926 0.019680 0.002885 0.019194 0.002714
65.000000 0.016482 0.003042 0.016639 0.003065 0.019299 0.002837 0.018828 0.002656
66.000000 0.016150 0.002908 0.016296 0.002918 0.018868 0.002871 0.018417 0.002691
67.000000 0.015770 0.002649 0.015908 0.002650 0.018284 0.002783 0.017849 0.002610
68.000000 0.015227 0.002537 0.015365 0.002533 0.017834 0.002923 0.017413 0.002767
69.000000 0.014485 0.002670 0.014625 0.002667 0.017395 0.002816 0.016983 0.002665
70.000000 0.013960 0.002777 0.014100 0.002775 0.016814 0.002800 0.016408 0.002637
71.000000 0.013646 0.002652 0.013786 0.002650 0.016477 0.002860 0.016077 0.002690
72.000000 0.013388 0.002459 0.013526 0.002466 0.016027 0.002812 0.015633 0.002631
73.000000 0.013055 0.002396 0.013191 0.002419 0.015649 0.002795 0.015260 0.002617
74.000000 0.012558 0.002442 0.012693 0.002482 0.015260 0.002848 0.014885 0.002676
75.000000 0.012139 0.002501 0.012278 0.002552 0.014908 0.002854 0.014555 0.002690
76.000000 0.011886 0.002439 0.012029 0.002492 0.014605 0.002845 0.014265 0.002681
77.000000 0.011661 0.002302 0.011803 0.002354 0.014185 0.002860 0.013850 0.002686
78.000000 0.011345 0.002233 0.011482 0.002285 0.013802 0.002841 0.013470 0.002672
79.000000 0.010961 0.002256 0.011096 0.002302 0.013591 0.002843 0.013266 0.002677
80.000000 0.010651 0.002265 0.010781 0.002300 0.013247 0.002860 0.012932 0.002692
81.000000 0.010440 0.002203 0.010559 0.002232 0.012892 0.002821 0.012593 0.002657
82.000000 0.010247 0.002124 0.010353 0.002151 0.012612 0.002819 0.012333 0.002657
83.000000 0.009980 0.002104 0.010078 0.002131 0.012348 0.002831 0.012079 0.002668
84.000000 0.009701 0.002105 0.009794 0.002130 0.012015 0.002801 0.011750 0.002639
85.000000 0.009477 0.002074 0.009566 0.002100 0.011758 0.002798 0.011496 0.002637
86.000000 0.009290 0.002011 0.009374 0.002041 0.011490 0.002777 0.011237 0.002617
87.000000 0.009108 0.001965 0.009192 0.002001 0.011233 0.002773 0.010992 0.002614
88.000000 0.008890 0.001944 0.008975 0.001984 0.010970 0.002745 0.010737 0.002592
89.000000 0.008673 0.001921 0.008756 0.001960 0.010702 0.002721 0.010477 0.002575
90.000000 0.008493 0.001890 0.008575 0.001924 0.010472 0.002712 0.010256 0.002567
91.000000 0.008333 0.001847 0.008413 0.001878 0.010231 0.002690 0.010022 0.002543
92.000000 0.008159 0.001809 0.008241 0.001840 0.009987 0.002658 0.009784 0.002514
93.000000 0.007977 0.001785 0.008061 0.001817 0.009770 0.002629 0.009574 0.002491
94.000000 0.007811 0.001757 0.007896 0.001788 0.009548 0.002613 0.009365 0.002478
95.000000 0.007664 0.001722 0.007747 0.001752 0.009332 0.002581 0.009161 0.002449
96.000000 0.007516 0.001687 0.007595 0.001719 0.009104 0.002555 0.008939 0.002426
97.000000 0.007359 0.001657 0.007433 0.001691 0.008914 0.002521 0.008752 0.002397
98.000000 0.007213 0.001634 0.007283 0.001668 0.008709 0.002502 0.008554 0.002381
99.000000 0.007077 0.001603 0.007145 0.001634 0.008504 0.002461 0.008358 0.002344
100.000000 0.006945 0.001569 0.007013 0.001599 0.008317 0.002432 0.008180 0.002318
101.000000 0.006812 0.001538 0.006881 0.001570 0.008128 0.002401 0.007999 0.002290
102.000000 0.006684 0.001513 0.006754 0.001548 0.007943 0.002366 0.007820 0.002259
103.000000 0.006560 0.001484 0.006632 0.001519 0.007765 0.002338 0.007647 0.002235
104.000000 0.006443 0.001456 0.006515 0.001489 0.007594 0.002301 0.007483 0.002203
105.000000 0.006325 0.001426 0.006395 0.001458 0.007420 0.002274 0.007319 0.002180
106.000000 0.006209 0.001399 0.006277 0.001430 0.007258 0.002241 0.007163 0.002150
107.000000 0.006099 0.001371 0.006166 0.001401 0.007099 0.002210 0.007008 0.002121
108.000000 0.005992 0.001342 0.006059 0.001371 0.006944 0.002180 0.006858 0.002094
109.000000 0.005889 0.001315 0.005953 0.001345 0.006795 0.002150 0.006713 0.002066
110.000000 0.005786 0.001289 0.005849 0.001320 0.006646 0.002116 0.006569 0.002037
111.000000 0.005688 0.001263 0.005750 0.001295 0.006507 0.002088 0.006435 0.002012
112.000000 0.005593 0.001236 0.005654 0.001267 0.006368 0.002060 0.006301 0.001985
113.000000 0.005498 0.001210 0.005557 0.001241 0.006234 0.002027 0.006171 0.001954
114.000000 0.005406 0.001183 0.005462 0.001213 0.006106 0.002002 0.006046 0.001933
115.000000 0.005317 0.001158 0.005373 0.001187 0.005979 0.001971 0.005922 0.001906
116.000000 0.005232 0.001133 0.005287 0.001162 0.005856 0.001942 0.005802 0.001878
117.000000 0.005147 0.001109 0.005202 0.001137 0.005738 0.001915 0.005687 0.001853
118.000000 0.005065 0.001084 0.005119 0.001112 0.005622 0.001885 0.005573 0.001824
119.000000 0.004985 0.001059 0.005039 0.001086 0.005510 0.001859 0.005464 0.001799
120.000000 0.004907 0.001035 0.004960 0.001062 0.005401 0.001831 0.005357 0.001774
121.000000 0.004831 0.001011 0.004882 0.001038 0.005295 0.001803 0.005254 0.001747
122.000000 0.004757 0.000988 0.004808 0.001015 0.005192 0.001777 0.005153 0.001722
123.000000 0.004685 0.000965 0.004735 0.000992 0.005092 0.001750 0.005055 0.001695
124.000000 0.004615 0.000943 0.004664 0.000969 0.004995 0.001723 0.004958 0.001670
125.000000 0.004546 0.000921 0.004594 0.000946 0.004902 0.001698 0.004867 0.001645
126.000000 0.004479 0.000898 0.004527 0.000923 0.004813 0.001671 0.004779 0.001621
127.000000 0.004414 0.000876 0.004461 0.000900 0.004732 0.001647 0.004700 0.001599
128.000000 0.004351 0.000855 0.004396 0.000879 0.004667 0.001628 0.004635 0.001582
129.000000 0.004289 0.000835 0.004333 0.000858 0.004639 0.001629 0.004612 0.001584
