# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
0.226210 -0.895855 -0.383987 -0.935784 -0.181590 0.657575 -0.567048 0.937818 -0.979251 -0.316995 1.000000 1.191987
-0.220643 0.583759 -0.843443 0.981268 0.445671 -0.439167 -0.062542 0.202483 -0.510768 0.875505 1.000000 0.985035
0.001557 0.023174 0.747519 -0.918106 -0.262538 -0.016371 -0.117752 -0.652389 0.720882 0.878715 1.000000 0.529139
-0.855685 -0.595987 -0.019083 -0.172035 0.929771 0.191169 0.624614 -0.336276 -0.333276 -0.538050 1.000000 1.069966
0.515370 -0.538518 -0.077482 -0.636773 -0.289672 0.903298 0.956158 -0.797807 -0.532224 0.965374 1.000000 1.346304
0.740617 -0.712170 -0.407097 0.841379 0.267697 -0.398307 -0.454529 0.731497 0.358678 -0.482133 1.000000 1.492168
0.480398 0.124159 0.639630 0.874452 0.429843 0.606597 -0.014685 0.300034 0.165798 0.752978 1.000000 0.694407
-0.882591 -0.523358 -0.153748 -0.898040 -0.420065 0.672448 -0.111268 0.486626 -0.647951 -0.727021 1.000000 1.009139
0.732459 0.285993 -0.905504 -0.529083 -0.936460 -0.082861 -0.562757 0.185196 -0.253617 -0.845526 1.000000 0.573250
-0.637013 -0.315373 -0.052374 0.476979 0.298726 0.342815 -0.613115 -0.880880 -0.836715 -0.619835 1.000000 0.648502
-0.367961 -0.473730 -0.681394 0.509289 -0.527418 0.995178 0.967298 0.489674 0.391798 -0.294360 1.000000 0.940576
-0.370630 0.993299 0.766525 -0.950595 0.913354 0.805677 0.533732 0.884029 0.967623 0.080451 1.000000 1.095663
-0.492256 -0.157386 -0.206364 0.642275 0.815859 0.851187 0.005539 0.724722 0.872630 -0.612856 1.000000 1.440673
-0.620315 0.795699 -0.555693 0.348074 0.117779 -0.400746 -0.635112 0.533160 -0.407252 0.363475 1.000000 0.991672
0.502233 -0.487471 -0.461799 -0.154056 -0.098201 0.266950 -0.495106 0.439558 -0.555101 0.810118 1.000000 0.995189
0.076704 0.757899 -0.307527 0.024572 -0.542235 -0.970610 0.410450 0.818805 0.695959 -0.391246 1.000000 1.240904
-0.488473 0.882576 0.748978 -0.597122 -0.428718 -0.593694 0.067462 0.404588 0.034325 0.480417 1.000000 1.282397
-0.848125 0.865750 -0.593725 0.646650 -0.762159 -0.241433 0.882817 0.188207 -0.251655 -0.944143 1.000000 1.116647
-0.754131 0.583993 -0.587524 0.354446 0.226543 -0.571143 -0.745829 -0.475942 -0.669129 0.553837 1.000000 1.152153
-0.436734 0.261708 0.694977 0.332442 0.221091 0.769143 -0.014767 0.069483 0.818751 0.204418 1.000000 0.871392
0.553975 0.098910 -0.462438 -0.567866 0.238285 0.482966 -0.319195 0.209126 0.376528 -0.349499 1.000000 1.151666
0.695127 -0.127530 0.603507 0.311187 0.663710 -0.703405 0.318125 -0.934812 0.182119 -0.279004 1.000000 1.290123
-0.806077 0.587524 -0.797505 -0.171904 -0.958854 -0.579752 -0.282512 -0.508033 0.928005 0.210045 1.000000 1.468824
-0.655932 0.322434 0.239661 0.918946 -0.052005 0.559137 -0.549795 -0.950696 -0.708333 -0.375847 1.000000 1.404081
0.094379 0.364340 0.456590 -0.770923 0.631945 -0.150249 0.127503 -0.407959 0.904999 0.578352 1.000000 0.781873
-0.497427 0.747831 -0.229742 -0.443360 0.939111 0.895901 0.929718 0.922393 0.249525 0.326090 1.000000 1.039009
0.363411 -0.326574 0.893716 -0.066820 0.515695 0.035310 0.535854 0.280602 -0.901040 0.575376 1.000000 1.190914
0.407320 0.217921 0.786447 -0.862184 0.946214 0.895692 -0.128086 0.497139 -0.326606 -0.867141 1.000000 1.200081
0.327530 -0.762547 -0.441339 -0.137757 -0.426599 -0.689666 -0.675124 0.317737 0.825381 0.881185 1.000000 1.341588
