# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
-0.453131 0.610994 -0.752124 -0.381740 0.504153 0.235652 0.314238 0.025635 1.000000 0.927324
0.465099 -0.364999 0.710545 0.555954 -0.288988 0.753743 -0.002968 0.126518 1.000000 0.984891
-0.505044 -0.246416 -0.203635 0.967962 0.552239 0.644952 -0.187460 -0.077775 1.000000 0.545726
-0.277406 -0.207503 -0.090662 0.030379 0.061783 -0.924898 0.353314 0.114821 1.000000 1.081708
0.707127 -0.237939 0.023778 0.727521 -0.292018 -0.431827 0.659157 -0.468210 1.000000 1.384905
-0.569148 0.879206 -0.314412 0.641705 -0.117758 -0.077061 0.242816 0.058665 1.000000 1.123812
0.706037 0.228892 -0.605268 -0.460053 -0.906229 0.524337 0.192173 0.016409 1.000000 0.671896
0.436238 0.281087 -0.773356 0.148311 0.187326 -0.544665 0.285310 -0.482329 1.000000 1.168464
-0.401636 -0.152310 -0.669611 0.234408 -0.635233 -0.185215 -0.562274 -0.939417 1.000000 0.951750
-0.640450 0.964891 -0.822382 0.124930 -0.826429 -0.334086 0.466840 -0.075184 1.000000 0.754886
-0.789776 -0.549963 -0.514868 -0.165362 -0.684259 0.767698 -0.729774 -0.912867 1.000000 1.435902
0.045602 0.224541 -0.706948 0.646485 0.041570 -0.432187 -0.522398 -0.951301 1.000000 0.965469
-0.062149 -0.357324 -0.429047 0.499041 -0.224981 0.676489 0.946775 0.438035 1.000000 0.828859
-0.863232 -0.808541 -0.804530 -0.190448 0.080478 0.699103 -0.556388 0.120853 1.000000 0.731416
-0.980801 -0.810348 -0.083216 0.240850 0.892275 -0.856502 0.603081 -0.194782 1.000000 0.515791
-0.546649 0.728660 0.957958 -0.112977 -0.901288 0.240203 0.708204 0.426420 1.000000 0.697195
0.677129 -0.361440 -0.107953 -0.013628 0.633692 0.190608 -0.829539 -0.203751 1.000000 1.254270
0.227585 -0.201158 -0.407954 0.318690 -0.217837 0.125906 -0.417441 -0.314294 1.000000 0.801290
-0.093370 0.810058 -0.361135 0.067305 -0.498041 0.354722 -0.835008 -0.166538 1.000000 1.191815
0.461964 0.888019 0.990061 0.601066 -0.111919 0.770626 0.272379 0.451614 1.000000 1.065257
-0.181290 0.779243 0.288909 -0.058644 0.042052 -0.362971 0.688409 0.250544 1.000000 0.759608
-0.383138 -0.175751 0.908597 0.816438 -0.692686 -0.844329 -0.369937 0.451619 1.000000 0.976494
-0.806646 0.926545 0.375470 0.395134 -0.387036 0.614073 -0.069542 0.463039 1.000000 1.174818
-0.257934 0.140437 -0.208059 0.740877 0.492694 0.474234 0.033262 0.686909 1.000000 0.945562
-0.743262 0.092807 0.096665 0.040172 0.755374 0.962472 0.341515 -0.303077 1.000000 0.759232
0.256319 -0.070954 -0.156446 -0.173860 0.848930 -0.592678 0.272141 0.713006 1.000000 0.794841
0.483589 0.313991 0.389292 0.467717 0.364725 0.198238 0.660262 0.292824 1.000000 0.954750
-0.118830 0.834044 -0.489473 -0.637264 0.299931 0.769440 0.612039 0.513041 1.000000 0.741600
0.024788 -0.496400 0.435363 -0.327191 0.517821 0.675224 0.862425 0.952357 1.000000 0.856730
-0.238065 -0.989222 -0.136281 0.962738 0.574879 0.971311 -0.636527 0.545163 1.000000 1.016538
0.196854 -0.986286 -0.416577 -0.560780 0.948913 0.168705 0.416800 -0.584333 1.000000 1.174545
0.718449 0.199024 0.545565 0.586267 0.645926 -0.494188 0.642200 0.213359 1.000000 0.686510
0.930408 0.616688 0.964620 -0.289824 0.333520 0.136237 0.811208 0.540839 1.000000 1.099473
0.526541 0.534238 -0.357938 0.021452 0.537859 -0.771168 0.541135 -0.268940 1.000000 0.762192
0.340695 0.120009 0.057924 -0.776495 0.530146 0.605138 0.225040 -0.166960 1.000000 0.980606
0.400363 -0.271650 0.463149 -0.394436 0.011749 -0.242623 -0.754884 -0.513033 1.000000 1.137723
0.527069 -0.548619 0.147286 -0.983841 0.205422 0.681900 0.008132 -0.922889 1.000000 0.972164
0.866146 -0.975568 0.538580 0.496830 0.818163 0.762677 0.343128 0.970278 1.000000 0.561317
0.728263 -0.037579 0.824216 0.430511 -0.224328 -0.032272 -0.597761 -0.533659 1.000000 1.284524
-0.968186 0.442335 -0.561880 0.454625 -0.084507 -0.165530 0.937328 -0.855098 1.000000 0.648867
0.424454 0.071636 0.179150 0.396577 -0.490191 -0.254460 -0.087971 -0.881798 1.000000 0.677665
0.652215 -0.016211 -0.335170 0.332694 0.493365 0.363715 0.239293 -0.678931 1.000000 1.325485
-0.216911 0.339287 0.854444 0.087660 -0.438596 -0.742745 0.041097 0.290917 1.000000 1.093610
-0.203276 -0.507528 -0.209893 0.083353 0.088076 -0.536777 -0.615199 0.422034 1.000000 0.700423
0.267707 0.564395 0.638218 -0.985108 -0.817126 -0.157581 0.917420 0.500859 1.000000 0.724196
0.340628 0.397787 -0.305063 -0.952003 -0.954418 0.030269 0.622885 -0.318481 1.000000 0.603952
0.760622 0.665395 -0.447154 -0.468298 0.926139 0.045280 -0.615942 -0.737557 1.000000 1.174278
0.831483 0.596650 0.536420 0.605959 0.950284 0.196363 -0.155066 0.741898 1.000000 1.177432
-0.016339 -0.285468 0.417808 0.972784 0.904299 -0.344075 0.951480 0.103539 1.000000 1.403879
-0.568347 -0.023608 0.836973 -0.477257 -0.801388 -0.180625 -0.855051 -0.201068 1.000000 0.686879
0.039386 0.944825 0.831774 0.172585 -0.785859 0.792044 0.158006 0.243848 1.000000 1.431109
0.298364 -0.262846 -0.561678 -0.678734 -0.017918 -0.061482 -0.363724 0.985163 1.000000 0.728016
0.133080 -0.796094 -0.381957 0.813881 0.314026 0.463414 0.761798 0.785546 1.000000 0.649201
-0.324837 -0.716253 -0.366628 0.361787 0.005237 -0.423226 -0.029215 0.219135 1.000000 0.953445
-0.783800 -0.517703 -0.116777 0.494619 -0.838973 0.619926 0.423575 -0.522796 1.000000 1.030635
-0.806666 -0.157709 -0.883378 -0.979639 0.585729 -0.293527 0.729467 -0.691405 1.000000 0.860084
-0.305212 -0.963908 -0.772816 -0.655359 0.031457 0.318244 0.184110 0.257363 1.000000 1.377850
-0.958572 0.101277 0.869326 -0.295625 0.028503 -0.685614 -0.554441 0.862795 1.000000 1.019149
-0.520301 -0.025359 0.617888 -0.855941 0.926917 -0.493721 -0.254919 -0.948006 1.000000 1.006023
