# x0 x1 x2 x3 x4 amplitude sigma
-0.038619 0.786254 0.779601 -0.661354 -0.892628 1.000000 1.408584
0.839998 0.703546 -0.886652 0.962963 -0.535904 1.000000 0.757972
-0.603917 0.990719 0.089400 0.177092 -0.243499 1.000000 1.377655
0.418862 0.210538 -0.905006 -0.758428 0.304204 1.000000 1.238965
-0.555444 -0.710138 -0.588376 0.720108 0.806358 1.000000 1.198077
-0.631147 0.812814 0.298267 0.770531 -0.447489 1.000000 1.017209
0.980293 -0.651591 -0.950678 -0.300639 0.967010 1.000000 1.452110
0.999646 0.848610 0.791831 -0.798438 -0.008795 1.000000 1.413645
-0.299702 -0.207361 0.913424 0.454742 0.086417 1.000000 0.578174
0.962169 -0.492495 0.752723 -0.931441 0.679672 1.000000 1.282321
-0.113199 -0.434895 0.197482 -0.172028 0.959670 1.000000 0.613665
0.178768 -0.545568 -0.683993 0.656752 0.100221 1.000000 1.140850
-0.976738 0.708985 0.174524 0.338012 -0.286412 1.000000 0.579763
-0.684998 0.617758 -0.819584 0.364534 0.223605 1.000000 0.731966
0.150753 -0.095025 0.010605 0.046704 0.855351 1.000000 0.885952
0.364789 0.719549 0.944831 0.125291 -0.360626 1.000000 0.736735
-0.626892 0.365424 -0.288371 -0.058387 -0.512643 1.000000 1.498383
-0.076545 -0.791562 -0.555536 -0.961124 -0.669838 1.000000 0.889341
0.406446 -0.597156 0.098347 -0.285373 0.780049 1.000000 1.223837
-0.407842 -0.245827 -0.769154 -0.144933 -0.174258 1.000000 0.951746
0.621563 -0.664501 -0.255819 0.385497 -0.199413 1.000000 0.976873
-0.114251 0.425433 -0.419535 0.414107 -0.122763 1.000000 1.045264
0.444999 0.709684 0.830804 -0.759448 0.983721 1.000000 0.932795
0.052581 0.747533 0.498417 -0.200213 0.024586 1.000000 1.089706
-0.345820 -0.413681 0.753949 0.852033 -0.168070 1.000000 0.604971
-0.139005 0.776691 0.366097 0.365469 0.541709 1.000000 1.361102
-0.060101 -0.029748 -0.034613 -0.772220 -0.847223 1.000000 0.808035
-0.014864 -0.608531 -0.511545 -0.781821 0.528496 1.000000 0.986714
0.054199 -0.575997 -0.916871 -0.279763 -0.383540 1.000000 0.710081
0.092468 -0.243985 -0.073364 -0.059220 0.367284 1.000000 1.120088
-0.758943 0.892502 0.226761 0.726756 0.564566 1.000000 0.841338
-0.166410 0.475289 0.114995 -0.949972 0.905457 1.000000 0.994563
-0.451985 0.658482 -0.807545 -0.947417 -0.451427 1.000000 0.807299
0.627657 0.425038 0.691166 -0.319190 0.818990 1.000000 0.917606
0.204334 -0.296469 -0.780449 -0.307257 0.763983 1.000000 1.260172
-0.997110 -0.772102 -0.151412 -0.175520 0.234491 1.000000 0.540941
-0.829198 -0.834773 -0.938269 0.374216 -0.765320 1.000000 0.999867
0.878877 -0.395825 0.765901 -0.932016 0.599593 1.000000 1.312694
