# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.001786 0.000306 0.001789 0.000307 0.000313 0.000014 0.000315 0.000014
1.000000 0.011205 0.005035 0.011164 0.005027 0.003117 0.001531 0.003115 0.001527
2.000000 0.024387 0.005175 0.024297 0.005255 0.020092 0.004923 0.020063 0.004919
3.000000 0.018574 0.003908 0.018511 0.003804 0.001558 0.000209 0.001560 0.000209
4.000000 0.001054 0.000493 0.001055 0.000486 0.000310 0.000039 0.000313 0.000039
5.000000 0.003714 0.000957 0.003711 0.000961 0.000279 0.000027 0.000281 0.000027
6.000000 0.006258 0.001358 0.006268 0.001372 0.000536 0.000109 0.000539 0.000109
7.000000 0.002483 0.000564 0.002496 0.000569 0.000692 0.000141 0.000695 0.000141
8.000000 0.001468 0.000368 0.001459 0.000371 0.000510 0.000104 0.000513 0.000104
9.000000 0.003399 0.000967 0.003388 0.000976 0.000370 0.000083 0.000373 0.000084
10.000000 0.001860 0.000345 0.001864 0.000344 0.000438 0.000102 0.000442 0.000103
11.000000 0.001047 0.000384 0.001046 0.000393 0.000483 0.000119 0.000487 0.000119
12.000000 0.001525 0.000603 0.001519 0.000606 0.000405 0.000082 0.000408 0.000082
13.000000 0.001564 0.000284 0.001564 0.000285 0.000330 0.000066 0.000333 0.000066
14.000000 0.001228 0.000349 0.001232 0.000345 0.000320 0.000051 0.000322 0.000051
15.000000 0.001028 0.000262 0.001035 0.000263 0.000312 0.000068 0.000315 0.000068
16.000000 0.000952 0.000399 0.000953 0.000398 0.000272 0.000038 0.000274 0.000037
17.000000 0.000764 0.000199 0.000765 0.000195 0.000240 0.000024 0.000242 0.000024
18.000000 0.000678 0.000196 0.000681 0.000194 0.000229 0.000039 0.000231 0.000039
19.000000 0.000662 0.000168 0.000664 0.000166 0.000211 0.000033 0.000213 0.000034
20.000000 0.000576 0.000071 0.000579 0.000069 0.000190 0.000033 0.000193 0.000033
21.000000 0.000491 0.000085 0.000495 0.000088 0.000176 0.000037 0.000178 0.000037
22.000000 0.000443 0.000073 0.000445 0.000073 0.000154 0.000022 0.000156 0.000021
23.000000 0.000410 0.000097 0.000412 0.000098 0.000135 0.000018 0.000137 0.000018
24.000000 0.000386 0.000058 0.000388 0.000058 0.000131 0.000027 0.000133 0.000027
25.000000 0.000356 0.000042 0.000358 0.000044 0.000126 0.000024 0.000128 0.000024
26.000000 0.000308 0.000036 0.000310 0.000037 0.000117 0.000020 0.000119 0.000021
27.000000 0.000277 0.000032 0.000279 0.000032 0.000108 0.000023 0.000110 0.000023
28.000000 0.000265 0.000045 0.000266 0.000045 0.000101 0.000020 0.000102 0.000021
29.000000 0.000249 0.000024 0.000251 0.000024 0.000091 0.000017 0.000093 0.000017
30.000000 0.000236 0.000026 0.000238 0.000026 0.000081 0.000016 0.000082 0.000017
31.000000 0.000222 0.000030 0.000225 0.000031 0.000076 0.000013 0.000078 0.000013
32.000000 0.000202 0.000021 0.000205 0.000021 0.000071 0.000012 0.000072 0.000013
33.000000 0.000185 0.000018 0.000188 0.000018 0.000066 0.000013 0.000068 0.000013
34.000000 0.000170 0.000019 0.000173 0.000019 0.000061 0.000013 0.000063 0.000013
35.000000 0.000162 0.000018 0.000164 0.000018 0.000055 0.000011 0.000057 0.000011
36.000000 0.000159 0.000013 0.000161 0.000013 0.000052 0.000009 0.000054 0.000009
37.000000 0.000153 0.000015 0.000155 0.000015 0.000049 0.000011 0.000050 0.000011
