# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.071783 0.009052 0.072054 0.009011 0.067408 0.000687 0.067650 0.000689
1.000000 0.048299 0.004835 0.048541 0.004812 0.056133 0.001571 0.056368 0.001584
2.000000 0.036164 0.001865 0.036368 0.001863 0.042437 0.001983 0.042657 0.002003
3.000000 0.033816 0.003815 0.034001 0.003844 0.033128 0.002202 0.033312 0.002206
4.000000 0.026263 0.003524 0.026441 0.003535 0.033329 0.003056 0.033448 0.003085
5.000000 0.020747 0.002343 0.020887 0.002366 0.023337 0.002264 0.023449 0.002277
6.000000 0.019604 0.001374 0.019660 0.001427 0.019085 0.001393 0.019198 0.001392
7.000000 0.019509 0.001213 0.019483 0.001205 0.018607 0.001671 0.018711 0.001668
8.000000 0.018315 0.001211 0.018242 0.001217 0.016532 0.002624 0.016618 0.002644
9.000000 0.016405 0.001546 0.016327 0.001535 0.013348 0.002372 0.013414 0.002406
10.000000 0.014476 0.001423 0.014424 0.001387 0.011106 0.001837 0.011164 0.001860
11.000000 0.013284 0.001158 0.013271 0.001118 0.009879 0.001762 0.009955 0.001769
12.000000 0.012732 0.001128 0.012748 0.001105 0.008284 0.001309 0.008386 0.001342
13.000000 0.012159 0.001199 0.012189 0.001190 0.006822 0.000754 0.006931 0.000769
14.000000 0.011221 0.001205 0.011253 0.001201 0.006621 0.000950 0.006717 0.000965
15.000000 0.010149 0.001146 0.010173 0.001146 0.006311 0.001454 0.006392 0.001469
16.000000 0.009297 0.001055 0.009305 0.001068 0.005032 0.001479 0.005105 0.001497
17.000000 0.008715 0.001022 0.008702 0.001045 0.004033 0.001309 0.004105 0.001338
18.000000 0.008236 0.001029 0.008203 0.001053 0.003699 0.000977 0.003764 0.001012
19.000000 0.007760 0.001001 0.007714 0.001023 0.003152 0.000584 0.003204 0.000608
20.000000 0.007276 0.000931 0.007227 0.000939 0.002927 0.000544 0.002971 0.000550
21.000000 0.006825 0.000844 0.006782 0.000831 0.002971 0.000748 0.003014 0.000751
22.000000 0.006428 0.000775 0.006396 0.000751 0.002611 0.000693 0.002651 0.000694
23.000000 0.006082 0.000749 0.006063 0.000723 0.002083 0.000577 0.002122 0.000574
24.000000 0.005763 0.000774 0.005759 0.000749 0.002009 0.000375 0.002049 0.000366
25.000000 0.005460 0.000785 0.005470 0.000761 0.002002 0.000253 0.002044 0.000253
26.000000 0.005200 0.000738 0.005219 0.000719 0.001822 0.000217 0.001865 0.000230
27.000000 0.004956 0.000684 0.004974 0.000675 0.001730 0.000269 0.001774 0.000277
28.000000 0.004685 0.000672 0.004700 0.000676 0.001646 0.000294 0.001690 0.000300
29.000000 0.004405 0.000670 0.004414 0.000681 0.001470 0.000300 0.001513 0.000305
30.000000 0.004117 0.000662 0.004121 0.000673 0.001319 0.000310 0.001361 0.000316
31.000000 0.003852 0.000690 0.003851 0.000699 0.001257 0.000265 0.001299 0.000270
32.000000 0.003634 0.000708 0.003628 0.000715 0.001210 0.000241 0.001252 0.000245
33.000000 0.003430 0.000664 0.003420 0.000666 0.001101 0.000239 0.001140 0.000243
34.000000 0.003218 0.000601 0.003206 0.000597 0.000970 0.000189 0.001004 0.000191
35.000000 0.003015 0.000565 0.003004 0.000558 0.000876 0.000145 0.000905 0.000145
36.000000 0.002836 0.000519 0.002827 0.000510 0.000815 0.000146 0.000841 0.000146
37.000000 0.002677 0.000483 0.002669 0.000474 0.000779 0.000139 0.000803 0.000139
38.000000 0.002524 0.000483 0.002518 0.000475 0.000763 0.000098 0.000787 0.000096
39.000000 0.002380 0.000473 0.002376 0.000467 0.000726 0.000074 0.000750 0.000075
40.000000 0.002253 0.000456 0.002253 0.000453 0.000659 0.000082 0.000683 0.000082
41.000000 0.002124 0.000456 0.002127 0.000456 0.000604 0.000046 0.000627 0.000044
42.000000 0.001993 0.000465 0.001998 0.000466 0.000581 0.000040 0.000605 0.000039
43.000000 0.001861 0.000455 0.001868 0.000453 0.000566 0.000059 0.000591 0.000060
44.000000 0.001721 0.000430 0.001728 0.000426 0.000547 0.000057 0.000572 0.000058
45.000000 0.001591 0.000422 0.001598 0.000418 0.000523 0.000044 0.000548 0.000044
46.000000 0.001473 0.000415 0.001479 0.000412 0.000490 0.000032 0.000516 0.000033
47.000000 0.001359 0.000393 0.001364 0.000390 0.000459 0.000036 0.000486 0.000037
48.000000 0.001252 0.000370 0.001258 0.000369 0.000440 0.000033 0.000467 0.000035
49.000000 0.001155 0.000348 0.001164 0.000348 0.000427 0.000039 0.000454 0.000041
