# x0 x1 x2 amplitude sigma
0.329108 -0.170601 -0.112339 1.000000 0.875057
0.783563 0.322512 -0.399325 1.000000 1.140305
-0.819068 -0.505786 0.833919 1.000000 1.450017
-0.313427 -0.079055 0.069797 1.000000 0.575677
0.641045 0.212133 -0.164876 1.000000 1.276930
0.428838 -0.123959 0.539824 1.000000 1.332746
-0.798276 0.767963 -0.608091 1.000000 0.554806
0.688697 0.706601 -0.266975 1.000000 1.317677
0.190387 -0.702934 0.097386 1.000000 1.385351
-0.738665 -0.461915 -0.921888 1.000000 1.222347
-0.049812 0.546306 -0.808194 1.000000 0.502556
-0.691382 -0.772498 0.888198 1.000000 1.481199
-0.526651 0.385395 -0.658647 1.000000 0.843420
-0.537172 -0.778243 -0.968096 1.000000 0.594760
0.889039 0.194409 0.262444 1.000000 0.894643
