# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
-0.293698 0.734779 -0.979660 -0.662323 -0.306167 0.223941 -0.575345 0.091188 0.240069 0.573043 0.907711 -0.283276 1.000000 0.644485
-0.970074 -0.971015 -0.152566 0.528618 -0.594112 0.780519 -0.320300 -0.491656 0.525323 0.572731 0.840753 -0.290706 1.000000 1.210753
-0.507830 -0.407393 0.067087 -0.848036 0.891671 -0.442966 0.593619 0.418986 0.906068 -0.546384 0.325305 0.806144 1.000000 1.376160
0.627418 -0.616953 0.234961 -0.663975 -0.835304 0.792630 -0.012132 -0.020054 0.053829 0.931238 0.336181 -0.857354 1.000000 1.271227
-0.037951 0.631798 -0.587275 0.928040 -0.521816 0.501525 -0.419897 -0.418205 -0.850134 0.389265 -0.249457 0.008339 1.000000 0.721419
-0.927011 0.021639 -0.878158 0.466545 -0.494511 -0.814514 -0.624434 -0.735050 -0.239915 0.461984 0.069008 -0.495110 1.000000 0.518113
-0.768018 0.019060 -0.262215 -0.653106 0.804163 -0.915547 0.569939 0.457028 0.129819 -0.513294 0.270832 0.869306 1.000000 1.455151
0.621664 -0.347057 0.849014 -0.022619 -0.669699 0.451331 0.360838 0.825910 -0.872454 -0.793813 0.322858 -0.324974 1.000000 0.533358
0.951069 0.965774 -0.446761 -0.671879 -0.630238 -0.763849 -0.813924 -0.057932 -0.400881 -0.094185 0.885155 0.216571 1.000000 1.337605
-0.542929 -0.473292 0.658802 -0.024632 0.112240 -0.734073 -0.205379 -0.175797 0.428054 0.010904 0.161727 -0.556383 1.000000 1.294355
0.937229 -0.299353 -0.553634 0.666927 0.242440 0.871200 -0.058376 -0.874480 0.946103 0.576465 -0.625893 -0.551710 1.000000 0.608576
0.601774 0.043225 0.518267 -0.256884 -0.235054 0.607998 0.909278 -0.338855 -0.948080 -0.591701 0.872510 -0.952133 1.000000 0.945518
0.464213 0.024670 0.377313 -0.871789 0.708976 -0.873986 0.970789 -0.145599 -0.588559 0.378801 0.944106 -0.120926 1.000000 0.616466
-0.747089 -0.208398 0.750977 -0.248200 -0.371243 0.011100 -0.789376 0.153150 0.973968 0.454478 -0.983946 -0.104264 1.000000 1.169159
-0.011667 -0.235286 -0.728492 0.028855 -0.869855 0.643828 -0.763859 0.055204 -0.852895 0.919193 -0.918887 -0.422514 1.000000 0.669813
