# x0 x1 amplitude sigma
-0.799903 -0.581523 1.000000 1.156264
-0.691855 -0.780696 1.000000 1.454901
0.118507 -0.121256 1.000000 1.470876
0.779473 -0.066068 1.000000 0.597832
0.076918 -0.759168 1.000000 0.740745
-0.566496 0.737506 1.000000 1.368642
-0.061054 0.669034 1.000000 1.047453
-0.424531 -0.099083 1.000000 1.219153
0.461180 0.256654 1.000000 1.425684
0.597705 0.553967 1.000000 1.117039
-0.017178 0.792693 1.000000 1.166860
0.110966 -0.415948 1.000000 0.833902
0.479992 -0.392630 1.000000 0.682911
0.180527 0.772939 1.000000 0.862462
-0.095724 -0.579684 1.000000 0.901856
