# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 amplitude sigma
-0.914210 0.307448 0.344649 0.320836 0.468410 -0.793909 0.353373 -0.033146 -0.450779 0.708199 0.895575 0.869041 0.992499 0.076429 0.892237 1.000000 0.575056
0.343447 0.891549 -0.916363 -0.437611 0.805010 -0.694699 -0.526036 0.878976 -0.602613 0.154487 0.622903 -0.926380 0.356025 -0.654263 0.121058 1.000000 1.146019
0.963492 0.104456 -0.822929 0.557704 0.763698 0.878655 -0.246289 -0.976159 -0.587931 0.603449 -0.234374 0.024002 -0.142250 -0.648949 -0.896138 1.000000 1.156301
0.594595 -0.014034 -0.764155 -0.400398 -0.142997 0.899716 0.730493 -0.266997 -0.687896 -0.586026 0.675641 0.809573 0.484290 0.320951 0.073665 1.000000 0.920031
-0.342326 0.282803 0.202293 0.606852 0.057021 0.120325 -0.923232 -0.246613 -0.691053 0.538948 -0.195074 0.338757 -0.502336 0.945539 0.662140 1.000000 0.739017
-0.954187 0.557398 -0.381145 -0.815782 -0.189100 -0.343581 0.138206 -0.697016 -0.215640 0.429688 0.146294 -0.475236 -0.987634 0.714322 -0.692019 1.000000 1.421222
0.330875 0.494575 0.089852 0.246945 -0.321459 -0.716322 -0.822849 -0.904502 -0.055236 -0.115334 -0.881528 -0.361544 -0.538114 0.346502 -0.887943 1.000000 1.431832
0.131237 -0.566441 0.515284 0.003544 -0.045992 0.350773 -0.917317 -0.584246 -0.637601 0.000687 0.129828 -0.464494 0.997195 -0.333259 0.517606 1.000000 0.608573
-0.451289 0.776748 -0.228397 -0.182847 -0.027883 -0.814699 -0.549084 0.844607 0.979496 0.174818 0.217245 -0.301911 -0.756266 -0.175780 -0.498534 1.000000 0.634620
-0.727262 0.083890 0.685897 -0.364311 0.615188 0.042332 0.597790 -0.518176 0.631456 0.197793 -0.153984 -0.229722 0.448194 -0.107508 -0.409804 1.000000 0.675469
0.765840 -0.931748 -0.443361 0.882413 0.107242 0.973793 0.322329 -0.214656 0.248189 0.162687 0.135389 -0.921678 -0.930766 -0.599552 -0.557843 1.000000 1.222550
-0.058330 0.227325 -0.736227 -0.884838 0.139704 0.586025 0.394033 0.945389 0.767520 0.377552 0.703634 -0.290150 0.307199 -0.228364 -0.723641 1.000000 0.574434
-0.211199 -0.319793 0.949741 0.608654 -0.216534 -0.320192 -0.057660 -0.786443 0.293819 0.422107 0.977730 0.182474 0.937731 -0.582777 0.666330 1.000000 1.161646
-0.154695 -0.679684 0.665499 -0.182213 -0.164936 -0.748829 -0.578565 -0.484936 0.560290 0.750300 0.710649 -0.883981 0.673185 0.155982 -0.058226 1.000000 1.185642
0.560432 0.926098 -0.181085 -0.562857 0.658667 -0.995477 -0.685468 0.300864 0.164775 -0.941770 -0.889464 -0.611562 0.817788 0.199582 -0.961103 1.000000 0.742806
