# x0 x1 x2 x3 x4 amplitude sigma
0.143065 -0.827082 0.064446 0.969373 -0.823535 1.000000 0.593344
-0.248963 -0.137001 0.332136 0.307811 -0.390546 1.000000 1.390943
-0.349544 -0.928051 0.804753 -0.112411 -0.228719 1.000000 0.976734
-0.247612 -0.176194 0.618954 -0.728683 -0.616428 1.000000 0.673522
-0.304148 0.626819 0.912661 -0.369005 -0.210926 1.000000 1.211107
-0.926273 -0.519774 0.584357 -0.481439 -0.573062 1.000000 1.007975
-0.074169 0.510679 -0.830132 -0.004148 -0.174437 1.000000 0.959044
-0.794308 -0.822458 -0.708164 -0.173214 -0.809899 1.000000 1.307376
-0.931762 -0.181728 -0.711684 0.790632 -0.391850 1.000000 1.179957
-0.977198 -0.718516 -0.658353 -0.964551 0.454167 1.000000 0.795172
-0.977695 0.910391 0.689255 0.935305 -0.173928 1.000000 1.091428
0.805821 -0.193060 -0.762413 0.064189 -0.807903 1.000000 0.593735
-0.343801 0.016963 -0.085261 0.361326 0.740334 1.000000 1.298578
0.069785 0.107546 0.315149 -0.570432 0.648545 1.000000 0.766579
-0.272869 0.951325 0.885298 0.712185 0.136003 1.000000 1.117512
