# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
0.804594 -0.318807 0.374879 -0.770849 -0.902211 0.948642 -0.072080 -0.334869 1.000000 0.610906
0.750429 0.698102 -0.301058 -0.948379 0.383705 0.346784 0.825786 0.747702 1.000000 1.307972
-0.002246 0.775624 0.383265 -0.929168 0.506562 -0.565329 -0.946695 -0.035704 1.000000 0.568487
0.889315 -0.082843 0.501637 0.476008 0.491630 0.845056 -0.568424 0.201906 1.000000 1.460335
-0.138438 -0.549938 0.033708 0.307600 0.903804 -0.361754 0.651123 -0.655906 1.000000 1.479888
0.690422 0.269458 -0.435621 -0.587669 0.197388 0.999414 -0.750176 -0.320082 1.000000 0.861740
-0.729183 0.436376 -0.117376 0.176011 0.158210 -0.495071 -0.919705 0.906728 1.000000 0.695946
-0.940693 -0.911555 -0.098814 0.935235 0.429422 -0.197301 0.050954 -0.201346 1.000000 0.640617
-0.574876 -0.391728 0.447024 0.782902 -0.048930 -0.970721 0.973360 -0.077815 1.000000 0.722673
-0.261398 -0.100748 -0.575768 0.512395 0.013506 0.017586 -0.874531 0.074065 1.000000 1.089194
-0.623876 0.910879 -0.599736 -0.700310 -0.054182 0.668427 -0.791534 -0.678917 1.000000 1.299732
-0.121583 -0.763172 0.817487 -0.143102 0.898007 0.302190 -0.040081 0.455254 1.000000 0.839645
0.442634 0.540506 0.056686 0.058732 0.481712 0.992529 0.888268 -0.906922 1.000000 1.050483
-0.639324 0.945183 -0.682753 0.937726 -0.103279 -0.070384 -0.495624 -0.656013 1.000000 0.724522
0.700273 0.596909 0.070250 -0.528631 0.722787 0.043977 -0.846046 -0.354644 1.000000 0.663334
