# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
-0.549018 -0.161416 -0.671351 0.738878 0.825543 0.519285 0.914775 -0.799210 0.828467 0.539359 1.000000 0.790678
0.419595 -0.037495 0.393310 -0.411448 -0.913379 0.950292 0.524232 0.004295 0.508827 0.272184 1.000000 0.599277
-0.272189 0.797185 -0.504390 0.905559 -0.728262 0.907833 -0.643856 -0.697021 -0.814042 0.097535 1.000000 0.749007
0.545776 0.373934 -0.617572 0.998867 0.360065 -0.014037 -0.557335 0.501601 0.717918 0.383629 1.000000 0.896347
0.816335 -0.194503 0.681582 0.130575 0.951623 0.480015 0.066047 0.575435 0.407163 0.692136 1.000000 0.572394
0.241745 -0.042285 0.754350 -0.400575 0.707713 -0.582458 -0.160962 -0.715751 -0.024654 -0.646579 1.000000 0.717645
0.292941 -0.903043 -0.747672 -0.134257 -0.565532 0.222077 -0.826096 0.906127 0.426097 -0.572108 1.000000 1.490484
-0.918488 0.621084 -0.307514 -0.069426 -0.907394 -0.489303 0.162864 -0.495486 0.939807 -0.882947 1.000000 1.131038
-0.104376 -0.060063 -0.249730 -0.941963 0.556812 -0.720325 -0.842170 -0.531458 -0.190859 0.786008 1.000000 1.147354
0.947525 -0.825304 -0.311876 0.011943 0.763432 -0.739315 -0.517830 0.096864 -0.803303 -0.639943 1.000000 1.011369
0.600168 0.262043 -0.263185 0.167980 -0.283126 -0.619425 0.054168 -0.902635 0.242219 -0.550329 1.000000 1.221250
0.464901 0.883932 -0.957322 0.903864 0.506431 0.541641 -0.995680 0.192861 -0.550162 0.084087 1.000000 0.561855
0.540661 -0.570482 0.594117 -0.643266 -0.431373 -0.966976 -0.566747 -0.360589 -0.107551 -0.626621 1.000000 0.906937
-0.302895 0.348144 -0.588977 0.558730 -0.319660 -0.081144 0.732510 0.102060 -0.685606 0.164532 1.000000 0.581953
0.613312 0.617717 -0.618563 0.684489 -0.595176 -0.003426 0.351877 0.618004 -0.022892 0.561537 1.000000 0.719206
