# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 amplitude sigma
-0.105940 0.135745 0.099717 -0.499112 0.039827 -0.624098 0.083202 0.045464 0.939781 -0.312294 -0.908246 -0.024826 -0.496741 -0.312011 0.883688 -0.985093 0.511709 -0.134667 1.000000 0.993644
0.289402 -0.583976 0.091680 0.647079 -0.010945 -0.121510 -0.471864 -0.136080 0.118930 0.922266 -0.769233 0.414309 -0.732637 0.834042 -0.357789 0.230612 0.482354 -0.168101 1.000000 1.332098
-0.098801 -0.151731 0.840971 0.540831 0.112391 -0.089502 0.723668 0.559211 -0.742341 0.517051 0.362003 -0.635962 0.394953 0.504509 -0.219676 -0.863265 -0.336168 -0.345427 1.000000 1.487027
-0.469605 -0.585974 -0.954864 -0.558877 -0.087625 -0.293967 -0.422354 0.549992 0.400984 -0.435096 -0.783505 -0.968905 0.567613 -0.673853 0.983858 -0.258401 0.595769 -0.442885 1.000000 0.986918
0.454497 0.872655 -0.355015 0.571387 0.178453 -0.852224 0.951246 0.304161 0.663321 0.187628 0.072427 0.238422 0.442176 -0.752743 0.820014 0.832938 0.775828 0.285266 1.000000 0.905605
0.023938 -0.128151 0.348816 0.808967 0.491821 0.052636 -0.070975 0.612481 -0.110664 -0.604218 0.661652 -0.897107 0.491816 -0.306566 0.927633 0.400548 0.819847 0.591036 1.000000 0.768883
-0.726610 -0.288747 -0.985729 -0.060824 -0.477485 0.940399 -0.695492 -0.899350 0.918200 0.095884 -0.203546 0.122894 0.746330 0.601309 -0.121391 0.357911 -0.576748 0.872267 1.000000 1.408256
0.879422 -0.393553 0.718382 -0.533780 -0.765293 0.103409 -0.071697 0.363650 -0.788296 0.530982 0.841396 0.707512 0.010671 -0.171676 0.467078 -0.374198 -0.728356 -0.587120 1.000000 1.387581
-0.268231 -0.513424 0.050507 -0.840980 -0.963654 -0.448001 -0.477289 0.005571 -0.197468 0.515795 -0.725384 -0.688616 -0.687768 -0.296800 -0.815850 -0.443089 -0.648117 -0.685783 1.000000 0.507860
-0.021030 0.302590 0.330904 0.910457 -0.807468 -0.876865 0.496317 -0.646730 0.863230 -0.197211 -0.848685 0.477590 -0.350601 -0.879610 0.875672 0.209455 0.158098 -0.096600 1.000000 0.964121
-0.437500 -0.116750 0.420198 -0.723163 0.187517 0.305221 0.720737 -0.937301 0.748839 -0.250884 0.241929 -0.404956 0.114289 0.917385 -0.445620 -0.498033 -0.326312 0.504423 1.000000 1.239373
0.489365 -0.580112 0.687119 -0.871655 -0.648460 0.174358 -0.286575 -0.595449 -0.764755 -0.627698 -0.831682 -0.840572 0.185610 -0.488238 -0.022472 -0.198729 -0.990551 0.209730 1.000000 0.671091
0.931428 -0.399164 -0.890385 0.953342 -0.861544 0.812485 -0.574784 0.121214 -0.772964 -0.624594 -0.940869 0.359414 0.410379 0.172614 0.742516 0.971509 0.227792 0.173114 1.000000 1.107490
-0.924967 0.372441 0.485889 0.622698 -0.830877 -0.961416 0.247743 0.876115 0.043760 -0.927969 0.050977 0.246096 -0.677628 0.744645 -0.061868 -0.780422 -0.646706 0.761723 1.000000 0.952327
-0.765180 0.290280 -0.973950 0.636336 -0.581322 -0.893241 0.852218 0.892292 -0.782990 0.700406 -0.774162 0.844074 0.690704 0.349722 -0.946769 -0.759154 -0.662041 0.627605 1.000000 0.815179
