# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 amplitude sigma
-0.473559 -0.144931 -0.100701 0.496387 0.821482 0.105130 0.935774 -0.409628 -0.128199 -0.074111 0.858127 -0.834353 -0.493500 0.302174 0.453169 0.788815 0.032792 -0.203394 -0.510024 -0.977511 1.000000 1.058631
-0.616427 0.014157 -0.987069 0.766933 0.531471 -0.010311 0.966328 0.351086 0.785720 0.139160 0.339257 0.757839 -0.341719 -0.796391 -0.546600 -0.772032 0.017258 -0.314413 -0.701419 0.369363 1.000000 1.036631
-0.351630 0.385191 -0.237852 -0.889215 0.465886 0.845626 -0.403779 -0.640954 -0.308548 0.083650 -0.924604 -0.547817 -0.652102 0.372725 0.715776 0.490033 -0.373271 -0.216657 0.047590 -0.411860 1.000000 1.310829
-0.324054 0.114585 0.217379 -0.619648 -0.590857 0.193261 -0.709921 -0.822214 -0.765267 -0.280921 0.689391 -0.213967 0.021133 0.280902 -0.106543 -0.940929 0.928670 -0.918132 0.305527 -0.646526 1.000000 0.959598
0.623468 0.520783 0.594885 -0.690192 0.426382 -0.629193 -0.870715 0.429136 0.863162 -0.442259 -0.944976 -0.210374 0.483819 -0.816548 -0.713247 -0.022229 0.348553 -0.736948 0.223601 0.411589 1.000000 1.472425
0.219841 -0.698641 0.087646 0.174778 0.338524 -0.498459 -0.769258 -0.843905 0.572044 -0.313765 -0.225935 -0.977934 -0.266403 -0.614632 0.329226 0.931043 0.271877 -0.101772 0.981842 -0.833324 1.000000 1.176110
-0.570101 -0.898311 0.939368 -0.282735 -0.528908 -0.334962 0.133523 0.249917 0.241614 0.797163 0.422122 -0.247564 0.060749 -0.339806 0.125525 -0.564051 0.584194 0.903974 -0.476910 0.594630 1.000000 1.313177
-0.991291 -0.082064 -0.365491 -0.684727 -0.203781 0.897540 -0.404280 0.701837 0.294521 -0.867086 0.649663 -0.753582 0.336795 0.881214 0.048292 0.739314 0.654384 -0.272750 0.513697 0.008588 1.000000 1.186086
-0.357356 -0.684458 0.394484 -0.206603 0.083151 -0.517039 -0.615864 -0.510524 -0.647943 -0.261945 -0.582491 -0.568354 0.666943 -0.757381 0.920751 -0.186822 0.010042 0.403185 0.610302 0.862066 1.000000 0.882997
-0.062060 -0.446630 -0.014698 -0.495709 0.609659 0.677454 0.747934 0.612233 0.795851 -0.492524 -0.804212 -0.599743 0.243071 0.761646 -0.974351 0.747799 -0.498152 -0.248018 0.688800 -0.618313 1.000000 1.089244
-0.191539 -0.089263 0.155224 0.421102 -0.564247 -0.704294 0.600777 -0.018300 0.521750 0.523939 0.143937 0.859568 0.351558 -0.729028 0.676479 0.358474 -0.673910 -0.961614 -0.377577 -0.546689 1.000000 1.309859
0.943333 0.236816 0.595379 0.453195 -0.627810 0.761047 -0.613049 0.045036 -0.261438 -0.617565 0.528488 -0.035577 0.613823 0.376617 0.389128 -0.089846 -0.464501 -0.904745 0.949441 0.391955 1.000000 0.826556
-0.771371 -0.657786 -0.125543 -0.364479 0.474114 -0.679127 0.564017 0.011773 0.337550 0.252446 0.671750 -0.170886 0.830563 0.305419 0.284429 0.368106 -0.083271 0.561368 -0.607021 0.846166 1.000000 0.503472
0.765217 0.585856 -0.425864 -0.577806 -0.574685 0.222067 0.831808 0.753749 0.920898 0.920104 0.230197 -0.669084 0.121256 0.578285 0.108817 -0.013611 -0.276886 -0.886710 0.686437 -0.341481 1.000000 1.487814
0.973534 -0.708946 0.568478 -0.136416 -0.422791 -0.679846 -0.934092 -0.257358 -0.767253 0.423735 -0.105521 -0.512849 0.156945 -0.579998 0.134271 0.165478 -0.841862 -0.063444 0.247075 -0.977503 1.000000 1.155836
