# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.016176 0.003262 0.016101 0.003288 0.011349 0.000286 0.011265 0.000288
1.000000 0.009184 0.001256 0.009086 0.001271 0.008888 0.000472 0.008792 0.000476
2.000000 0.007122 0.000462 0.007009 0.000460 0.006457 0.000557 0.006351 0.000559
3.000000 0.006288 0.000751 0.006192 0.000745 0.005633 0.000466 0.005541 0.000447
4.000000 0.004884 0.000644 0.004816 0.000648 0.004061 0.000486 0.003990 0.000482
5.000000 0.004059 0.000527 0.004012 0.000523 0.003345 0.000214 0.003290 0.000201
6.000000 0.003624 0.000474 0.003590 0.000467 0.003135 0.000180 0.003092 0.000179
7.000000 0.003233 0.000367 0.003206 0.000357 0.002739 0.000228 0.002710 0.000232
8.000000 0.002887 0.000325 0.002867 0.000313 0.002337 0.000232 0.002320 0.000232
9.000000 0.002582 0.000291 0.002568 0.000282 0.001888 0.000195 0.001877 0.000197
10.000000 0.002321 0.000216 0.002310 0.000209 0.001427 0.000105 0.001415 0.000106
11.000000 0.002162 0.000209 0.002150 0.000208 0.001220 0.000127 0.001206 0.000125
12.000000 0.002054 0.000233 0.002039 0.000235 0.001189 0.000103 0.001175 0.000102
13.000000 0.001929 0.000190 0.001913 0.000191 0.001127 0.000072 0.001114 0.000072
14.000000 0.001815 0.000139 0.001799 0.000137 0.001004 0.000088 0.000992 0.000087
15.000000 0.001730 0.000127 0.001714 0.000123 0.000868 0.000084 0.000859 0.000082
16.000000 0.001643 0.000128 0.001628 0.000124 0.000718 0.000074 0.000716 0.000071
17.000000 0.001541 0.000140 0.001528 0.000135 0.000652 0.000042 0.000658 0.000042
18.000000 0.001444 0.000156 0.001433 0.000151 0.000686 0.000069 0.000695 0.000071
19.000000 0.001361 0.000160 0.001353 0.000154 0.000705 0.000061 0.000716 0.000062
20.000000 0.001289 0.000147 0.001285 0.000140 0.000661 0.000043 0.000671 0.000041
21.000000 0.001226 0.000119 0.001225 0.000111 0.000576 0.000069 0.000585 0.000069
22.000000 0.001172 0.000093 0.001174 0.000087 0.000498 0.000057 0.000505 0.000057
23.000000 0.001122 0.000081 0.001127 0.000076 0.000449 0.000033 0.000454 0.000032
24.000000 0.001076 0.000076 0.001081 0.000073 0.000439 0.000022 0.000444 0.000022
25.000000 0.001035 0.000079 0.001042 0.000076 0.000428 0.000026 0.000433 0.000026
26.000000 0.001001 0.000082 0.001008 0.000079 0.000400 0.000035 0.000405 0.000034
27.000000 0.000969 0.000078 0.000976 0.000075 0.000373 0.000034 0.000378 0.000034
28.000000 0.000938 0.000068 0.000946 0.000065 0.000352 0.000028 0.000357 0.000027
29.000000 0.000911 0.000054 0.000920 0.000052 0.000347 0.000026 0.000352 0.000025
30.000000 0.000888 0.000045 0.000897 0.000042 0.000354 0.000024 0.000359 0.000023
31.000000 0.000867 0.000043 0.000876 0.000042 0.000355 0.000020 0.000360 0.000020
32.000000 0.000846 0.000047 0.000856 0.000046 0.000341 0.000018 0.000347 0.000018
33.000000 0.000827 0.000051 0.000838 0.000050 0.000319 0.000019 0.000324 0.000019
34.000000 0.000807 0.000052 0.000819 0.000052 0.000300 0.000020 0.000306 0.000019
35.000000 0.000790 0.000051 0.000803 0.000050 0.000291 0.000017 0.000298 0.000017
36.000000 0.000774 0.000049 0.000788 0.000048 0.000290 0.000013 0.000297 0.000012
37.000000 0.000757 0.000050 0.000772 0.000049 0.000289 0.000013 0.000296 0.000013
38.000000 0.000740 0.000052 0.000755 0.000051 0.000284 0.000014 0.000291 0.000014
39.000000 0.000726 0.000053 0.000741 0.000052 0.000277 0.000011 0.000284 0.000012
40.000000 0.000713 0.000054 0.000728 0.000054 0.000271 0.000014 0.000278 0.000014
41.000000 0.000699 0.000055 0.000715 0.000055 0.000265 0.000013 0.000272 0.000013
42.000000 0.000685 0.000056 0.000700 0.000056 0.000263 0.000011 0.000270 0.000011
43.000000 0.000670 0.000055 0.000685 0.000056 0.000262 0.000011 0.000269 0.000011
44.000000 0.000657 0.000055 0.000672 0.000055 0.000258 0.000011 0.000266 0.000011
45.000000 0.000645 0.000055 0.000659 0.000056 0.000252 0.000010 0.000260 0.000010
46.000000 0.000634 0.000056 0.000648 0.000056 0.000247 0.000010 0.000254 0.000010
47.000000 0.000623 0.000057 0.000637 0.000057 0.000245 0.000009 0.000252 0.000009
48.000000 0.000612 0.000059 0.000626 0.000058 0.000245 0.000009 0.000253 0.000009
49.000000 0.000600 0.000060 0.000614 0.000059 0.000245 0.000009 0.000252 0.000009
50.000000 0.000589 0.000060 0.000603 0.000060 0.000242 0.000009 0.000249 0.000009
51.000000 0.000578 0.000060 0.000593 0.000060 0.000238 0.000009 0.000245 0.000009
52.000000 0.000568 0.000061 0.000582 0.000060 0.000235 0.000009 0.000243 0.000009
53.000000 0.000557 0.000062 0.000572 0.000061 0.000234 0.000009 0.000241 0.000009
54.000000 0.000547 0.000063 0.000561 0.000062 0.000233 0.000009 0.000240 0.000009
55.000000 0.000537 0.000064 0.000551 0.000063 0.000232 0.000008 0.000239 0.000008
56.000000 0.000527 0.000065 0.000542 0.000064 0.000230 0.000008 0.000237 0.000009
57.000000 0.000517 0.000066 0.000532 0.000065 0.000227 0.000008 0.000235 0.000008
58.000000 0.000508 0.000066 0.000522 0.000066 0.000225 0.000008 0.000233 0.000008
59.000000 0.000498 0.000067 0.000512 0.000066 0.000225 0.000009 0.000232 0.000009
60.000000 0.000488 0.000067 0.000502 0.000066 0.000224 0.000009 0.000231 0.000009
61.000000 0.000479 0.000068 0.000493 0.000067 0.000223 0.000009 0.000230 0.000009
62.000000 0.000470 0.000068 0.000484 0.000068 0.000221 0.000009 0.000228 0.000009
63.000000 0.000461 0.000069 0.000475 0.000069 0.000219 0.000009 0.000227 0.000010
64.000000 0.000452 0.000070 0.000466 0.000069 0.000218 0.000010 0.000226 0.000010
65.000000 0.000442 0.000070 0.000457 0.000070 0.000218 0.000010 0.000225 0.000010
66.000000 0.000433 0.000071 0.000448 0.000070 0.000216 0.000010 0.000224 0.000010
67.000000 0.000424 0.000071 0.000439 0.000071 0.000215 0.000010 0.000222 0.000010
68.000000 0.000415 0.000072 0.000430 0.000072 0.000213 0.000010 0.000220 0.000011
69.000000 0.000406 0.000073 0.000421 0.000072 0.000212 0.000011 0.000219 0.000011
70.000000 0.000397 0.000073 0.000412 0.000073 0.000211 0.000011 0.000218 0.000011
71.000000 0.000388 0.000073 0.000404 0.000073 0.000210 0.000012 0.000217 0.000012
72.000000 0.000380 0.000074 0.000395 0.000074 0.000209 0.000012 0.000216 0.000012
73.000000 0.000371 0.000074 0.000386 0.000074 0.000208 0.000012 0.000215 0.000012
74.000000 0.000363 0.000075 0.000378 0.000075 0.000206 0.000012 0.000213 0.000013
75.000000 0.000354 0.000075 0.000369 0.000075 0.000205 0.000013 0.000212 0.000013
76.000000 0.000346 0.000075 0.000361 0.000075 0.000204 0.000013 0.000211 0.000014
77.000000 0.000337 0.000075 0.000352 0.000075 0.000203 0.000014 0.000210 0.000014
78.000000 0.000329 0.000074 0.000344 0.000075 0.000201 0.000014 0.000208 0.000014
79.000000 0.000321 0.000074 0.000335 0.000074 0.000200 0.000015 0.000207 0.000015
80.000000 0.000313 0.000073 0.000327 0.000073 0.000198 0.000015 0.000205 0.000016
81.000000 0.000305 0.000072 0.000319 0.000073 0.000197 0.000016 0.000204 0.000016
82.000000 0.000297 0.000071 0.000312 0.000072 0.000196 0.000016 0.000202 0.000017
83.000000 0.000290 0.000070 0.000304 0.000071 0.000194 0.000017 0.000201 0.000017
84.000000 0.000283 0.000069 0.000297 0.000069 0.000192 0.000017 0.000199 0.000018
85.000000 0.000276 0.000067 0.000290 0.000068 0.000191 0.000018 0.000198 0.000019
86.000000 0.000269 0.000066 0.000283 0.000066 0.000189 0.000019 0.000196 0.000019
87.000000 0.000263 0.000064 0.000276 0.000065 0.000187 0.000019 0.000194 0.000020
88.000000 0.000256 0.000062 0.000270 0.000063 0.000186 0.000020 0.000192 0.000021
89.000000 0.000251 0.000060 0.000264 0.000061 0.000184 0.000021 0.000191 0.000022
90.000000 0.000245 0.000058 0.000258 0.000059 0.000182 0.000021 0.000189 0.000022
91.000000 0.000239 0.000056 0.000252 0.000057 0.000181 0.000022 0.000187 0.000023
92.000000 0.000234 0.000054 0.000247 0.000055 0.000179 0.000022 0.000185 0.000024
93.000000 0.000229 0.000051 0.000242 0.000052 0.000177 0.000023 0.000183 0.000024
94.000000 0.000224 0.000049 0.000237 0.000050 0.000175 0.000023 0.000182 0.000025
95.000000 0.000220 0.000047 0.000232 0.000048 0.000173 0.000024 0.000180 0.000025
96.000000 0.000216 0.000045 0.000228 0.000046 0.000172 0.000025 0.000178 0.000026
97.000000 0.000211 0.000042 0.000224 0.000043 0.000170 0.000025 0.000176 0.000027
