# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 amplitude sigma
0.957847 0.491921 -0.824240 -0.070650 -0.039232 0.609645 -0.924985 -0.862755 0.334264 -0.301865 0.230118 -0.048413 0.871628 0.663647 -0.480254 0.354326 0.015277 0.629666 1.000000 1.168825
0.823463 -0.469822 -0.300416 -0.509274 0.175346 -0.702739 0.993843 0.965641 0.704097 0.127634 -0.885028 0.235457 0.966878 -0.787441 0.451191 -0.605380 0.673938 -0.703350 1.000000 0.850711
0.805546 -0.089745 -0.399775 0.961729 0.598584 0.534540 0.351003 0.645406 -0.918659 0.282598 -0.875726 -0.548834 -0.801325 0.683175 0.557618 0.856861 0.530696 -0.767344 1.000000 1.393106
0.889015 -0.971232 0.246524 0.951651 0.356902 -0.410511 0.293826 0.721053 -0.480971 -0.229555 -0.336668 0.173025 0.919443 -0.992766 -0.030775 0.351164 0.121083 -0.646918 1.000000 0.778035
0.070712 -0.804904 0.593816 -0.017733 -0.925295 -0.077781 0.640583 0.465277 -0.081596 0.534619 0.246706 0.717376 0.208209 0.029412 0.112032 0.950486 0.946072 0.104814 1.000000 0.552487
0.121297 -0.162799 -0.591426 -0.982794 0.282963 -0.471583 0.353719 0.251265 -0.539517 0.604921 0.629450 -0.494727 0.216727 0.932091 0.570892 -0.284307 0.052130 -0.379740 1.000000 1.417891
0.037050 0.311311 -0.105879 0.316050 0.914019 0.245917 0.443391 0.123890 0.890785 0.421131 -0.893141 0.231830 0.072683 0.058635 -0.081724 0.777361 0.107880 -0.314783 1.000000 0.972162
-0.154667 0.115607 0.503969 0.008382 0.044392 0.247173 0.844924 -0.699812 0.554864 -0.941768 -0.882982 -0.998641 -0.015030 -0.304738 -0.381380 0.520063 0.580688 0.194387 1.000000 0.506247
-0.490070 0.277117 -0.708190 0.707233 -0.985509 -0.791110 -0.589682 -0.626949 -0.818251 0.659603 -0.049468 0.064527 0.847747 -0.617216 -0.877069 -0.451988 0.737908 -0.455497 1.000000 0.988006
-0.407912 -0.984631 -0.945976 0.566999 0.013514 -0.376613 0.866747 -0.230307 0.267842 -0.160407 0.972911 -0.806581 -0.316396 0.366104 0.555312 -0.272971 -0.583698 -0.112138 1.000000 1.341127
0.404394 0.933806 -0.549512 -0.245516 0.036376 0.012240 -0.064269 -0.971666 0.293022 -0.972381 -0.629407 -0.333842 -0.512957 -0.787750 -0.783395 -0.922703 0.330247 0.845209 1.000000 1.269953
-0.750708 0.616325 0.413920 0.696002 0.762178 -0.059875 0.659856 0.176257 0.842941 -0.463088 0.618538 -0.551746 0.496281 0.895827 -0.151850 -0.863594 0.610594 -0.368767 1.000000 0.846713
0.522477 0.127549 0.847789 -0.330320 -0.505279 -0.126577 -0.046379 0.653848 -0.266637 -0.386365 0.458825 0.833233 0.221357 0.496786 0.050884 -0.776998 0.686428 -0.268860 1.000000 0.858937
0.686573 0.644576 0.037492 -0.713270 0.200130 0.222390 -0.841573 -0.781986 -0.617128 -0.091969 -0.816984 0.524450 -0.441773 -0.494224 -0.989010 0.743793 -0.531932 -0.173863 1.000000 1.227285
0.287055 0.242722 -0.422034 -0.357929 0.809396 0.356639 -0.133936 -0.904980 0.154203 0.218865 0.726191 -0.674855 -0.568603 -0.949279 0.855163 0.306155 0.208567 0.448067 1.000000 1.162239
