# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
0.094726 -0.177150 -0.275398 -0.916069 -0.433826 -0.544539 0.878498 0.493006 0.871327 0.138500 1.000000 1.406854
-0.595819 0.646671 0.099783 0.337077 0.833173 0.278466 0.538929 0.157086 -0.777351 -0.128412 1.000000 0.612530
-0.728253 0.373652 0.815911 -0.770910 0.380567 0.311215 0.497102 0.619320 0.701414 -0.777125 1.000000 0.600300
0.292660 0.137609 0.884649 -0.158405 -0.592025 -0.571874 -0.935879 -0.494259 0.607315 0.863811 1.000000 0.576208
0.773698 0.752467 -0.607950 -0.488054 -0.374759 0.633499 0.068415 0.311401 0.627428 -0.572581 1.000000 1.442522
-0.227477 -0.936546 -0.372986 -0.058792 -0.978011 0.243242 0.258600 -0.123537 0.934243 -0.135065 1.000000 1.349352
-0.384556 0.514896 0.021571 0.587818 -0.543077 -0.021517 0.794280 0.939394 -0.605078 -0.955217 1.000000 1.451836
-0.201715 -0.615963 -0.060606 -0.860243 0.159698 -0.523549 -0.519168 0.472221 0.616958 -0.564793 1.000000 0.681183
0.277340 -0.621400 -0.213345 -0.897800 0.290377 -0.754259 -0.604633 -0.446337 -0.508176 0.259183 1.000000 1.401289
-0.595849 -0.183297 -0.537185 -0.683784 -0.901542 0.324082 0.936735 0.406358 -0.055582 -0.181209 1.000000 0.885884
0.269018 0.371053 -0.488148 -0.478224 0.178843 0.166416 -0.245089 0.654160 -0.574819 0.434423 1.000000 0.962308
0.964003 -0.618195 0.523461 -0.247732 -0.753134 0.220989 0.138233 0.227189 0.859243 0.466066 1.000000 0.608118
-0.587256 0.670525 -0.701257 -0.239806 -0.433661 -0.895928 -0.476971 -0.027059 -0.577294 0.705939 1.000000 0.837552
0.982526 -0.345597 -0.519963 0.951955 0.082266 -0.554001 0.182164 0.308072 -0.798908 -0.623729 1.000000 1.239506
0.683087 0.206215 0.241375 -0.024064 -0.560571 0.971792 0.439967 0.479940 0.574291 0.125522 1.000000 1.086747
