# x0 x1 amplitude sigma
-0.040660 -0.581275 1.000000 0.702607
0.196022 -0.524927 1.000000 0.707093
0.696447 0.776639 1.000000 0.652638
0.925491 0.464454 1.000000 1.254593
-0.456115 -0.846256 1.000000 0.727427
-0.689550 0.203092 1.000000 1.164082
-0.872012 0.892860 1.000000 1.089218
-0.668521 -0.074092 1.000000 0.921647
-0.558427 0.559882 1.000000 1.356024
0.648485 0.196254 1.000000 0.986753
0.221326 0.922691 1.000000 0.750352
0.539160 0.171424 1.000000 1.342419
-0.448397 0.510141 1.000000 1.299829
0.277745 -0.127938 1.000000 1.272441
-0.758959 0.957996 1.000000 1.319672
