# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
0.395830 0.122373 -0.974434 -0.308590 0.175490 0.236442 -0.010082 0.999504 1.000000 1.002965
-0.073487 0.728293 -0.726753 0.872676 -0.321481 -0.327381 -0.076542 0.452433 1.000000 0.866023
0.422927 -0.685463 0.794691 -0.088830 0.004958 0.375770 0.181748 0.881963 1.000000 0.947314
-0.351156 0.248789 0.943328 -0.106945 -0.704669 -0.954860 0.489965 -0.715133 1.000000 0.861887
-0.772765 0.532720 0.447883 -0.853510 0.222757 -0.535985 -0.461052 0.425816 1.000000 1.135643
0.353932 -0.450486 0.183794 -0.640134 -0.128636 0.697947 -0.184440 0.584848 1.000000 1.039718
0.507912 -0.092092 0.713107 0.850045 0.379051 -0.398564 -0.392083 0.218513 1.000000 0.848617
-0.723301 0.662885 0.236235 0.142398 -0.085320 0.372413 -0.007354 0.023898 1.000000 0.516384
-0.395948 0.399445 -0.999536 0.687295 0.208832 -0.901970 0.638236 -0.878129 1.000000 1.041492
-0.334369 -0.637578 0.009898 -0.100330 -0.059582 0.845927 0.335521 -0.134155 1.000000 0.526141
-0.812678 -0.179089 0.972222 -0.783409 0.619548 0.391456 0.981121 -0.933558 1.000000 0.598464
-0.671784 -0.801964 0.421440 0.377061 -0.503116 0.844235 0.002400 0.153120 1.000000 1.346815
0.032052 0.965760 -0.972905 -0.316032 -0.570839 0.631206 0.406929 -0.926249 1.000000 1.330174
0.912074 -0.117425 0.875600 0.672488 0.799981 -0.262523 0.038899 0.172094 1.000000 1.383756
-0.332224 0.490167 -0.594026 -0.395927 0.727119 -0.086013 -0.558365 0.049564 1.000000 1.089567
