# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
0.238111 0.704474 -0.452856 0.943426 0.178230 0.683481 -0.071740 0.089484 -0.922426 0.028446 -0.408714 0.162179 1.000000 1.227132
0.788456 -0.809207 -0.462114 -0.818260 -0.698452 -0.377184 -0.948545 0.151068 -0.404192 0.923039 -0.597766 -0.064695 1.000000 1.023589
-0.995716 0.069158 -0.078183 -0.959123 -0.872609 -0.900295 -0.532177 -0.929168 0.714864 0.732580 -0.429164 0.433241 1.000000 0.677819
-0.725481 -0.922624 -0.337189 -0.464670 -0.373272 -0.862005 -0.749099 0.840809 0.092708 -0.888530 -0.191779 0.959644 1.000000 1.216327
0.728032 -0.700432 0.587626 0.145945 -0.866749 -0.370407 0.919671 -0.462443 -0.446193 -0.593234 0.866739 0.696094 1.000000 1.388074
-0.539702 0.686405 0.174343 0.287339 -0.864763 -0.124360 0.417498 0.596127 0.211564 0.094522 -0.905331 0.662419 1.000000 0.955957
-0.274426 -0.477474 -0.617291 -0.239059 0.677053 -0.572236 -0.529848 0.365035 -0.747831 0.862587 0.517255 0.780376 1.000000 0.917365
-0.810201 -0.510168 -0.878425 -0.992165 -0.744776 -0.851811 -0.133104 0.697683 0.296914 0.437601 -0.564200 -0.535424 1.000000 0.923820
-0.503008 -0.542516 0.463981 -0.294059 -0.216096 -0.698521 0.788108 0.200877 0.245933 -0.965460 0.356669 0.503319 1.000000 0.638358
-0.598401 0.444007 0.942434 -0.978881 0.292148 -0.911268 -0.330961 0.064663 -0.652854 0.211120 -0.034384 -0.481969 1.000000 1.059736
-0.953062 -0.101189 0.588913 0.677854 -0.233669 -0.749283 -0.888837 -0.741037 -0.193034 0.166119 0.759659 -0.561163 1.000000 0.989669
-0.969831 -0.445860 -0.680146 0.599960 -0.517441 0.899354 -0.632031 -0.165195 0.932865 -0.962088 0.858816 -0.022094 1.000000 1.115449
-0.480680 0.538478 0.274150 0.186509 0.448353 -0.137165 -0.026518 0.415881 -0.394520 -0.826295 0.060624 -0.417615 1.000000 1.124674
0.583517 0.688744 -0.555107 -0.735637 -0.323465 -0.372192 0.253301 0.438132 -0.672727 -0.445404 -0.190726 -0.370764 1.000000 0.587388
-0.313831 -0.242092 0.876074 -0.137197 0.222902 0.259815 0.430589 0.047606 0.648569 0.119494 -0.588763 0.121411 1.000000 1.404623
