# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 7.951989 0.072136 7.984862 0.072325 7.988882 0.025120 8.019952 0.024735
1.000000 6.864354 0.053637 6.898574 0.054010 7.159389 0.150372 7.191178 0.149880
2.000000 4.923086 0.115126 4.957732 0.114937 5.176661 0.398091 5.208880 0.398625
3.000000 2.390419 0.243790 2.417177 0.253581 2.612938 0.500739 2.640100 0.510102
4.000000 1.414396 0.258095 1.415306 0.260261 2.108462 0.541708 2.118490 0.548728
5.000000 1.791486 0.415148 1.783208 0.422867 0.704131 0.302260 0.700073 0.298510
6.000000 1.242884 0.222682 1.245770 0.228521 0.881701 0.138421 0.878848 0.139702
7.000000 0.629026 0.196870 0.629205 0.200465 1.231560 0.166556 1.228114 0.164463
8.000000 0.557826 0.157565 0.555462 0.157963 1.113634 0.243721 1.108383 0.241106
9.000000 0.716809 0.131184 0.714629 0.131038 0.687678 0.212698 0.683952 0.208717
10.000000 0.786745 0.102644 0.784665 0.103399 0.465262 0.152805 0.467498 0.151981
11.000000 0.702973 0.075092 0.700465 0.076082 0.471561 0.073613 0.477952 0.074237
12.000000 0.529587 0.063428 0.527558 0.062562 0.456319 0.123153 0.461926 0.124595
13.000000 0.362363 0.079236 0.362739 0.079529 0.388814 0.052581 0.392707 0.055294
14.000000 0.270325 0.081304 0.273679 0.082582 0.351643 0.082874 0.354338 0.084529
15.000000 0.260720 0.045883 0.264702 0.047431 0.317527 0.069474 0.319508 0.070824
16.000000 0.287417 0.059586 0.289458 0.062312 0.262616 0.073071 0.264695 0.073108
17.000000 0.268012 0.044755 0.268326 0.047401 0.219767 0.056877 0.222694 0.056221
18.000000 0.205834 0.030930 0.206315 0.030424 0.192394 0.060985 0.196044 0.063016
19.000000 0.165503 0.043645 0.166923 0.043330 0.170626 0.046270 0.174215 0.047939
20.000000 0.161679 0.036987 0.163412 0.037699 0.162200 0.024596 0.165006 0.025256
21.000000 0.164911 0.024599 0.166366 0.025097 0.155154 0.026309 0.157020 0.026543
22.000000 0.161363 0.030008 0.162625 0.030338 0.134953 0.037914 0.136228 0.038741
23.000000 0.152679 0.028903 0.154009 0.029486 0.111138 0.031877 0.111945 0.032955
24.000000 0.137020 0.022262 0.138366 0.022611 0.101868 0.021108 0.102152 0.021643
25.000000 0.118058 0.022327 0.119213 0.022155 0.100105 0.027507 0.100081 0.027298
26.000000 0.109034 0.022346 0.110154 0.022353 0.089587 0.025027 0.089594 0.024703
27.000000 0.111410 0.014742 0.112971 0.015298 0.074680 0.025535 0.074873 0.025330
28.000000 0.108932 0.008234 0.111066 0.009086 0.066737 0.018481 0.067019 0.018641
29.000000 0.094975 0.010397 0.097284 0.010663 0.062804 0.012720 0.063043 0.013103
30.000000 0.079761 0.011807 0.081808 0.012185 0.055883 0.016891 0.056123 0.016990
31.000000 0.069145 0.014272 0.070762 0.014909 0.050769 0.013934 0.051026 0.014268
32.000000 0.064445 0.013613 0.065656 0.014068 0.051565 0.011263 0.051657 0.011577
33.000000 0.066922 0.010475 0.067848 0.010602 0.050917 0.010832 0.050797 0.010767
34.000000 0.070154 0.008659 0.070937 0.008979 0.043684 0.013499 0.043543 0.013690
35.000000 0.066700 0.007413 0.067397 0.007388 0.035563 0.012500 0.035528 0.012917
36.000000 0.058912 0.007804 0.059532 0.007250 0.032242 0.009774 0.032263 0.009945
37.000000 0.051028 0.009120 0.051604 0.009016 0.031979 0.004520 0.031968 0.004298
38.000000 0.043846 0.008216 0.044412 0.008406 0.031103 0.006573 0.031027 0.006592
39.000000 0.040747 0.006537 0.041359 0.006745 0.029198 0.006471 0.029090 0.006525
40.000000 0.042849 0.006278 0.043553 0.006426 0.027018 0.006184 0.026943 0.006230
41.000000 0.043715 0.005967 0.044464 0.006046 0.024771 0.006584 0.024761 0.006601
42.000000 0.039600 0.002642 0.040324 0.002731 0.023031 0.006724 0.023053 0.006682
43.000000 0.034110 0.003574 0.034809 0.003625 0.021579 0.005620 0.021586 0.005476
44.000000 0.030647 0.004523 0.031327 0.004481 0.019999 0.004395 0.019997 0.004288
45.000000 0.029618 0.003716 0.030257 0.003583 0.018622 0.002901 0.018638 0.002910
46.000000 0.030161 0.003368 0.030773 0.003365 0.017202 0.003196 0.017250 0.003062
47.000000 0.030305 0.003560 0.030920 0.003734 0.015700 0.003133 0.015771 0.003044
48.000000 0.028482 0.002533 0.029097 0.002617 0.015105 0.003706 0.015190 0.003606
49.000000 0.025447 0.003068 0.026048 0.002959 0.015026 0.002129 0.015127 0.002089
50.000000 0.022898 0.003207 0.023488 0.003109 0.014243 0.002785 0.014361 0.002838
51.000000 0.021851 0.002122 0.022453 0.002069 0.012978 0.003097 0.013094 0.003183
52.000000 0.022113 0.002391 0.022773 0.002426 0.012113 0.002622 0.012200 0.002671
53.000000 0.022226 0.002633 0.022953 0.002733 0.011461 0.002011 0.011499 0.002006
54.000000 0.021056 0.001947 0.021790 0.002048 0.010687 0.001502 0.010675 0.001476
55.000000 0.019258 0.001780 0.019939 0.001801 0.010034 0.001644 0.009992 0.001620
56.000000 0.017955 0.001676 0.018573 0.001690 0.009626 0.001760 0.009584 0.001708
57.000000 0.017546 0.001379 0.018131 0.001420 0.009462 0.001586 0.009430 0.001538
58.000000 0.017598 0.001526 0.018196 0.001576 0.009181 0.001501 0.009152 0.001477
59.000000 0.017130 0.001484 0.017763 0.001587 0.008424 0.001617 0.008395 0.001574
60.000000 0.015996 0.001563 0.016638 0.001672 0.007871 0.001609 0.007843 0.001566
61.000000 0.015025 0.001588 0.015647 0.001664 0.007841 0.001226 0.007815 0.001210
62.000000 0.014508 0.001450 0.015098 0.001502 0.007559 0.001238 0.007538 0.001257
63.000000 0.014244 0.001279 0.014804 0.001314 0.007116 0.001276 0.007106 0.001293
64.000000 0.014023 0.001210 0.014561 0.001259 0.006989 0.001190 0.006992 0.001197
65.000000 0.013499 0.001534 0.014013 0.001582 0.006713 0.001211 0.006723 0.001211
66.000000 0.012824 0.001701 0.013307 0.001744 0.006222 0.001178 0.006237 0.001178
67.000000 0.012445 0.001567 0.012904 0.001619 0.006014 0.001024 0.006030 0.001029
