# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 amplitude sigma
0.457167 -0.871125 0.857732 0.046861 -0.798660 0.808713 -0.805918 0.167009 -0.700183 0.414845 -0.564854 -0.573490 0.138018 0.188251 -0.946238 -0.757761 -0.363249 0.362918 0.460388 0.276804 1.000000 1.386429
0.503930 0.119504 -0.683615 -0.374539 -0.563081 0.482016 -0.949411 0.429346 0.414222 -0.870509 0.303754 0.587252 -0.057027 0.649884 -0.674343 -0.974412 0.289310 0.823864 0.475888 0.497665 1.000000 0.926777
-0.672197 0.489992 0.490838 0.798511 -0.043106 -0.159339 -0.855445 -0.076010 -0.376465 -0.940266 -0.203885 -0.999910 -0.387011 -0.633035 -0.843952 -0.406906 -0.261868 -0.504900 0.250206 0.209250 1.000000 1.399689
-0.684847 -0.953439 -0.895300 -0.884243 0.688012 0.004258 -0.525452 -0.355915 0.245013 0.488862 -0.275554 -0.133805 -0.209160 -0.470412 0.892056 -0.773775 -0.275273 0.020565 0.946702 -0.464301 1.000000 1.379763
0.011434 -0.339462 0.279634 -0.353210 -0.512053 0.712104 0.345116 0.573034 -0.739809 -0.700474 0.141680 -0.112590 -0.793702 0.443868 -0.375268 0.077448 -0.304672 -0.191903 -0.100169 -0.767817 1.000000 0.577582
0.521225 -0.108522 0.314681 -0.526487 0.950119 -0.107199 -0.446582 0.045094 0.289535 -0.913636 0.215887 -0.832654 -0.589524 -0.343848 -0.814706 0.362680 -0.977854 0.268021 0.884444 -0.531749 1.000000 0.936170
-0.589872 0.967348 -0.814966 -0.116476 0.483398 -0.705130 0.365836 0.972040 -0.820155 -0.795768 0.198259 -0.244589 0.662687 0.525835 -0.369853 -0.620170 0.927904 -0.047925 -0.367776 0.330390 1.000000 0.532214
0.152528 -0.831303 -0.440718 -0.165543 0.778752 0.474717 -0.026829 -0.445402 0.527152 0.554022 0.768712 -0.377607 0.161844 0.385715 0.080242 -0.787970 0.817587 -0.730599 0.795004 -0.483369 1.000000 0.963981
0.168104 0.224276 -0.140353 -0.499076 0.570753 -0.324590 0.584216 -0.792060 -0.886926 0.889964 -0.137748 0.596536 -0.739871 0.521396 -0.827646 0.652970 0.633831 0.132172 -0.831351 0.026414 1.000000 0.642262
0.114064 -0.397331 0.422295 -0.278342 0.518583 -0.563784 -0.763919 -0.727502 0.026334 0.454056 0.223133 -0.120712 0.483477 -0.636810 0.538904 -0.368896 -0.647211 -0.844321 0.341847 -0.191667 1.000000 0.642374
-0.928822 -0.845940 0.210628 -0.013467 0.922947 -0.274269 -0.535922 -0.589325 0.733514 0.969819 -0.928946 -0.661992 -0.902533 -0.079459 0.335008 -0.532857 -0.609841 0.181881 0.734755 -0.131933 1.000000 0.726795
-0.698858 0.766034 -0.848548 -0.388276 0.753986 -0.334905 -0.099265 0.363303 0.514690 0.306442 0.893897 0.848812 0.794596 -0.251800 0.961840 -0.860584 -0.899950 -0.763788 -0.445821 -0.774590 1.000000 1.102718
0.023978 0.933232 -0.283842 0.549624 -0.379856 0.064650 0.031314 -0.553861 0.549970 0.917980 0.377310 0.025521 0.016092 0.042038 -0.039803 -0.303845 -0.859830 -0.947086 0.702290 -0.126608 1.000000 1.350034
-0.326704 -0.553894 -0.520375 -0.161969 0.425757 -0.121124 -0.424601 -0.555930 -0.996245 -0.242474 -0.778702 -0.418943 0.617427 0.635622 -0.625666 -0.378482 -0.487960 0.514098 -0.561835 -0.074524 1.000000 1.067618
0.472701 0.548329 -0.261463 0.819276 0.429015 0.162760 0.233716 0.807097 -0.375112 0.775429 0.794115 0.504561 0.905683 -0.893312 0.528958 -0.834899 -0.450885 -0.304171 -0.754349 0.782514 1.000000 1.375653
