# x0 x1 x2 x3 x4 amplitude sigma
0.670946 -0.280018 -0.076886 -0.541906 0.419461 1.000000 0.783042
0.253453 -0.677758 -0.934048 0.695045 0.585808 1.000000 0.502030
-0.502447 0.455441 0.130857 -0.644968 -0.141073 1.000000 1.030579
-0.534669 0.828907 -0.285437 -0.040303 -0.385585 1.000000 0.580361
-0.606307 -0.834471 0.394656 -0.767127 -0.194297 1.000000 1.152258
-0.692928 -0.676444 -0.908338 -0.211003 -0.834457 1.000000 1.270739
0.448935 0.073249 -0.250492 -0.765920 -0.123029 1.000000 1.098140
0.867900 0.527843 -0.051489 -0.900339 -0.244688 1.000000 0.826684
-0.786075 0.425932 -0.566919 0.051915 0.704388 1.000000 1.197576
-0.499988 -0.469687 -0.482151 0.747901 0.378469 1.000000 0.995345
-0.594857 -0.569817 -0.715271 -0.580259 -0.481284 1.000000 1.448223
0.221383 -0.560243 -0.572553 -0.236483 0.176708 1.000000 1.072695
0.246580 -0.337725 0.674578 0.597297 -0.203868 1.000000 0.674177
-0.404664 -0.227605 -0.403757 -0.927747 -0.064124 1.000000 0.592194
0.156527 0.457020 0.957231 -0.081748 0.230095 1.000000 0.568419
