# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 1.513758 0.014759 1.522269 0.015010 1.510326 0.004855 1.518571 0.004882
1.000000 1.432723 0.016199 1.441317 0.016274 1.460646 0.009963 1.468780 0.010099
2.000000 1.341994 0.021189 1.350609 0.021112 1.377269 0.024278 1.385197 0.024622
3.000000 1.223136 0.028060 1.231679 0.027899 1.231592 0.046169 1.239134 0.046929
4.000000 1.069430 0.034639 1.077670 0.034583 1.014731 0.072486 1.021566 0.073908
5.000000 0.886240 0.041451 0.893766 0.041781 0.757056 0.092917 0.762542 0.095232
6.000000 0.695962 0.054265 0.702379 0.054960 0.549342 0.098913 0.552470 0.101329
7.000000 0.540481 0.068127 0.545762 0.069037 0.404249 0.068369 0.405402 0.070076
8.000000 0.441698 0.072822 0.445386 0.073641 0.280529 0.038683 0.280893 0.039890
9.000000 0.377530 0.064694 0.379302 0.065226 0.234348 0.035228 0.234220 0.035863
10.000000 0.327131 0.046470 0.327275 0.047330 0.230421 0.040069 0.230229 0.039838
11.000000 0.276611 0.029341 0.275724 0.030846 0.220767 0.027198 0.221034 0.027087
12.000000 0.228404 0.016830 0.227326 0.018025 0.208119 0.030620 0.209130 0.030897
13.000000 0.193694 0.014861 0.193016 0.015130 0.178008 0.039533 0.179511 0.039784
14.000000 0.177461 0.018250 0.177371 0.018230 0.133780 0.034602 0.135221 0.034886
15.000000 0.173423 0.018858 0.173792 0.018841 0.110716 0.014239 0.111739 0.014837
16.000000 0.170004 0.017754 0.170554 0.017679 0.113313 0.016755 0.114033 0.016682
17.000000 0.161424 0.016378 0.161929 0.016209 0.109105 0.013429 0.109870 0.013585
18.000000 0.148291 0.014580 0.148638 0.014372 0.103577 0.010759 0.104626 0.011186
19.000000 0.133433 0.012576 0.133571 0.012411 0.099267 0.012429 0.100564 0.012779
20.000000 0.119427 0.010132 0.119337 0.010091 0.089908 0.013705 0.091228 0.013957
21.000000 0.108105 0.007618 0.107808 0.007676 0.078425 0.008392 0.079535 0.008374
