# x0 x1 x2 amplitude sigma
-0.108228 -0.923739 -0.284919 1.000000 0.733611
-0.584877 -0.320203 -0.264352 1.000000 0.534388
0.514932 0.231200 -0.647454 1.000000 1.080089
-0.282254 -0.494384 -0.551801 1.000000 0.629114
0.397138 0.183277 0.838754 1.000000 1.186241
-0.449961 -0.371582 0.325433 1.000000 1.183675
-0.390617 0.896714 -0.990773 1.000000 1.373196
0.076266 -0.973415 -0.542677 1.000000 0.626965
-0.126104 0.792736 -0.346437 1.000000 1.089669
-0.866993 -0.890262 -0.385315 1.000000 0.552552
0.818478 -0.704566 0.560614 1.000000 0.822286
-0.925310 0.420832 0.338659 1.000000 0.955736
-0.228415 0.043787 -0.430666 1.000000 1.404977
-0.761446 0.346768 -0.252059 1.000000 1.041333
0.571512 -0.905768 0.235735 1.000000 0.536950
