# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 amplitude sigma
0.591636 -0.239836 -0.015512 -0.012729 -0.211670 0.028957 0.390809 0.710954 -0.313644 0.384459 -0.735421 -0.281625 -0.255898 -0.221079 -0.909044 1.000000 0.714050
-0.461170 0.720786 -0.896410 0.521275 0.587562 -0.715033 0.273542 -0.522901 -0.409836 0.272675 0.318056 -0.411186 0.453802 -0.760489 -0.931501 1.000000 1.470845
0.997839 -0.646643 0.483658 -0.634953 -0.508783 -0.840496 -0.959832 0.201257 0.375386 -0.777367 0.754982 0.027655 -0.230074 0.865738 -0.754664 1.000000 0.976911
0.998880 -0.855451 0.555701 0.645013 0.311316 0.528453 0.181865 -0.939777 0.016135 0.127264 -0.065987 -0.784795 0.731190 0.048352 -0.730110 1.000000 0.736195
0.816833 0.091422 0.517407 -0.598483 0.271563 0.326781 -0.294931 -0.578793 0.588353 0.006882 -0.001844 0.267160 -0.560829 -0.666470 -0.520274 1.000000 1.415301
0.782508 0.161243 -0.772539 0.383640 -0.486355 0.234172 -0.439755 -0.347981 0.022170 -0.826077 -0.356068 -0.447101 0.456725 0.338608 0.598441 1.000000 0.804251
-0.361988 0.909930 -0.858794 -0.183670 -0.668328 0.445137 0.774405 0.106088 0.243886 -0.892608 0.786569 -0.839867 -0.243335 0.310699 -0.263731 1.000000 1.302723
-0.104730 -0.961311 -0.505966 -0.219089 0.352409 -0.364672 -0.029580 -0.058793 0.556731 0.288744 -0.473271 0.820880 0.563072 -0.660145 0.073118 1.000000 1.490455
-0.024911 -0.256457 -0.162775 -0.503838 -0.687585 0.029982 -0.298536 0.891809 -0.729785 0.743671 0.570066 -0.502108 0.110079 0.912549 0.057546 1.000000 1.313540
0.795489 -0.942760 0.011654 0.925557 0.775081 0.323941 0.394671 0.145269 0.766419 -0.892716 -0.981617 -0.414848 -0.680932 0.522454 0.294075 1.000000 1.417088
0.644627 -0.678380 -0.588417 0.395498 -0.057535 -0.981384 0.592444 -0.887147 0.537372 -0.257040 -0.385059 0.685232 0.780795 -0.074045 -0.992941 1.000000 1.152595
-0.917602 0.407015 0.313129 -0.425190 -0.795431 0.954954 0.868063 0.973864 -0.108625 0.148864 -0.222212 0.769269 -0.259464 0.548235 -0.938478 1.000000 0.780161
0.524869 -0.918294 0.168228 -0.310504 -0.872345 0.352549 0.804835 0.616197 -0.355409 -0.612815 0.911805 -0.525360 -0.759242 0.567815 0.807996 1.000000 1.122502
-0.259758 0.459035 -0.891463 -0.860415 0.401121 -0.449444 -0.006518 -0.796266 0.793298 -0.423326 0.841296 0.382512 -0.572827 0.242866 -0.189290 1.000000 0.663128
-0.959625 -0.618716 0.163445 -0.564590 -0.923054 0.789448 0.525893 0.074064 -0.388088 -0.646805 0.143164 0.217089 0.699509 0.826431 -0.550816 1.000000 1.264633
