# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 1.553514 0.015227 1.565019 0.015189 1.554780 0.003611 1.566168 0.003757
1.000000 0.832610 0.035970 0.831186 0.037238 1.335318 0.013603 1.333106 0.013828
2.000000 0.972326 0.323724 0.989092 0.333203 2.697583 0.972360 2.702230 0.957073
3.000000 1.510585 0.295503 1.510680 0.291364 1.595486 0.430153 1.595093 0.427285
4.000000 0.444853 0.088199 0.451554 0.089836 1.473838 0.282708 1.478091 0.294053
5.000000 0.536951 0.063897 0.540868 0.066649 1.418760 0.148562 1.427274 0.156054
6.000000 0.603343 0.065002 0.605490 0.067518 1.424464 0.048610 1.433753 0.050048
7.000000 0.543800 0.070759 0.545157 0.073112 1.359259 0.059499 1.365703 0.061597
8.000000 0.414622 0.072231 0.415860 0.074010 1.299729 0.065383 1.302646 0.068035
9.000000 0.279686 0.067482 0.281051 0.067857 1.278484 0.041799 1.279531 0.044671
10.000000 0.176476 0.033752 0.177499 0.033357 1.243235 0.040449 1.245327 0.040637
11.000000 0.170794 0.023304 0.171010 0.024141 1.221984 0.021761 1.227025 0.023104
12.000000 0.202183 0.029530 0.202913 0.029750 1.223216 0.021842 1.231148 0.024830
13.000000 0.179554 0.035102 0.180646 0.036104 1.224289 0.017166 1.233554 0.020341
14.000000 0.125127 0.022991 0.125606 0.023522 1.215990 0.019255 1.224738 0.020838
15.000000 0.111290 0.008065 0.111601 0.007274 1.204806 0.015224 1.212220 0.016953
16.000000 0.126086 0.014051 0.126665 0.014262 1.195430 0.008476 1.201335 0.009940
17.000000 0.129561 0.013798 0.130246 0.014396 1.187617 0.007603 1.192241 0.005846
18.000000 0.118216 0.013250 0.118595 0.013366 1.180940 0.012040 1.184769 0.011221
19.000000 0.092322 0.011701 0.092372 0.011511 1.173360 0.013920 1.177150 0.013812
20.000000 0.071721 0.009958 0.071763 0.010049 1.166267 0.013346 1.170776 0.012955
21.000000 0.067148 0.007439 0.067238 0.007681 1.160244 0.012897 1.165826 0.012581
22.000000 0.071324 0.009245 0.071203 0.009324 1.153709 0.016196 1.160213 0.015998
23.000000 0.071914 0.008750 0.071457 0.008806 1.146044 0.018169 1.153298 0.017662
24.000000 0.063574 0.007307 0.062921 0.007111 1.135714 0.017468 1.143911 0.016765
25.000000 0.056046 0.008643 0.055518 0.008334 1.126134 0.018175 1.135610 0.017122
26.000000 0.051374 0.006099 0.051194 0.005874 1.120606 0.020555 1.131416 0.018904
27.000000 0.049382 0.004516 0.049545 0.004704 1.113949 0.021438 1.125856 0.019435
28.000000 0.049486 0.005721 0.049787 0.005921 1.105507 0.019976 1.118180 0.018242
29.000000 0.048220 0.004417 0.048428 0.004584 1.096809 0.020764 1.109873 0.019124
30.000000 0.044006 0.004095 0.044117 0.004415 1.089143 0.021474 1.102075 0.020392
31.000000 0.039417 0.004862 0.039481 0.005159 1.082333 0.019930 1.095076 0.019033
32.000000 0.036364 0.002645 0.036322 0.002835 1.077706 0.017025 1.090641 0.016091
33.000000 0.035221 0.002063 0.035012 0.002090 1.074074 0.016283 1.087603 0.015252
34.000000 0.033345 0.002006 0.033063 0.001986 1.069787 0.016161 1.084065 0.014545
35.000000 0.030769 0.001824 0.030522 0.001806 1.066514 0.014090 1.080923 0.012485
36.000000 0.028526 0.001967 0.028353 0.001887 1.062577 0.013276 1.076890 0.011921
37.000000 0.026988 0.001847 0.026854 0.001828 1.058333 0.011935 1.072793 0.010509
38.000000 0.026316 0.001354 0.026188 0.001379 1.055180 0.009591 1.069801 0.008259
39.000000 0.025571 0.001152 0.025417 0.001078 1.052726 0.009436 1.067687 0.007918
40.000000 0.023847 0.001341 0.023648 0.001234 1.050703 0.008973 1.066136 0.007446
