# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
-0.049842 -0.313675 -0.578521 0.939978 -0.672629 -0.245473 -0.507024 0.786770 -0.179886 -0.380806 1.000000 1.406854
0.030363 -0.800420 -0.329025 0.083797 -0.339802 -0.517835 -0.375032 -0.442507 0.648686 0.736967 1.000000 0.612530
-0.596474 0.623341 0.348340 -0.613733 -0.309218 0.173443 -0.014239 -0.966521 0.394233 0.029180 1.000000 0.600300
-0.779329 0.937533 -0.049381 0.794105 -0.759646 -0.715688 0.497115 -0.695836 0.287265 -0.292736 1.000000 0.576208
-0.805553 0.113591 0.077607 0.753817 -0.433546 -0.930152 0.550647 0.729099 -0.070012 -0.044540 1.000000 1.442522
0.772515 0.924011 -0.187495 0.013142 -0.239833 0.881954 0.884766 -0.105613 0.264904 0.083974 1.000000 1.349352
0.469794 -0.889638 0.537533 -0.195298 0.846994 -0.987437 0.216169 0.106125 0.457422 -0.028479 1.000000 1.451836
0.996677 -0.408304 0.545377 -0.147527 0.801950 -0.221920 0.618880 0.646912 -0.854978 -0.537331 1.000000 0.681183
0.925387 0.777920 0.576802 -0.446943 0.881133 0.512491 -0.825221 0.070137 -0.718217 -0.540941 1.000000 1.401289
-0.775504 -0.229716 0.030677 0.582510 0.310033 -0.678467 -0.403418 -0.885789 -0.601338 0.562724 1.000000 0.885884
0.864106 -0.881565 0.040892 0.241080 0.899358 0.000542 0.421351 -0.580343 0.321359 -0.218670 1.000000 0.962308
0.872289 0.521690 -0.500080 -0.161695 0.383231 -0.235196 0.838092 0.699071 0.705771 0.430735 1.000000 0.608118
0.016734 -0.527918 -0.618376 -0.556184 -0.355909 0.185372 0.850346 0.363755 0.818699 0.042301 1.000000 0.837552
0.143579 0.007400 0.665656 -0.733467 0.921708 0.667504 0.886624 -0.154276 0.762881 0.170780 1.000000 1.239506
0.883788 -0.022106 0.219146 -0.039002 0.733568 -0.331691 0.379251 -0.423470 0.393627 0.379329 1.000000 1.086747
-0.678846 0.304984 -0.630399 -0.754664 -0.313632 -0.603636 -0.763204 -0.628962 -0.437542 0.803209 1.000000 1.430498
-0.843278 -0.589967 -0.403995 0.687357 -0.914776 -0.861549 -0.634115 -0.475171 0.248004 0.907655 1.000000 1.281125
0.521631 0.703447 -0.193987 -0.940246 -0.302401 -0.994942 -0.319499 -0.730370 0.372545 -0.629518 1.000000 1.484194
0.093376 0.806725 0.346706 0.566332 0.979257 0.425814 0.227012 0.442937 -0.257562 0.439930 1.000000 0.540515
0.335449 0.154499 0.152511 0.900622 0.118244 0.905867 -0.292222 -0.833754 0.624860 0.366181 1.000000 1.060107
0.242798 -0.265973 -0.531926 0.411978 0.051479 -0.350880 -0.300775 0.357287 -0.537926 0.165819 1.000000 0.920934
0.411549 -0.213955 -0.667362 -0.354352 0.786345 -0.340447 -0.605356 0.413895 -0.178731 0.458457 1.000000 1.052802
0.348126 0.786952 0.961615 0.119103 -0.084324 -0.626410 -0.680862 -0.762676 -0.158203 -0.877025 1.000000 1.495877
0.739338 -0.519269 0.562271 0.980531 0.742815 0.406001 -0.138152 -0.647605 -0.285251 0.479946 1.000000 1.135220
0.824997 0.811016 -0.898097 0.402976 -0.424428 -0.808943 -0.083910 -0.364559 -0.689430 0.497330 1.000000 1.212786
-0.433718 0.823179 0.110577 0.042957 -0.806800 0.070185 0.592164 0.830258 -0.767405 -0.648103 1.000000 0.583629
0.000000 0.073815 -0.628708 0.919474 -0.789936 -0.351980 0.973503 -0.854483 -0.944053 -0.037010 1.000000 1.382712
0.597495 0.210841 0.377767 -0.616454 -0.952534 0.848314 0.489015 0.904901 -0.693888 -0.018966 1.000000 0.998436
-0.337965 0.103247 -0.704202 -0.943095 0.522803 -0.115062 -0.849542 0.571112 0.455264 -0.902150 1.000000 0.858218
0.937081 -0.148282 -0.972497 0.998390 0.531959 0.981953 -0.069634 -0.640336 -0.159586 0.190332 1.000000 1.490731
0.853389 0.911589 0.926212 -0.665260 0.837047 0.192725 -0.773002 0.174339 0.132663 0.810979 1.000000 0.823951
-0.125851 -0.779864 0.349403 0.472212 0.615767 0.018663 -0.405747 -0.777654 -0.165279 0.529458 1.000000 0.755542
0.799785 0.442374 0.155585 -0.804383 -0.302831 0.138741 -0.257301 -0.150572 -0.962381 -0.052992 1.000000 0.547435
0.623293 0.218769 0.715007 0.887553 -0.757936 0.436325 -0.999286 0.952052 -0.486371 -0.781125 1.000000 0.870432
0.306591 0.090685 -0.052981 -0.539055 0.385067 0.347727 0.687435 0.379502 -0.064072 -0.659375 1.000000 0.760315
-0.909123 0.409566 0.182880 -0.738331 0.891006 -0.613303 -0.870737 0.218429 -0.978078 0.927919 1.000000 0.736079
-0.380771 0.616374 -0.355478 -0.656488 0.529302 -0.361813 0.521540 -0.527921 0.290203 0.659347 1.000000 0.593146
-0.141754 0.382219 -0.963804 -0.815770 -0.851130 -0.942856 -0.022305 -0.613956 -0.269580 -0.360769 1.000000 1.331305
0.279805 -0.011695 -0.068293 -0.209012 0.102512 0.536375 -0.468810 -0.744628 -0.293819 0.408866 1.000000 0.749966
0.002424 -0.680085 -0.154630 0.027428 -0.988920 0.120900 -0.488999 0.761319 0.326321 0.660567 1.000000 0.688564
0.137282 -0.052473 0.479211 -0.381068 -0.537866 0.423566 0.156853 0.367539 -0.180676 0.410308 1.000000 0.831470
-0.570845 0.774663 0.502529 0.646142 0.424607 -0.400662 0.084228 -0.954806 -0.539213 0.928425 1.000000 1.383312
-0.481205 0.099608 0.324678 0.685446 0.362427 0.901950 -0.196705 0.250147 -0.622313 -0.211150 1.000000 1.490107
0.150206 0.362596 0.446939 0.845389 -0.944198 0.071342 -0.608080 0.619386 0.653346 -0.738552 1.000000 0.726536
0.157672 -0.821191 -0.910214 -0.556263 0.091647 -0.878364 0.618887 -0.664590 -0.178287 0.858281 1.000000 0.501597
-0.997643 -0.186159 -0.971587 -0.921121 0.319318 -0.874043 -0.293291 0.557269 0.154059 0.831919 1.000000 0.633512
0.943839 -0.625857 0.917409 -0.288491 -0.252921 -0.265755 -0.099165 0.436778 -0.071725 -0.689623 1.000000 0.823637
-0.493073 -0.999851 0.992918 -0.243700 0.461284 -0.921008 -0.902743 0.967428 0.431775 0.767550 1.000000 0.764636
-0.542812 -0.559085 -0.245305 0.505529 -0.157994 0.033344 -0.229976 -0.132784 0.828363 -0.830388 1.000000 1.460580
-0.270222 -0.021713 0.224625 -0.243672 0.617628 0.266667 0.104766 0.567187 -0.245155 -0.958204 1.000000 0.718749
0.211198 -0.250744 -0.266149 -0.524965 0.837151 -0.565086 -0.064090 0.898174 0.906895 0.245447 1.000000 0.972064
0.151663 0.030038 -0.463997 -0.628802 -0.466602 0.062305 0.620940 0.549059 0.545056 0.766981 1.000000 0.710380
0.118073 0.832056 -0.364865 -0.738643 -0.175406 0.898058 0.076600 0.499456 -0.437937 -0.364079 1.000000 1.175227
-0.876346 -0.120693 0.400731 -0.645424 -0.474960 -0.426007 0.046403 0.118661 0.664120 -0.039031 1.000000 0.804615
0.410052 0.718663 -0.736891 0.428585 -0.383946 0.928326 0.687762 -0.084317 -0.820923 -0.484622 1.000000 1.159600
0.837964 0.536400 0.343928 0.763893 -0.423258 -0.113276 -0.565491 0.788257 -0.015026 -0.187857 1.000000 0.924986
0.212997 -0.805121 -0.197489 -0.424728 0.183344 0.406635 0.043206 -0.729257 0.714015 -0.250617 1.000000 0.843556
0.736197 0.137274 -0.710615 -0.825816 -0.186460 0.808335 0.909908 0.061264 -0.821191 -0.502191 1.000000 0.858636
0.295350 0.621037 0.867131 -0.522929 0.367918 0.656031 -0.162584 -0.104032 0.182971 0.128125 1.000000 0.944277
-0.004412 0.820650 0.512898 0.350383 0.502471 -0.356038 -0.635196 -0.262670 0.831532 -0.127371 1.000000 0.814903
-0.601821 -0.352364 0.341532 0.256933 -0.358651 0.943627 -0.541514 -0.698148 0.331801 0.684182 1.000000 0.809672
-0.137389 0.214969 0.587828 0.056136 0.939394 0.523193 -0.476308 -0.760963 0.522963 0.192631 1.000000 1.106878
0.861226 0.485792 0.159724 -0.084924 -0.247477 -0.001331 0.960860 -0.789453 -0.143872 -0.926441 1.000000 1.149477
0.922396 -0.280850 -0.356122 -0.149769 -0.545181 0.356166 -0.741897 -0.233526 -0.155945 -0.035314 1.000000 0.916146
0.969462 0.139080 0.565139 0.121188 -0.130681 -0.706331 -0.043274 -0.670969 -0.966972 -0.909131 1.000000 1.457517
-0.809431 -0.864483 -0.694519 0.937789 0.451833 0.400391 0.909379 0.845130 0.892188 -0.408818 1.000000 1.291832
-0.614092 -0.598654 -0.201873 -0.284742 -0.287333 -0.449294 -0.312238 0.143863 -0.305563 -0.848651 1.000000 1.277631
-0.536448 0.070697 0.636119 0.731530 -0.657403 0.060991 -0.154888 -0.037119 -0.681911 -0.576229 1.000000 0.546174
0.887758 0.704501 0.715713 0.260380 -0.966750 0.810288 0.465288 0.243124 0.609615 0.333472 1.000000 0.933927
-0.628580 -0.305348 0.124635 -0.945618 -0.874615 0.107069 -0.268952 0.973073 -0.501768 0.297243 1.000000 0.613676
0.329336 -0.415382 0.837085 0.345781 -0.567247 -0.975661 0.510719 -0.619041 0.384048 -0.431026 1.000000 0.804442
0.508177 0.643761 0.778227 -0.454604 0.849747 -0.160506 0.917542 0.010750 -0.073487 -0.148599 1.000000 0.847636
0.792036 0.575988 -0.157183 0.012205 0.578883 0.959465 0.172423 0.347875 -0.982500 0.226526 1.000000 1.215616
0.936451 -0.955744 0.662753 0.394812 0.256319 0.359260 0.027906 0.724912 -0.377565 0.136189 1.000000 0.747666
-0.529354 0.622671 0.544822 -0.713513 0.642985 0.497558 -0.572831 0.405259 0.374046 -0.510693 1.000000 1.479432
-0.154358 0.097419 -0.545598 -0.210514 -0.914129 -0.922544 -0.038938 -0.561380 -0.215100 0.760498 1.000000 0.500582
0.596100 -0.515392 0.708621 -0.409504 -0.223987 0.194650 0.338482 0.037530 0.792435 -0.101225 1.000000 1.247223
0.320436 0.648581 -0.265312 0.980422 0.924219 0.960361 -0.118768 0.677428 -0.818396 -0.068099 1.000000 0.539940
-0.103626 0.152907 0.374306 0.382699 0.520955 0.825644 0.680834 0.378810 -0.560635 -0.892802 1.000000 1.075930
-0.143989 0.160215 -0.276788 0.178218 -0.714057 -0.858208 0.004298 0.517216 0.401827 -0.682352 1.000000 0.673598
-0.810980 -0.463192 -0.894348 -0.919212 0.239488 -0.686374 0.241726 -0.644762 0.598311 0.771859 1.000000 0.750562
-0.358392 0.584664 -0.251165 0.081245 -0.993467 0.414541 -0.744977 0.605260 -0.215251 -0.625873 1.000000 1.341325
-0.788937 0.533007 0.120185 0.420280 0.583774 -0.806793 0.332193 -0.426943 0.774970 -0.154776 1.000000 1.020379
-0.794571 0.944025 -0.117830 -0.986805 -0.521518 0.130196 0.572891 0.451372 0.104710 -0.298855 1.000000 0.771766
0.028345 -0.785694 -0.737585 -0.335373 -0.588242 0.570136 -0.153765 0.439917 -0.005170 -0.560475 1.000000 1.188321
0.016917 -0.905717 -0.122587 -0.064902 -0.108303 0.807888 0.738076 -0.371321 -0.717630 -0.376356 1.000000 1.472048
0.564177 0.146136 -0.103003 -0.887399 -0.369048 0.737616 0.251015 -0.777725 0.545454 -0.281439 1.000000 0.924850
-0.560066 0.878813 0.820994 -0.696182 0.025694 -0.974533 0.655700 -0.778147 0.813363 0.148861 1.000000 0.906883
-0.176187 0.627584 0.558076 0.907351 -0.409301 0.519088 0.508474 -0.806874 0.595444 0.564653 1.000000 1.049666
-0.932129 -0.861344 -0.302294 0.386875 -0.812884 0.522233 -0.827309 -0.493673 0.578807 -0.673994 1.000000 1.178130
0.650371 -0.650158 -0.159082 -0.685540 -0.657457 -0.533055 0.632885 -0.505201 0.722886 0.263236 1.000000 1.092965
-0.747207 0.033453 -0.814600 0.181366 0.986100 -0.402940 0.294854 0.310859 -0.885653 -0.110794 1.000000 1.047116
0.873794 0.602269 0.692545 -0.078761 -0.230572 0.421055 -0.753016 0.481925 -0.255504 -0.714731 1.000000 1.154049
0.724290 0.085972 -0.356534 -0.503120 -0.649965 -0.615754 -0.926972 -0.595520 0.120046 -0.626241 1.000000 1.038611
-0.954874 -0.633413 0.911868 -0.484705 -0.393579 0.991417 -0.012092 0.102165 0.606220 -0.323624 1.000000 1.136331
0.124166 0.255432 -0.416195 -0.739826 -0.512771 -0.706567 0.804992 -0.901500 0.748050 0.474714 1.000000 0.603458
0.958701 -0.823610 0.867009 -0.502639 -0.091748 -0.174548 0.666112 0.065487 -0.350083 -0.597523 1.000000 1.185435
