# x0 x1 x2 x3 x4 amplitude sigma
0.014150 -0.391221 0.122678 0.185165 -0.722809 1.000000 0.783042
0.004171 -0.153303 0.954959 -0.240349 -0.827300 1.000000 0.502030
0.198135 -0.775373 0.486900 -0.668280 -0.354352 1.000000 1.030579
-0.909695 -0.087317 -0.624737 0.393251 0.422827 1.000000 0.580361
0.602655 -0.430402 0.536705 0.376451 -0.409416 1.000000 1.152258
-0.542379 -0.523088 0.998951 -0.136278 -0.871353 1.000000 1.270739
-0.191234 0.519542 -0.014706 0.429219 0.888225 1.000000 1.098140
0.818004 -0.871791 -0.160043 0.175632 -0.661412 1.000000 0.826684
0.104935 -0.063122 0.429768 -0.891577 0.647215 1.000000 1.197576
-0.300760 -0.965616 0.665021 0.806135 -0.003266 1.000000 0.995345
0.973752 -0.943749 -0.817023 0.797404 0.780699 1.000000 1.448223
-0.582107 0.615477 -0.243916 0.280935 0.297526 1.000000 1.072695
0.422724 -0.722765 -0.731837 0.665297 0.342115 1.000000 0.674177
-0.288771 -0.847249 -0.166159 0.440739 0.580368 1.000000 0.592194
-0.262325 0.871010 -0.617708 -0.123716 0.807730 1.000000 0.568419
0.552747 0.504181 0.405657 0.161013 -0.637661 1.000000 1.418650
-0.471908 0.458750 -0.351285 0.375386 0.366644 1.000000 1.157189
0.258837 -0.841778 0.349196 0.827109 -0.559843 1.000000 0.911754
0.152335 0.858576 0.556017 -0.659245 0.584901 1.000000 0.947517
0.091891 0.452391 0.908936 0.665867 -0.333882 1.000000 1.036694
-0.502034 -0.330559 -0.888271 -0.409721 0.544682 1.000000 0.942564
0.836735 -0.719631 -0.185436 0.866329 -0.783421 1.000000 1.378959
0.880275 0.621332 -0.801884 -0.418251 0.897881 1.000000 0.577151
0.314917 0.276830 -0.101513 0.072928 -0.319840 1.000000 1.114988
0.236378 -0.577609 0.214043 0.764940 -0.187867 1.000000 0.855404
-0.267228 -0.572051 0.489272 0.158361 -0.523366 1.000000 0.593031
-0.118873 -0.123695 -0.056794 0.801953 -0.370099 1.000000 0.535867
0.270359 0.077856 0.140471 -0.834796 0.904738 1.000000 1.226523
-0.704363 0.126358 -0.092199 -0.084668 -0.921657 1.000000 0.701274
0.774572 0.642599 0.691825 -0.284015 0.871110 1.000000 0.774254
0.342121 -0.750220 -0.596438 0.461481 -0.149901 1.000000 0.583577
0.787114 0.688136 0.328456 0.259081 -0.756174 1.000000 0.954697
0.654019 0.547938 0.359973 -0.700927 0.563322 1.000000 1.416173
-0.367584 0.005781 0.089080 -0.796144 -0.325792 1.000000 0.631997
-0.092787 0.970867 -0.041763 -0.044006 -0.217081 1.000000 1.351901
-0.576855 -0.745454 -0.157119 -0.169889 -0.552677 1.000000 0.526296
-0.420181 0.125734 -0.899802 -0.997134 -0.813678 1.000000 0.706542
-0.733252 -0.475094 0.907035 0.813905 0.659021 1.000000 0.863068
