# x0 x1 x2 x3 amplitude sigma
-0.847593 0.636713 0.582921 -0.868178 1.000000 0.605172
0.166168 0.450712 0.752144 0.834696 1.000000 0.628144
0.743727 -0.162781 0.280891 -0.587893 1.000000 0.587406
0.947920 0.685217 0.893895 -0.811508 1.000000 0.615479
-0.332894 -0.203997 0.371493 0.708776 1.000000 1.247728
0.236573 -0.087958 -0.488048 -0.940019 1.000000 0.883046
0.215322 0.080314 0.082620 -0.836950 1.000000 1.080045
0.016446 -0.949263 0.628489 0.501445 1.000000 0.549997
-0.474769 0.131762 0.508149 -0.295264 1.000000 0.932028
0.525504 0.474089 -0.978515 0.199676 1.000000 1.001936
-0.074575 -0.648884 0.555809 -0.288142 1.000000 1.306007
-0.474515 -0.157952 -0.563623 0.544916 1.000000 1.314033
0.337402 -0.248168 0.468516 -0.688109 1.000000 0.831430
-0.941108 -0.929165 -0.289232 -0.182919 1.000000 1.464898
0.101283 0.947962 -0.471561 -0.607140 1.000000 0.555832
0.253964 0.263126 -0.674638 0.256417 1.000000 0.616671
