# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
0.236157 -0.778330 -0.530221 0.339985 -0.359218 0.138733 0.057426 -0.444098 1.000000 0.599924
0.958007 -0.855082 0.991279 -0.296143 -0.866435 -0.639325 0.202424 0.033762 1.000000 0.802848
-0.064562 0.086727 0.881389 -0.292749 -0.738894 0.113379 0.678742 0.899804 1.000000 1.283060
0.891337 0.759100 -0.607258 -0.300056 -0.163829 0.289660 -0.004880 0.764402 1.000000 1.004381
-0.523397 0.682016 0.030420 0.472541 -0.368466 0.923597 0.541633 -0.570594 1.000000 0.612691
-0.504679 -0.689273 0.072946 -0.428899 0.443136 0.874928 0.286062 0.914328 1.000000 0.602447
0.589731 -0.075582 0.700688 0.697741 -0.740129 -0.036461 -0.937139 0.678947 1.000000 1.364871
-0.435928 0.830724 -0.583277 0.672148 0.468074 0.430122 0.478930 -0.088727 1.000000 1.362089
0.560231 -0.825314 0.173390 -0.667281 0.711036 -0.932460 -0.956135 -0.408029 1.000000 0.898413
0.740648 -0.111068 -0.724998 0.354664 0.678931 0.130012 -0.396656 0.206809 1.000000 1.247867
-0.956390 -0.817622 0.494650 0.943417 0.403452 -0.459616 0.492376 -0.860860 1.000000 0.674890
-0.701907 -0.880492 -0.126311 -0.713324 -0.009340 0.407219 -0.121991 -0.412964 1.000000 1.443621
0.195215 -0.108521 -0.703063 0.165572 0.044012 -0.334922 0.576100 -0.926321 1.000000 0.552391
0.702119 0.698851 0.682275 -0.229819 -0.239471 -0.092966 -0.529436 0.923514 1.000000 1.361961
0.809972 0.780916 -0.667517 -0.978026 -0.785484 -0.813405 0.650535 -0.841775 1.000000 1.060971
-0.505311 0.843024 -0.908691 0.647221 0.828502 0.116512 -0.001714 -0.372686 1.000000 1.376926
0.580132 0.579438 0.166344 0.171839 0.325023 -0.888580 -0.707560 0.972166 1.000000 1.391139
0.761887 -0.348121 0.232659 -0.843251 0.547587 0.089233 0.961651 0.465191 1.000000 0.639052
-0.887608 -0.769645 -0.550833 -0.134719 -0.251935 0.472116 -0.456658 -0.864340 1.000000 0.753683
0.277094 0.602055 0.571619 -0.303105 -0.156719 -0.369171 -0.368530 0.861667 1.000000 0.700051
0.421381 -0.214217 0.097298 0.758626 0.128843 -0.113802 0.178261 -0.765297 1.000000 1.298022
0.820659 0.876338 -0.185106 0.922680 -0.681616 0.961761 0.829625 -0.828093 1.000000 0.543511
0.525885 0.499736 -0.541661 0.299702 0.519295 0.512941 0.525623 0.628006 1.000000 1.294945
-0.811732 -0.746817 -0.123166 -0.603403 -0.788622 -0.423719 -0.396874 -0.567125 1.000000 1.354825
0.296878 -0.074159 0.485771 -0.562211 -0.428537 0.581775 0.078333 0.945911 1.000000 0.779559
0.388638 0.192080 0.741289 -0.269984 0.007780 0.487152 0.554570 -0.787711 1.000000 0.627991
0.373403 0.374066 -0.662299 0.021200 0.212160 0.504753 -0.605165 0.795068 1.000000 1.130728
0.854430 -0.285756 -0.404997 0.094629 0.453915 0.860993 -0.224888 -0.656531 1.000000 1.373326
-0.067927 -0.086135 -0.107790 0.541623 0.716128 -0.930945 0.932017 -0.663820 1.000000 0.850928
0.152394 0.217650 0.553316 0.112066 0.208442 -0.435463 -0.699014 0.323324 1.000000 1.242522
0.955606 0.747298 -0.515807 -0.817228 0.010832 0.546474 0.555825 -0.368980 1.000000 0.895500
0.893059 0.143178 0.932579 -0.010932 -0.122817 0.847441 -0.198926 0.027367 1.000000 1.020164
0.866448 -0.149380 0.350229 -0.212587 -0.089638 0.602011 0.970771 -0.185451 1.000000 1.396458
0.760784 0.552087 0.847337 -0.432693 0.700101 -0.791526 -0.738232 0.300851 1.000000 0.690494
-0.312569 0.610315 -0.151117 -0.420377 -0.303367 0.765546 -0.621549 0.326492 1.000000 1.249268
0.923662 0.555399 0.264860 -0.464020 -0.601311 -0.009764 0.631413 -0.629198 1.000000 0.595008
-0.704676 0.249843 -0.775658 0.039893 -0.099356 0.161111 -0.193300 0.457582 1.000000 1.097881
-0.318183 -0.440269 0.392477 0.522551 0.991548 0.267958 -0.105169 0.791061 1.000000 1.499597
0.513168 0.514062 -0.387636 -0.999492 -0.649179 -0.510302 0.651565 -0.434030 1.000000 1.040064
-0.794817 -0.787184 0.369339 0.313985 -0.301252 -0.433334 0.063990 0.814698 1.000000 0.931532
0.527999 0.597029 -0.622936 0.194948 -0.439626 0.555106 0.587260 -0.364627 1.000000 0.556791
0.001567 -0.414656 -0.060677 -0.522701 0.520577 0.676312 0.801628 0.862471 1.000000 1.321650
-0.561772 -0.789286 0.591550 0.336986 -0.691823 0.289869 0.375244 0.787995 1.000000 0.787993
0.157316 -0.449299 0.075829 0.901271 -0.703784 0.559188 -0.994040 -0.248815 1.000000 1.212600
0.303097 0.379090 -0.826147 0.074310 0.072923 -0.620115 -0.073655 -0.337576 1.000000 0.987331
0.094111 0.991634 -0.358990 -0.397301 0.040367 -0.817551 0.026643 -0.009054 1.000000 0.859294
-0.322135 0.983671 0.633788 -0.234893 -0.052478 -0.148574 -0.108242 0.358985 1.000000 0.740590
-0.990918 0.267516 0.790347 -0.298914 -0.243132 -0.550390 0.244653 0.518297 1.000000 0.502274
