# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 amplitude sigma
0.430544 0.709041 0.700222 0.851329 0.193608 -0.524859 -0.704130 -0.580530 0.737881 -0.628985 -0.773697 -0.621107 -0.307452 -0.857525 0.065079 1.000000 1.093620
0.483235 0.111369 0.320524 -0.894587 0.684966 0.939192 0.286142 -0.485368 0.632082 0.611828 0.089191 -0.228540 0.311334 -0.246044 -0.571341 1.000000 0.509102
0.487425 0.162222 -0.743809 -0.444741 -0.300172 0.498293 0.178697 0.996793 -0.497140 -0.267528 0.922239 0.469595 0.476062 0.893338 0.038819 1.000000 0.685610
0.984323 -0.915026 0.425452 -0.957439 -0.382385 0.732030 -0.184586 -0.809410 -0.039311 0.748506 -0.220076 -0.755451 -0.106547 0.594004 -0.569987 1.000000 0.943456
-0.234382 -0.847747 -0.754494 0.189699 -0.928768 0.898453 -0.720411 -0.743161 0.322325 0.059139 0.270543 -0.401357 0.385711 -0.862468 -0.254003 1.000000 1.450704
0.494621 0.985517 0.200500 -0.304096 0.073609 -0.425876 -0.772482 0.802899 -0.336419 -0.513954 0.846514 0.983406 -0.209112 -0.779267 -0.767420 1.000000 1.168209
0.171308 0.818491 -0.670352 0.464312 -0.300911 -0.939527 0.845649 0.283386 -0.734126 0.394899 0.099153 0.284800 -0.476060 0.511318 0.476575 1.000000 0.518338
-0.785695 0.106051 -0.806188 -0.962637 0.736482 0.720890 -0.940369 -0.667599 0.880690 -0.674941 -0.191853 -0.402092 -0.830931 0.287114 -0.004570 1.000000 1.133132
0.803830 0.508447 0.323355 -0.494659 0.404771 0.991103 -0.563534 0.489610 -0.263373 0.274700 -0.553001 0.045057 0.295553 0.849109 0.586477 1.000000 0.838516
0.133794 -0.067083 -0.205979 0.426582 0.774312 0.928181 -0.514625 0.943597 0.075512 -0.816321 0.726052 -0.534162 0.130545 0.702640 0.095691 1.000000 0.939644
0.615997 -0.838120 -0.267515 -0.963925 -0.187138 0.279551 0.085657 0.764773 0.004412 -0.460151 0.612183 -0.870322 0.691328 0.196498 0.228717 1.000000 0.541115
-0.347792 0.172975 0.676860 -0.988892 -0.159221 -0.871438 -0.466360 0.363318 -0.211887 0.690528 0.253381 -0.927240 0.978853 0.632147 0.951571 1.000000 1.459278
-0.166349 -0.361811 0.890399 0.219537 0.683073 0.035464 0.096041 -0.702720 0.377034 -0.452419 0.425183 0.380885 -0.782151 0.048353 -0.951159 1.000000 0.752685
-0.181313 -0.992465 0.380784 -0.592726 -0.408065 -0.982361 -0.638787 0.818333 0.777258 0.430583 0.508073 0.661505 0.149423 -0.467286 0.648077 1.000000 0.729909
-0.991249 -0.695911 -0.330317 0.636604 0.732563 0.541103 0.403239 0.952767 0.563740 0.984556 -0.255895 0.748423 -0.968345 0.070294 -0.969328 1.000000 1.328440
