# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 amplitude sigma
-0.382561 -0.676291 0.240268 0.547897 -0.316003 -0.305232 0.281986 -0.690001 -0.613976 0.588871 -0.900909 0.152044 -0.768873 0.076110 0.074594 0.139146 -0.453656 -0.405478 0.724524 0.903647 1.000000 1.280417
0.523197 -0.880742 0.124653 0.672667 0.890000 -0.553893 0.465109 0.698545 0.661320 -0.373814 0.545969 -0.335202 -0.672301 0.299627 0.112205 -0.553441 -0.515890 0.802159 0.540007 -0.400530 1.000000 1.132243
0.608188 0.721384 0.141679 -0.304871 0.004220 0.442214 -0.753451 -0.111922 -0.864792 -0.599267 0.533880 -0.039680 -0.487583 0.123845 0.879346 -0.281479 -0.849389 0.686588 -0.799780 -0.505002 1.000000 1.304294
0.461399 -0.386061 -0.394472 0.182598 0.947059 -0.876851 0.930213 0.091932 0.831112 0.086843 -0.062568 0.957503 0.585510 -0.020016 0.777527 -0.532625 -0.736005 -0.102424 0.593845 -0.147823 1.000000 1.264140
0.426734 0.149322 0.536401 0.200196 0.263368 0.623584 0.250982 0.649103 0.070680 -0.923749 -0.051894 -0.685271 -0.251716 -0.650725 -0.949677 -0.506184 -0.867960 0.969777 -0.419603 0.192230 1.000000 0.838575
-0.504730 0.554811 0.796489 0.887051 0.639949 -0.996392 0.024628 0.056746 0.645984 -0.033718 0.808710 0.952178 0.690454 -0.449992 -0.860974 -0.803484 0.355627 0.821493 0.241671 0.127819 1.000000 1.244338
-0.375183 0.241985 -0.256662 -0.869379 0.422299 0.118448 -0.290414 0.523169 -0.673258 0.965140 0.150810 0.607622 -0.621205 0.483904 0.982628 0.299161 0.189391 -0.555398 0.727318 -0.125229 1.000000 1.432313
0.352362 0.177932 -0.406904 0.973243 -0.549849 0.849118 0.538816 0.171686 -0.407094 0.494207 -0.092521 0.615682 -0.761046 -0.489809 -0.208229 -0.017291 0.752577 -0.606229 0.866567 -0.434456 1.000000 1.416138
0.159907 0.172494 -0.687902 0.117849 0.679240 -0.469915 0.152599 0.466951 0.494878 0.783483 0.207135 0.498349 -0.173206 -0.458674 -0.310385 0.335133 -0.742323 -0.635586 -0.801026 0.387376 1.000000 0.676732
-0.042047 -0.490873 0.040835 0.984463 0.592012 -0.151407 -0.524617 -0.609112 -0.654803 -0.659980 0.825909 -0.787662 -0.861607 0.397990 -0.562515 -0.012212 -0.854098 0.620865 -0.115050 -0.469192 1.000000 1.124940
-0.508074 -0.007764 0.711215 0.953018 0.941077 -0.547936 0.858260 -0.611308 -0.781233 -0.363769 0.531939 0.087365 -0.375746 -0.096443 0.331716 -0.034623 0.185011 -0.811179 -0.783255 0.941957 1.000000 1.434278
0.331329 0.039801 -0.190561 0.436150 -0.630246 0.682046 -0.803666 0.967730 0.170467 -0.156729 0.045621 0.448135 0.455448 0.434570 -0.578446 0.848746 -0.173561 0.235838 -0.049257 -0.386599 1.000000 0.874418
-0.531209 0.066604 0.711023 -0.862956 -0.763750 -0.206051 -0.026212 0.842003 0.806863 0.315203 -0.241299 0.731518 0.583211 0.638922 -0.677758 -0.775679 -0.831837 -0.568234 -0.075662 0.081718 1.000000 1.043541
0.113597 -0.424529 -0.335404 -0.668782 0.495948 0.829870 -0.581187 -0.665370 0.232872 -0.986851 0.562734 -0.821736 0.118912 0.998856 -0.980273 -0.091828 0.655560 -0.818156 0.643250 -0.970426 1.000000 0.765729
-0.333053 0.118405 0.525160 0.909528 0.366676 0.734591 -0.071763 0.582595 -0.356635 -0.555196 0.641527 -0.487723 0.068474 0.276691 0.749466 -0.271642 -0.340565 -0.736326 0.765724 0.134252 1.000000 0.910669
