# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
0.992344 -0.333672 -0.693236 0.400609 -0.206315 0.726742 0.577598 -0.744690 0.910034 0.764312 1.000000 0.505413
0.530745 0.332647 -0.082799 0.303361 0.219169 -0.923995 -0.574721 -0.813679 0.842071 -0.418620 1.000000 0.933191
0.945166 0.039696 0.615266 0.691563 0.984592 0.439042 0.769125 -0.162885 -0.354000 -0.577136 1.000000 0.747331
-0.893862 0.156792 -0.373839 0.540508 0.663280 -0.336515 -0.614201 0.736360 -0.241573 0.870570 1.000000 1.011629
-0.687232 0.479203 -0.792835 -0.110088 0.568369 0.627713 -0.249240 -0.910864 -0.805609 0.199551 1.000000 1.251991
0.467253 -0.678539 -0.829123 0.141490 0.390589 0.116786 -0.588823 0.109610 0.552703 0.883626 1.000000 0.848116
-0.117923 0.114196 0.131248 -0.560149 0.822728 0.504828 0.479876 0.344288 0.590191 -0.315268 1.000000 0.781839
0.170684 0.113585 0.040087 -0.141359 -0.068086 0.906035 -0.804052 -0.268230 -0.386318 0.569813 1.000000 1.396955
0.330657 0.945520 0.974816 0.218146 0.788764 0.647101 -0.263085 0.291786 0.417149 0.159027 1.000000 1.208051
-0.010602 0.862285 -0.706310 -0.624450 -0.054304 0.401238 -0.245465 0.158613 -0.253044 -0.182095 1.000000 1.403203
0.502166 -0.553433 0.519379 0.878608 -0.710450 -0.930537 0.300216 0.181069 0.105839 0.166419 1.000000 0.950829
-0.417922 0.798135 -0.621200 0.060490 -0.891225 -0.067031 -0.583876 0.930855 -0.841739 -0.688370 1.000000 0.630989
-0.077663 0.097454 -0.231158 -0.864343 0.899156 0.807695 0.363330 0.857745 -0.448917 -0.642622 1.000000 0.508662
-0.089485 0.999444 -0.188108 0.890244 0.442529 0.370017 0.613147 -0.860723 0.790426 -0.907468 1.000000 1.402537
0.178084 -0.359424 -0.023140 0.226764 0.008589 0.880010 -0.904027 -0.296506 -0.856344 0.858634 1.000000 1.370622
