# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 amplitude sigma
0.205554 -0.094024 -0.241506 0.352156 0.445801 -0.379823 -0.890957 0.139063 -0.934885 -0.160726 0.050256 0.575729 -0.577111 0.529886 0.836630 0.358189 -0.020956 0.447152 1.000000 1.418214
-0.486759 0.951975 0.696542 -0.105677 0.953368 -0.245339 0.275831 -0.971403 -0.121956 -0.797194 0.953998 0.181335 -0.177855 -0.659027 -0.058045 0.859268 0.023682 0.528095 1.000000 1.042811
0.845356 -0.493001 -0.494200 -0.348881 0.710358 -0.226967 -0.582312 0.075678 -0.126163 0.940698 -0.878697 0.128970 -0.408304 -0.981055 -0.731182 0.238353 0.005645 0.213125 1.000000 0.891914
-0.214872 0.198657 -0.408952 -0.736521 -0.217970 0.846469 0.080685 -0.847710 0.848568 0.458220 -0.376196 -0.761158 -0.242467 -0.245400 -0.481740 0.692731 -0.115225 -0.227500 1.000000 1.312013
-0.918689 -0.320310 0.665292 -0.100066 -0.444232 0.902302 -0.004586 -0.951611 0.372512 0.644197 0.719276 -0.929598 -0.183438 -0.661907 0.252223 0.347927 -0.077566 0.854468 1.000000 0.666379
-0.256145 0.131839 0.188630 0.026429 0.005064 0.849250 -0.893254 -0.605055 0.628826 -0.739428 0.779978 -0.023962 0.471355 -0.381282 0.238322 0.295538 0.557410 -0.636247 1.000000 1.321280
0.690917 -0.304470 -0.142471 0.509158 0.040969 -0.468976 -0.774703 -0.460105 0.302352 -0.768889 -0.508127 -0.070471 -0.352573 -0.943097 0.089320 -0.307725 -0.535239 -0.703846 1.000000 1.151388
0.336013 0.245348 -0.928266 0.246640 -0.846941 -0.014619 -0.575436 0.712554 0.308747 -0.544793 0.297826 -0.267456 -0.504752 -0.363988 -0.276787 0.254867 -0.837442 0.619250 1.000000 1.051361
-0.021929 0.158125 0.620944 -0.236877 0.510497 0.044247 -0.146761 0.101391 -0.033862 -0.026390 0.679876 0.853427 -0.071901 -0.953404 0.899159 -0.463824 0.703928 -0.819463 1.000000 1.350481
0.958445 -0.586498 0.279720 -0.182344 0.238860 0.968415 -0.897575 -0.229925 -0.547914 0.717981 -0.063262 -0.932474 -0.867105 -0.603556 0.205716 -0.075509 -0.131794 -0.486439 1.000000 1.077683
0.455952 0.309155 -0.820782 0.425557 0.593668 -0.401574 0.209403 -0.290686 -0.052203 -0.177644 -0.320031 -0.136071 0.283741 -0.988540 -0.231524 0.136060 0.697888 -0.351758 1.000000 1.193838
-0.181428 -0.864031 0.217394 -0.272970 0.465484 0.353345 -0.526927 -0.728220 0.134869 0.481585 0.024843 -0.271469 -0.380876 -0.170527 0.788306 0.463493 0.628721 -0.254090 1.000000 1.418612
-0.947051 -0.906476 0.634809 -0.429313 0.678234 0.684302 -0.824571 -0.834026 0.144624 -0.515813 -0.099124 0.798804 0.014706 0.019886 0.279084 0.549156 0.708939 -0.922300 1.000000 1.413033
-0.884042 0.171999 0.324174 0.820486 -0.739509 -0.494900 -0.320100 0.185818 -0.296592 -0.711221 0.919525 0.454984 0.172218 0.005231 0.352947 0.863456 0.638605 0.269127 1.000000 0.946247
-0.679834 -0.859446 -0.386135 -0.363559 0.936351 -0.481552 0.768207 -0.425602 0.472741 0.151378 -0.980022 0.019282 0.341475 -0.998903 -0.577526 0.296156 0.551820 0.646148 1.000000 1.319922
