# x0 x1 x2 amplitude sigma
-0.124045 0.269984 -0.001982 1.000000 0.508565
0.558206 0.149535 -0.908541 1.000000 1.454307
0.613477 -0.617910 0.406449 1.000000 0.949565
0.954459 -0.674999 0.346252 1.000000 1.110219
0.931893 0.633778 -0.708473 1.000000 1.352060
-0.056093 -0.341699 0.625142 1.000000 1.238810
0.612146 -0.600234 0.267994 1.000000 1.474432
0.072557 -0.400853 -0.124704 1.000000 1.357462
-0.952614 -0.803867 0.881709 1.000000 1.355410
-0.384822 -0.997308 0.181213 1.000000 1.359526
-0.994996 0.033125 0.853235 1.000000 0.852279
-0.659119 0.149353 -0.464636 1.000000 0.712032
0.819685 0.465598 0.299914 1.000000 1.280444
0.538858 -0.021857 -0.682161 1.000000 1.399411
0.106267 -0.941469 0.018673 1.000000 0.547740
