# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
-0.846055 0.874269 0.057656 0.023650 0.120351 -0.065782 -0.293052 0.137509 -0.766317 -0.327155 -0.703120 -0.912750 1.000000 0.644485
0.761545 -0.496944 0.929961 -0.515523 0.398120 0.236724 -0.263087 0.168324 0.310747 -0.617245 0.293611 -0.939432 1.000000 1.210753
-0.389182 0.915688 -0.658576 0.756750 -0.369822 -0.978367 -0.334654 0.097121 -0.572886 0.870502 -0.870525 -0.732709 1.000000 1.376160
0.387193 0.540632 0.466970 0.522711 0.298340 -0.617308 -0.534252 -0.920142 0.042189 0.674239 0.798029 0.453962 1.000000 1.271227
-0.821069 0.980582 0.707330 -0.319906 -0.876145 -0.029917 0.425565 0.687377 0.424303 -0.799461 -0.741731 -0.312852 1.000000 0.721419
-0.876564 -0.666783 -0.097229 0.747409 -0.574526 -0.880012 -0.139346 -0.597169 -0.650817 -0.896539 -0.678356 0.586720 1.000000 0.518113
-0.519210 0.411861 -0.706203 0.177421 0.869233 -0.604815 -0.299671 -0.824784 -0.833082 -0.165624 0.906403 -0.801383 1.000000 1.455151
-0.008198 0.380152 0.643343 0.179149 -0.709468 -0.215401 -0.860384 -0.524047 -0.459505 -0.316957 0.704708 0.544681 1.000000 0.533358
-0.346742 0.004389 -0.023611 -0.795541 -0.552912 0.696694 -0.101973 0.401343 -0.724547 -0.615788 0.207713 -0.938823 1.000000 1.337605
-0.806370 -0.464942 -0.526446 0.612390 -0.641679 0.295415 0.699296 -0.249452 0.799375 -0.086458 -0.414678 0.646258 1.000000 1.294355
-0.062808 0.151397 -0.904214 0.032222 0.918948 -0.936300 0.756087 0.501458 0.377437 0.837248 -0.759325 -0.564113 1.000000 0.608576
0.077585 0.159038 0.853348 -0.532324 0.961274 0.057041 0.777251 0.535864 0.538155 -0.160017 0.699724 -0.790039 1.000000 0.945518
-0.948931 0.036041 -0.376778 -0.622007 -0.219144 -0.057352 -0.225371 -0.324438 0.660281 -0.950643 0.296180 0.024296 1.000000 0.616466
0.249814 -0.430750 -0.125724 -0.855162 -0.987846 0.076014 0.612069 -0.531425 -0.324687 -0.553998 0.687877 -0.520180 1.000000 1.169159
0.682815 0.282470 -0.588654 -0.209215 -0.355882 0.666667 -0.117928 -0.184848 0.359203 0.313328 0.517130 -0.786493 1.000000 0.669813
