# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
0.404233 0.092836 0.309025 -0.024918 -0.019627 0.295002 0.190049 -0.211674 1.000000 1.002965
0.894696 0.318085 0.824158 0.478312 0.816283 0.191043 0.775972 -0.472428 1.000000 0.866023
0.128243 -0.368415 0.946759 -0.503832 0.263037 -0.919065 -0.088168 0.122224 1.000000 0.947314
0.436105 -0.270194 0.290754 -0.316341 0.564697 0.270821 -0.398483 -0.188578 1.000000 0.861887
-0.528363 0.841213 -0.942289 -0.198864 -0.951751 -0.186939 -0.719222 -0.151386 1.000000 1.135643
0.695979 0.342708 0.086371 0.272225 -0.737761 -0.289686 0.288275 0.699212 1.000000 1.039718
0.099384 -0.190159 -0.450249 0.715120 0.101744 -0.325305 0.059570 0.004020 1.000000 0.848617
-0.766559 -0.947198 0.188352 0.880744 -0.481090 0.156837 -0.090972 0.642491 1.000000 0.516384
-0.865850 -0.540221 0.993968 0.102709 -0.423528 0.780006 0.744358 0.180427 1.000000 1.041492
-0.604191 -0.999192 -0.618371 -0.433043 0.441342 0.017127 -0.457475 -0.891803 1.000000 0.526141
0.584739 -0.560416 0.250050 0.898220 -0.388949 -0.268366 -0.134694 -0.232266 1.000000 0.598464
-0.734355 -0.724162 -0.123232 -0.905635 0.817496 0.475834 0.120479 0.116741 1.000000 1.346815
-0.362012 0.603909 -0.242639 -0.115659 0.809404 -0.361390 0.393492 0.108154 1.000000 1.330174
0.509288 -0.233765 -0.322605 0.364962 -0.178751 -0.392792 -0.996743 0.740356 1.000000 1.383756
0.097058 -0.267600 0.807629 -0.973908 -0.646761 -0.580431 -0.451318 0.852785 1.000000 1.089567
