# x0 x1 amplitude sigma
-0.115661 0.867767 1.000000 0.999694
-0.573069 0.990476 1.000000 0.755937
0.772436 0.945365 1.000000 0.758101
-0.945929 -0.686455 1.000000 0.596922
-0.287222 -0.134952 1.000000 1.064185
-0.480649 0.139791 1.000000 0.515990
-0.015190 -0.239519 1.000000 0.652595
0.938939 -0.059794 1.000000 0.980248
0.498186 0.182374 1.000000 0.599873
0.597810 0.821967 1.000000 0.916964
0.081433 -0.368868 1.000000 1.413651
-0.300533 0.821268 1.000000 0.850720
0.449748 0.985435 1.000000 0.614604
0.772730 -0.875699 1.000000 1.212608
-0.680554 -0.245638 1.000000 0.601886
