# x0 x1 x2 x3 x4 amplitude sigma
-0.859408 0.785712 0.850782 0.702104 0.949900 1.000000 1.269794
-0.101717 -0.865193 -0.467179 -0.551897 -0.732904 1.000000 0.676822
-0.229681 0.341473 0.922683 -0.087388 -0.706149 1.000000 0.810710
-0.017062 0.633071 -0.123670 -0.748860 -0.570437 1.000000 1.300314
-0.108121 0.491558 0.472263 0.173006 0.706469 1.000000 1.074495
0.174045 -0.892810 0.935086 -0.635060 -0.352211 1.000000 1.269971
-0.472575 0.775504 -0.563816 0.510704 -0.628625 1.000000 1.450761
-0.532506 0.264149 -0.753294 -0.681329 -0.406905 1.000000 1.252789
0.300812 -0.892188 0.778454 0.198112 0.446661 1.000000 0.946735
-0.839187 -0.814328 0.772184 0.400299 -0.838109 1.000000 1.026456
0.011491 -0.393309 0.210362 0.420240 -0.208435 1.000000 1.106341
-0.495192 -0.337962 0.484712 -0.458330 -0.395469 1.000000 1.077006
-0.272668 -0.393406 0.288740 0.251613 -0.743715 1.000000 1.453819
0.516331 -0.371796 0.728091 0.590239 -0.085370 1.000000 0.921286
0.835250 -0.552369 0.063412 0.307802 0.936539 1.000000 0.730378
