# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.041033 0.004258 0.041162 0.004229 0.035332 0.000310 0.035505 0.000311
1.000000 0.030150 0.002513 0.030253 0.002517 0.031588 0.000692 0.031731 0.000697
2.000000 0.025084 0.001077 0.025168 0.001079 0.028361 0.000735 0.028457 0.000728
3.000000 0.022737 0.001100 0.022835 0.001066 0.028520 0.000610 0.028572 0.000609
4.000000 0.019825 0.001418 0.019956 0.001377 0.025951 0.000565 0.026034 0.000552
5.000000 0.017053 0.001098 0.017175 0.001068 0.024788 0.000764 0.024908 0.000764
6.000000 0.015464 0.000728 0.015528 0.000694 0.023877 0.000945 0.024012 0.000951
7.000000 0.014714 0.000537 0.014734 0.000500 0.022265 0.000823 0.022395 0.000827
8.000000 0.013939 0.000524 0.013951 0.000488 0.020851 0.000815 0.020970 0.000808
9.000000 0.012795 0.000553 0.012818 0.000533 0.020333 0.000871 0.020447 0.000859
10.000000 0.011692 0.000601 0.011731 0.000591 0.019820 0.000434 0.019935 0.000434
11.000000 0.010864 0.000633 0.010916 0.000623 0.019104 0.000341 0.019221 0.000357
12.000000 0.010233 0.000664 0.010292 0.000651 0.018664 0.000502 0.018784 0.000520
13.000000 0.009564 0.000641 0.009626 0.000639 0.018191 0.000520 0.018313 0.000545
14.000000 0.008768 0.000572 0.008820 0.000593 0.017651 0.000439 0.017768 0.000463
15.000000 0.007914 0.000548 0.007942 0.000582 0.017321 0.000431 0.017423 0.000437
16.000000 0.007128 0.000584 0.007118 0.000607 0.017042 0.000419 0.017125 0.000422
17.000000 0.006554 0.000600 0.006499 0.000607 0.016704 0.000358 0.016773 0.000371
18.000000 0.006163 0.000501 0.006075 0.000501 0.016450 0.000382 0.016510 0.000411
19.000000 0.005757 0.000403 0.005667 0.000407 0.016160 0.000459 0.016209 0.000493
20.000000 0.005345 0.000360 0.005277 0.000367 0.015819 0.000480 0.015854 0.000511
21.000000 0.004965 0.000336 0.004919 0.000341 0.015538 0.000463 0.015557 0.000492
22.000000 0.004674 0.000315 0.004638 0.000317 0.015252 0.000412 0.015259 0.000451
23.000000 0.004479 0.000332 0.004449 0.000334 0.015056 0.000319 0.015055 0.000365
