# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 51125.483203 0.239285 50924.871094 0.245603 51125.369922 0.090908 50924.756641 0.089043
1.000000 51081.041406 0.501101 50880.714453 0.562235 51114.598047 1.461344 50914.064453 1.477922
2.000000 50942.048828 3.274944 50742.862109 3.411040 51054.493359 5.897107 50854.398047 5.998997
3.000000 50596.936719 13.501855 50400.719922 13.720118 50904.704297 18.268575 50705.721875 18.588650
4.000000 49866.549609 37.418985 49676.212891 37.773526 50555.497656 46.309782 50359.368359 47.106291
5.000000 48498.768359 81.324652 48318.467969 81.828411 49850.900781 83.833939 49661.315234 85.117395
6.000000 46225.304297 150.926382 46061.096875 151.157302 48647.044531 111.946118 48469.114844 110.956568
7.000000 42846.436719 241.004334 42705.303516 240.407050 46885.068359 201.310344 46723.875391 196.376679
8.000000 38343.161328 334.704572 38231.595703 333.536156 44507.095313 281.056525 44366.286328 272.016452
9.000000 33068.384766 441.305126 32990.903711 437.191073 41464.616016 413.763325 41350.739453 394.905153
10.000000 27995.905469 715.445819 27952.169141 703.393721 37822.692969 653.189507 37748.129687 622.826176
11.000000 24338.682617 1057.172207 24320.511523 1061.566589 33917.204297 861.049151 33898.183789 827.384469
12.000000 22240.303906 1431.890478 22230.944336 1457.529748 30618.201367 878.419057 30686.591992 856.073156
13.000000 20065.845508 1966.618027 20074.836328 1984.681905 29202.740625 599.358363 29386.097070 582.648107
14.000000 17932.558789 2301.724221 17990.868750 2302.449151 29740.516406 350.588377 30006.128906 351.145264
15.000000 15851.010937 1828.290810 15954.887500 1819.224896 29801.392578 246.966121 30077.839844 256.599593
16.000000 14010.053223 1381.825605 14123.421094 1379.259314 28529.485352 426.771472 28770.176367 454.542114
17.000000 12736.855957 1261.837120 12835.507227 1260.416504 27256.701758 327.151385 27435.188086 352.316382
18.000000 12140.029980 1230.164642 12213.416113 1221.544000 26930.707227 108.435351 27057.747461 113.980343
19.000000 11717.183008 977.364096 11764.462012 970.586107 27349.283203 203.667720 27440.060742 191.455005
20.000000 11172.260449 866.949798 11207.356641 865.652169 27831.632812 185.272655 27902.449219 180.466186
21.000000 10479.899902 925.770969 10516.748242 920.142917 27962.081445 115.281478 28029.172461 120.117406
22.000000 9803.727734 782.412930 9847.463379 777.290456 27704.411133 175.493270 27782.460156 174.237378
23.000000 9230.970215 440.160643 9279.470117 447.392418 27246.435156 196.754128 27347.267969 188.038626
24.000000 8804.347607 390.603891 8854.477148 397.186828 26847.341211 121.549611 26978.524609 110.964185
25.000000 8466.060791 625.153391 8520.293701 623.735808 26690.129688 90.940849 26853.347461 95.356427
26.000000 8211.464648 640.129486 8267.443701 639.510900 26741.750391 82.892337 26930.519336 88.964868
27.000000 8033.565674 482.843398 8089.075195 486.510168 26789.855273 60.449302 26990.024805 60.914203
28.000000 7880.169531 371.664414 7937.562061 372.858098 26685.158594 125.402329 26881.114453 127.295623
29.000000 7656.357129 397.841350 7718.739453 395.135828 26479.985938 98.255741 26661.927539 101.509282
30.000000 7307.395557 387.341437 7375.388818 383.553487 26323.080273 46.327455 26488.624023 42.425584
31.000000 6879.910645 369.396935 6950.788721 369.326262 26288.632617 82.407847 26439.672266 72.658226
32.000000 6487.037207 368.868751 6557.984033 373.428360 26332.135547 84.762796 26473.770703 73.008697
33.000000 6173.684229 378.852983 6244.177197 385.876926 26361.412500 68.428706 26500.472852 53.759787
34.000000 5935.489111 378.307615 6004.962109 385.470093 26325.549609 74.044589 26469.316992 62.980075
35.000000 5717.438330 373.195270 5784.917822 381.272453 26242.059766 75.486715 26396.973242 69.161796
36.000000 5486.029004 365.384285 5553.333057 374.289640 26161.627148 55.454491 26331.946875 51.738875
37.000000 5243.525195 360.779455 5313.386963 369.460167 26117.435547 57.824932 26304.043555 50.184531
38.000000 5001.412939 379.638981 5072.079492 388.556803 26098.451758 78.971745 26298.290039 65.540408
39.000000 4775.402441 406.051616 4844.848193 415.316244 26072.091992 75.470211 26278.624219 59.147283
40.000000 4566.564819 407.806546 4633.128760 417.080648 26022.944922 69.309140 26228.536133 59.322667
41.000000 4380.139771 368.948623 4443.033179 378.645904 25967.475195 67.913741 26166.753516 60.499308
42.000000 4205.800513 307.957644 4262.826611 318.605532 25926.570117 70.125678 26118.328516 53.486356
43.000000 4043.707251 256.730163 4095.861401 268.178368 25900.517188 85.852716 26087.264844 62.907538
44.000000 3895.133276 243.419817 3941.618994 253.692762 25874.728320 92.086252 26061.068945 69.445106
45.000000 3769.848877 263.905831 3817.128223 273.154706 25838.746875 87.263783 26029.670703 65.846065
46.000000 3659.883154 303.512222 3701.122778 304.102964 25795.760156 84.509704 25995.675586 63.079978
47.000000 3509.556494 237.455389 3552.409229 244.177593 25756.255273 85.792080 25968.270898 62.994542
48.000000 3396.762866 191.891827 3437.312744 197.193207 25722.746680 91.683789 25947.808984 67.747661
49.000000 3369.633325 239.788452 3408.438013 238.051609 25688.153125 95.285949 25924.917187 69.468801
50.000000 3295.245166 218.937004 3334.649902 217.489831 25647.774219 93.376863 25893.725195 66.260506
51.000000 3236.381958 228.683186 3274.646265 226.929080 25604.131641 91.703690 25856.557227 64.739792
52.000000 3175.227368 241.878524 3210.955566 237.188559 25562.741016 92.226273 25820.056445 64.031810
53.000000 3072.501782 197.940987 3107.266455 195.550775 25523.441406 94.940990 25786.126172 64.334847
54.000000 3007.442529 215.973052 3043.096948 215.421686 25482.775195 97.566082 25752.837305 65.117231
55.000000 2907.090991 190.048806 2941.782690 187.918291 25437.204102 99.352510 25717.736133 66.433854
56.000000 2835.999805 214.774724 2870.431030 212.029983 25387.839453 101.634523 25681.525781 68.799617
57.000000 2761.434253 218.387478 2798.130249 217.689153 25338.078906 103.869760 25647.007617 70.820999
58.000000 2689.647510 217.706827 2726.758398 216.519900 25289.802148 107.193776 25614.751172 73.899525
59.000000 2621.496240 222.616594 2658.819629 219.634122 25239.944727 112.839900 25580.340430 79.956211
