# x0 x1 x2 x3 amplitude sigma
-0.205430 -0.251400 -0.967603 -0.063166 1.000000 1.366637
0.010890 -0.380917 0.552706 -0.227136 1.000000 0.763145
0.209993 0.996095 -0.900158 0.080589 1.000000 0.631408
0.833059 0.408581 0.546918 0.445078 1.000000 0.541593
-0.675792 0.607599 0.060893 0.783676 1.000000 0.738924
-0.244748 0.906458 -0.349483 0.775758 1.000000 1.145475
0.860352 0.501641 0.986370 -0.792399 1.000000 1.290599
0.827872 0.169497 -0.765393 -0.148235 1.000000 1.101442
0.347641 0.213422 -0.253711 -0.827942 1.000000 0.834299
-0.284330 0.926186 0.270977 -0.004069 1.000000 0.619428
0.266480 -0.220336 -0.122137 -0.257599 1.000000 0.809133
-0.729450 -0.084677 0.465647 -0.613459 1.000000 0.609724
-0.267080 -0.607746 0.179854 -0.410583 1.000000 1.102113
-0.406123 0.518195 0.313830 0.482833 1.000000 0.751285
0.395387 -0.756249 -0.979264 -0.647127 1.000000 0.799681
0.319809 -0.613520 0.217275 -0.669803 1.000000 1.017116
