# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
-0.536552 0.443676 -0.711861 0.179914 0.477417 0.223005 -0.079503 -0.984858 1.000000 1.347900
0.580894 0.600615 0.882338 0.146560 -0.780673 -0.630104 0.278441 -0.353747 1.000000 0.688938
0.149543 0.648869 0.585840 0.457792 -0.870525 -0.945827 0.336184 0.570909 1.000000 0.950607
-0.710067 0.890794 -0.974351 -0.044313 0.721980 -0.943450 -0.223291 -0.186083 1.000000 1.125347
0.664577 0.094770 -0.615131 0.603353 0.118999 0.925226 -0.344161 -0.086903 1.000000 1.469748
-0.296196 0.496702 -0.695220 0.213866 -0.100723 0.210317 0.688360 -0.582431 1.000000 0.707807
-0.628114 -0.239345 -0.776431 -0.845121 0.770527 -0.571808 -0.134100 0.713151 1.000000 1.094449
-0.945831 0.892083 0.704097 0.397361 -0.805627 0.365160 0.104616 -0.428464 1.000000 1.411457
0.466941 0.175078 -0.439470 0.344521 0.318793 -0.056662 -0.174801 -0.223286 1.000000 0.745686
0.942176 0.834376 0.095022 0.503397 0.451614 0.487233 -0.078159 -0.685470 1.000000 1.274304
-0.624704 -0.717325 0.273738 -0.342675 0.617539 0.522065 -0.469536 0.830457 1.000000 1.136277
-0.151058 -0.387646 0.956275 0.752250 -0.466580 0.775186 -0.864668 -0.804653 1.000000 1.288489
-0.865020 0.182138 0.648325 -0.301902 -0.237878 -0.524146 0.938477 0.625479 1.000000 1.380202
-0.107777 -0.789600 0.243262 0.878602 0.694414 -0.952346 -0.643419 -0.234977 1.000000 0.865581
-0.841704 -0.368699 -0.788497 -0.655184 0.897337 -0.704896 -0.476081 -0.437312 1.000000 1.093377
-0.546933 0.136899 -0.035467 0.229405 -0.463995 0.347880 -0.081650 0.925520 1.000000 1.005894
0.814076 -0.242658 0.133771 -0.320170 0.511159 -0.188669 0.957016 -0.596505 1.000000 1.125285
0.155192 -0.153653 -0.147397 0.362978 -0.649000 0.180546 0.197872 0.180281 1.000000 1.155837
0.916347 0.594619 -0.133596 0.312573 -0.717226 -0.744296 0.541140 -0.933072 1.000000 0.512362
0.113110 -0.184716 -0.956931 0.304481 0.543421 0.453716 0.988658 0.436781 1.000000 1.022477
-0.024080 -0.127806 0.757998 -0.271752 0.131531 0.702759 0.622215 0.717072 1.000000 1.195433
0.551423 -0.052957 -0.830263 -0.900812 -0.113211 0.288105 0.000576 -0.987972 1.000000 1.416148
0.305888 0.975098 0.342384 -0.415212 -0.535237 -0.207107 -0.956058 0.881124 1.000000 0.965767
-0.621156 -0.286875 0.535953 0.727929 0.850399 0.769501 0.401454 0.527576 1.000000 0.756018
-0.149937 0.750104 -0.637361 -0.977755 0.960342 -0.421467 0.797442 0.434734 1.000000 0.646723
-0.425739 -0.410643 0.042586 -0.463369 -0.306705 0.792723 -0.999632 -0.437676 1.000000 1.469098
-0.524063 -0.494390 -0.964850 -0.616832 0.000224 -0.082868 0.252827 0.794102 1.000000 1.384926
0.074032 -0.609015 -0.356653 -0.220774 -0.707184 -0.837029 0.759342 0.022425 1.000000 0.577435
-0.358198 -0.632292 -0.802839 0.982217 0.307236 0.365122 -0.155419 -0.263677 1.000000 1.053221
-0.730284 0.044006 0.694513 -0.925298 -0.241879 -0.488661 -0.624941 -0.296109 1.000000 1.441080
-0.163350 0.517380 -0.647986 0.123188 -0.733918 0.273385 0.891029 0.785877 1.000000 0.823140
0.377337 0.869029 0.782516 -0.422130 -0.742673 0.604702 0.691768 0.945596 1.000000 1.321214
-0.511481 0.209094 0.124913 0.224773 -0.288896 -0.266387 -0.169154 -0.248243 1.000000 0.708560
0.941813 0.220360 0.063118 0.255983 -0.952021 -0.758049 0.359614 -0.390783 1.000000 0.942073
-0.016953 -0.197038 -0.677544 -0.551297 -0.547862 -0.969769 0.829198 0.060288 1.000000 0.788190
-0.194646 -0.555017 -0.363540 -0.394644 -0.965136 -0.583375 0.184984 -0.396273 1.000000 0.573702
0.496307 -0.540355 0.216567 0.885351 0.945006 0.074144 0.420366 0.872345 1.000000 1.396169
0.908825 -0.644243 -0.983523 0.506316 -0.510655 0.623445 0.155557 0.763267 1.000000 0.949940
0.473377 0.963338 0.674176 -0.036121 0.902094 -0.310802 0.732351 0.885829 1.000000 0.564213
-0.050641 0.354437 0.503244 0.988151 -0.478090 0.887693 0.480178 0.005431 1.000000 0.839649
0.727077 0.554887 0.007757 -0.578978 0.449315 0.069767 0.102304 -0.443618 1.000000 1.398780
