# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
-0.602832 0.402382 -0.569894 0.525225 -0.876162 -0.517521 -0.987384 0.768206 0.112078 0.747805 1.000000 0.979649
-0.191446 0.681693 -0.373672 0.722844 0.991283 -0.924870 0.572936 -0.686575 -0.157311 -0.182009 1.000000 1.412466
0.295850 -0.348320 -0.014825 0.168790 0.286179 0.661564 0.734806 0.210696 -0.547322 -0.593289 1.000000 1.190418
0.684466 0.719286 0.632395 0.649152 -0.392015 -0.391198 -0.774577 0.550060 -0.341668 0.698875 1.000000 1.089381
-0.976535 -0.659233 -0.794764 -0.817578 -0.359376 0.750620 -0.960120 -0.605376 0.278032 0.443023 1.000000 0.506957
0.450527 0.018986 0.757791 -0.338366 -0.820186 -0.737916 0.829387 0.365284 0.827586 0.875214 1.000000 0.910549
0.181982 -0.208128 -0.906185 -0.183381 0.306074 0.530933 0.872608 -0.611227 -0.068304 0.103237 1.000000 1.075440
-0.921967 -0.867677 0.600911 -0.405974 0.958559 -0.505498 0.735873 0.235853 0.511070 -0.637433 1.000000 0.963360
-0.173896 -0.632275 0.373988 -0.136544 -0.906772 -0.573192 0.366721 0.661874 0.463114 -0.252454 1.000000 0.564091
0.035258 0.219139 0.411051 0.506159 0.992792 0.727444 0.008395 0.281156 0.551055 -0.803302 1.000000 0.813986
0.749625 0.380163 -0.378976 -0.318657 0.178648 -0.241969 0.480068 -0.634188 -0.461932 -0.574922 1.000000 0.961268
-0.042048 -0.624810 -0.757492 -0.784081 -0.295962 -0.181925 0.487511 0.201673 -0.792261 0.804040 1.000000 1.467280
-0.601759 0.036387 0.959777 -0.061273 0.656548 0.729088 0.786001 0.121977 0.383050 0.937227 1.000000 0.852410
-0.781524 0.404307 -0.794846 0.135861 0.744427 -0.685271 0.157423 0.314366 -0.343210 0.405464 1.000000 1.253163
0.997598 -0.544885 -0.407397 0.442793 0.413826 0.391262 -0.851574 -0.688807 0.275297 0.385696 1.000000 1.077520
-0.912215 -0.053891 -0.012776 0.703445 -0.875586 -0.207095 0.382337 -0.630859 -0.349352 0.343408 1.000000 1.059792
0.920197 0.871125 0.867843 -0.207547 0.764079 0.165407 0.573042 0.282481 -0.408828 0.652609 1.000000 0.609223
-0.163675 0.271011 0.605024 -0.803082 0.165283 0.817182 -0.213820 0.372861 0.613240 0.190809 1.000000 1.376238
0.821957 -0.711490 -0.490208 -0.323679 0.720638 -0.047711 -0.371435 0.496343 -0.013871 0.444054 1.000000 0.790970
0.518337 -0.345875 0.357974 0.268802 -0.450572 0.653098 0.822548 -0.573093 -0.173513 0.499425 1.000000 1.498348
-0.703482 -0.730746 0.217846 -0.512879 -0.624426 0.775640 0.802714 -0.429989 0.659831 -0.937058 1.000000 1.416584
0.266886 0.020721 0.627576 -0.224021 0.301092 0.922129 0.624653 0.679437 -0.966173 0.063218 1.000000 0.976633
-0.989749 0.977665 0.814924 0.618276 0.187300 0.196045 0.935956 -0.783817 0.744451 0.743474 1.000000 1.077084
-0.208971 -0.121012 0.357449 -0.577745 -0.831069 -0.952788 0.413802 -0.086471 0.450459 -0.130223 1.000000 1.142086
-0.243261 -0.992498 -0.768099 -0.658087 -0.281944 0.742065 -0.138388 -0.491702 0.008535 -0.530107 1.000000 0.625322
0.861705 0.722403 0.310007 -0.826295 -0.587448 -0.953416 0.904330 -0.161878 -0.281961 0.896609 1.000000 0.957907
-0.252340 -0.496242 0.582401 0.244294 -0.112421 0.133484 0.372127 0.009966 -0.734350 0.334956 1.000000 1.215955
0.209559 0.540892 -0.135380 0.425192 0.769251 -0.305133 -0.377636 0.788602 0.508930 0.294848 1.000000 1.437915
0.478071 -0.668379 0.102319 0.749571 -0.211794 -0.497069 -0.276040 -0.962152 0.443365 0.684311 1.000000 0.818990
-0.054285 -0.342389 0.199095 0.699001 -0.577501 0.965455 -0.558648 -0.437662 0.007747 -0.011210 1.000000 1.423674
0.778324 -0.742713 -0.367944 -0.346768 -0.291075 -0.522516 -0.067677 -0.984419 -0.618439 -0.557695 1.000000 0.534213
-0.351440 -0.121819 -0.021356 0.909587 -0.098345 -0.324610 -0.945687 0.579943 -0.843576 -0.859951 1.000000 0.658930
-0.636365 -0.176978 0.261903 -0.007932 -0.970092 0.289119 -0.767468 -0.415856 -0.506951 -0.888900 1.000000 1.208346
-0.730290 -0.781124 0.684649 0.173208 -0.057338 0.298807 0.874977 0.228580 0.876945 0.944051 1.000000 0.777192
0.136931 0.879902 -0.968895 -0.051472 0.784650 -0.685278 0.003147 -0.795367 0.552064 0.111813 1.000000 0.926832
-0.914625 -0.401719 0.600679 -0.435197 0.694725 -0.805225 -0.001312 -0.336460 0.794534 0.823259 1.000000 1.240681
-0.027981 0.665805 0.375120 0.140991 -0.327698 0.705978 -0.980524 0.643879 -0.511850 -0.747905 1.000000 0.588827
-0.747364 -0.717761 0.702526 0.393913 -0.611844 -0.881525 0.690086 0.359507 0.863570 0.117609 1.000000 0.692112
0.659065 0.370082 -0.973467 0.328651 -0.474087 -0.581399 0.951554 -0.767517 -0.372257 0.564727 1.000000 1.303007
-0.745339 0.601854 0.338318 -0.224515 -0.573961 -0.474347 0.608192 0.568369 -0.333008 -0.342240 1.000000 0.618408
0.019579 0.168705 0.260853 -0.604202 -0.388269 0.749990 0.968683 -0.938063 -0.301806 0.991535 1.000000 1.086153
0.833702 0.733822 -0.267113 -0.747515 -0.932362 0.460437 0.356216 0.188206 -0.536794 0.700243 1.000000 0.533644
0.626120 0.957953 -0.956554 -0.663230 -0.343630 -0.305646 0.332348 -0.776758 -0.663011 0.138779 1.000000 1.237824
-0.911425 -0.605044 -0.874765 0.060688 0.940060 0.294854 0.525076 0.348574 -0.288219 -0.509991 1.000000 1.187301
-0.153793 -0.981474 0.817440 -0.463311 -0.806519 0.042933 -0.557779 -0.010831 0.054044 0.927956 1.000000 1.184531
-0.994766 -0.170664 0.077931 0.884787 -0.574135 0.679928 0.937331 0.665497 0.920186 -0.338870 1.000000 0.929409
-0.408827 0.177130 0.265679 -0.045908 -0.009299 0.314580 -0.023453 0.539393 -0.004982 0.070500 1.000000 1.073551
-0.773236 -0.040251 -0.079820 0.377759 0.407540 0.617874 0.227480 -0.292654 -0.166010 -0.522918 1.000000 1.326555
-0.194117 -0.769112 -0.303890 0.088365 0.452325 0.431275 0.817007 0.616399 0.593392 0.756956 1.000000 1.184814
0.240266 0.216432 -0.423102 -0.518754 0.550944 0.603926 0.904930 -0.975805 -0.976261 -0.371827 1.000000 1.477156
0.411664 0.634940 0.193565 0.441723 -0.088089 0.454200 0.738925 -0.918129 -0.524765 0.785102 1.000000 1.203822
