# x0 x1 x2 x3 x4 amplitude sigma
-0.059378 0.439770 0.575318 -0.612718 -0.897128 1.000000 1.381308
0.601861 0.902392 0.141911 0.768121 0.754948 1.000000 1.479704
-0.001189 -0.597879 -0.686536 -0.547196 0.715695 1.000000 1.364582
0.885121 0.879189 0.957673 0.626280 0.223482 1.000000 1.338072
0.556131 0.490507 0.643128 -0.922633 -0.677575 1.000000 1.409790
-0.898906 -0.070513 -0.053514 -0.298105 -0.871804 1.000000 1.360982
-0.903949 -0.320943 -0.799497 -0.066317 0.751025 1.000000 0.970752
-0.449379 0.595204 -0.893669 0.016561 0.560186 1.000000 0.941234
-0.816974 -0.785103 -0.428783 -0.780952 0.644992 1.000000 1.100156
0.177224 -0.146665 0.353422 -0.623775 0.053372 1.000000 0.569805
-0.965593 0.723744 -0.591754 -0.137715 -0.674185 1.000000 0.918383
-0.322482 0.574426 0.620480 -0.874109 -0.020198 1.000000 1.402041
0.392706 0.603924 0.864134 0.792893 -0.699074 1.000000 0.610919
-0.519660 0.289079 -0.180484 -0.207758 0.968354 1.000000 1.411406
0.477561 0.337621 -0.903718 -0.219113 -0.834246 1.000000 0.694338
-0.434262 -0.300364 0.259660 -0.839554 -0.128191 1.000000 0.667815
-0.825215 0.845613 0.769776 0.748321 -0.027048 1.000000 1.453395
-0.623584 0.502460 0.689828 0.613686 0.229450 1.000000 1.470568
-0.556081 -0.004853 0.092378 0.873016 0.521193 1.000000 1.257594
0.630327 0.698614 -0.280677 -0.603926 -0.641102 1.000000 1.390630
0.876117 0.194215 -0.079631 -0.367313 -0.398695 1.000000 1.078276
0.039533 -0.616859 0.673093 0.732674 0.312243 1.000000 1.359689
0.720687 0.580148 0.730141 -0.955931 0.782171 1.000000 0.623757
0.537739 0.763762 -0.352206 -0.710489 -0.822026 1.000000 1.391254
-0.094595 -0.992973 -0.221257 -0.504967 0.343516 1.000000 1.091779
-0.829340 -0.250393 -0.735231 -0.027210 -0.214622 1.000000 1.098725
0.311856 0.991523 0.970104 0.816872 -0.841007 1.000000 0.705655
0.988125 0.697143 -0.052400 -0.004662 -0.024246 1.000000 0.766672
0.388951 0.671007 -0.368466 -0.582769 0.119579 1.000000 1.437185
0.970345 0.807734 0.265909 -0.779168 -0.087352 1.000000 1.214994
0.184415 0.863552 -0.749680 0.306537 0.583221 1.000000 1.215195
0.392244 -0.471489 -0.489365 0.772310 -0.904307 1.000000 0.807186
-0.983026 -0.837659 0.761699 -0.634845 -0.885756 1.000000 0.588057
-0.861161 -0.944856 -0.341638 0.213296 -0.061227 1.000000 1.066109
-0.869678 -0.610915 0.187388 -0.368780 -0.455915 1.000000 1.202081
-0.019400 -0.528939 -0.993974 -0.819191 -0.622448 1.000000 0.800711
0.026643 -0.841979 0.248437 -0.721397 0.101999 1.000000 1.226859
0.516736 0.908896 -0.738713 -0.507103 -0.895563 1.000000 0.959032
