# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.183397 0.008479 0.183183 0.007825 0.175674 0.002218 0.175409 0.002184
1.000000 0.133178 0.004724 0.133708 0.004652 0.148503 0.003602 0.149015 0.003569
2.000000 0.082856 0.007849 0.083746 0.008015 0.118135 0.006836 0.119371 0.006977
3.000000 0.032642 0.010895 0.033014 0.011254 0.091729 0.007893 0.092624 0.008035
4.000000 0.034263 0.015770 0.033957 0.015890 0.080854 0.003306 0.080882 0.003345
5.000000 0.040118 0.009048 0.039950 0.009362 0.086129 0.006270 0.086558 0.006422
6.000000 0.019724 0.009042 0.019589 0.009271 0.076956 0.008911 0.076850 0.008658
7.000000 0.013337 0.002958 0.013233 0.002998 0.070991 0.004075 0.071019 0.003984
8.000000 0.019154 0.005890 0.019129 0.005965 0.071494 0.002198 0.071802 0.002226
9.000000 0.023147 0.004457 0.023164 0.004493 0.072789 0.001346 0.073222 0.001343
10.000000 0.020728 0.003618 0.020732 0.003713 0.072223 0.002426 0.072643 0.002375
11.000000 0.014126 0.004847 0.014104 0.004955 0.069045 0.003926 0.069417 0.003951
12.000000 0.008379 0.003997 0.008377 0.004033 0.065153 0.003939 0.065496 0.004023
13.000000 0.007435 0.001178 0.007516 0.001182 0.063377 0.002318 0.063710 0.002439
14.000000 0.009213 0.003007 0.009353 0.003143 0.064177 0.001065 0.064493 0.001139
15.000000 0.009588 0.002627 0.009729 0.002662 0.064695 0.000817 0.064980 0.000918
16.000000 0.008421 0.002545 0.008567 0.002622 0.063811 0.001913 0.064075 0.002107
17.000000 0.006909 0.002055 0.007050 0.002180 0.062517 0.002237 0.062782 0.002435
18.000000 0.005813 0.001116 0.005904 0.001153 0.061836 0.001322 0.062105 0.001465
19.000000 0.005405 0.001402 0.005425 0.001348 0.061855 0.000922 0.062125 0.001002
20.000000 0.005396 0.001768 0.005363 0.001729 0.061927 0.000963 0.062205 0.001017
21.000000 0.005316 0.001562 0.005268 0.001538 0.061674 0.001176 0.061968 0.001150
22.000000 0.005021 0.001323 0.004988 0.001302 0.061070 0.001207 0.061371 0.001168
23.000000 0.004641 0.000993 0.004637 0.000969 0.060401 0.000820 0.060692 0.000826
24.000000 0.004216 0.000609 0.004232 0.000616 0.060197 0.000574 0.060469 0.000582
25.000000 0.003620 0.000616 0.003643 0.000639 0.060360 0.000637 0.060614 0.000644
26.000000 0.002974 0.000791 0.002997 0.000809 0.060263 0.000491 0.060505 0.000568
27.000000 0.002615 0.000969 0.002637 0.000985 0.059846 0.000550 0.060085 0.000601
28.000000 0.002629 0.000804 0.002651 0.000812 0.059535 0.000310 0.059779 0.000353
29.000000 0.002773 0.000482 0.002793 0.000483 0.059534 0.000382 0.059785 0.000426
30.000000 0.002762 0.000443 0.002778 0.000440 0.059607 0.000372 0.059862 0.000414
31.000000 0.002482 0.000569 0.002491 0.000560 0.059506 0.000274 0.059756 0.000323
32.000000 0.002039 0.000669 0.002038 0.000658 0.059310 0.000320 0.059551 0.000343
33.000000 0.001690 0.000663 0.001681 0.000653 0.059155 0.000201 0.059390 0.000205
34.000000 0.001581 0.000541 0.001570 0.000528 0.059023 0.000203 0.059265 0.000208
35.000000 0.001639 0.000376 0.001630 0.000363 0.058923 0.000256 0.059181 0.000260
36.000000 0.001699 0.000345 0.001694 0.000341 0.058922 0.000158 0.059193 0.000155
37.000000 0.001627 0.000433 0.001625 0.000432 0.058943 0.000194 0.059210 0.000199
38.000000 0.001406 0.000510 0.001404 0.000509 0.058854 0.000185 0.059099 0.000185
39.000000 0.001165 0.000531 0.001161 0.000531 0.058718 0.000247 0.058935 0.000267
40.000000 0.001036 0.000463 0.001030 0.000462 0.058654 0.000227 0.058849 0.000275
41.000000 0.000992 0.000357 0.000987 0.000355 0.058632 0.000161 0.058818 0.000210
42.000000 0.000952 0.000302 0.000950 0.000299 0.058578 0.000117 0.058765 0.000148
43.000000 0.000891 0.000283 0.000892 0.000281 0.058497 0.000154 0.058693 0.000188
44.000000 0.000812 0.000286 0.000817 0.000286 0.058432 0.000239 0.058636 0.000278
45.000000 0.000736 0.000307 0.000743 0.000307 0.058389 0.000257 0.058600 0.000297
46.000000 0.000678 0.000310 0.000685 0.000309 0.058343 0.000212 0.058559 0.000248
47.000000 0.000623 0.000275 0.000627 0.000275 0.058283 0.000184 0.058500 0.000214
48.000000 0.000557 0.000223 0.000559 0.000223 0.058216 0.000213 0.058426 0.000249
49.000000 0.000491 0.000186 0.000491 0.000187 0.058159 0.000267 0.058356 0.000316
50.000000 0.000447 0.000174 0.000447 0.000176 0.058137 0.000275 0.058320 0.000336
51.000000 0.000426 0.000179 0.000426 0.000181 0.058127 0.000250 0.058296 0.000314
52.000000 0.000399 0.000175 0.000398 0.000178 0.058076 0.000240 0.058236 0.000302
53.000000 0.000353 0.000136 0.000352 0.000138 0.057999 0.000255 0.058152 0.000310
54.000000 0.000308 0.000101 0.000306 0.000103 0.057949 0.000265 0.058094 0.000316
55.000000 0.000284 0.000101 0.000282 0.000102 0.057934 0.000256 0.058072 0.000306
56.000000 0.000272 0.000106 0.000270 0.000108 0.057911 0.000251 0.058043 0.000302
57.000000 0.000247 0.000100 0.000247 0.000102 0.057860 0.000258 0.057988 0.000312
58.000000 0.000215 0.000081 0.000215 0.000081 0.057814 0.000257 0.057936 0.000321
59.000000 0.000195 0.000062 0.000195 0.000062 0.057789 0.000248 0.057903 0.000325
60.000000 0.000192 0.000058 0.000191 0.000058 0.057760 0.000246 0.057867 0.000329
