# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.100961 0.004509 0.100233 0.004528 0.098771 0.000795 0.098009 0.000795
1.000000 0.042908 0.002283 0.042123 0.002256 0.061796 0.005732 0.060822 0.005614
2.000000 0.123743 0.027067 0.124153 0.027000 0.228784 0.103941 0.228250 0.103989
3.000000 0.061883 0.027786 0.061874 0.027807 0.102938 0.034623 0.102441 0.034575
4.000000 0.025703 0.005865 0.025502 0.005859 0.087737 0.040641 0.087186 0.040763
5.000000 0.028394 0.007430 0.028118 0.007332 0.073192 0.019717 0.072514 0.019807
6.000000 0.023579 0.006167 0.023321 0.006059 0.062701 0.010031 0.061893 0.010044
7.000000 0.020454 0.004812 0.020252 0.004754 0.055601 0.008602 0.054708 0.008520
8.000000 0.017917 0.003804 0.017666 0.003717 0.053035 0.008629 0.052131 0.008513
9.000000 0.015497 0.003539 0.015233 0.003557 0.048058 0.007399 0.047198 0.007311
10.000000 0.013304 0.002930 0.013078 0.002944 0.044065 0.005693 0.043272 0.005620
11.000000 0.012994 0.002736 0.012789 0.002771 0.043444 0.005671 0.042689 0.005672
12.000000 0.011683 0.002258 0.011464 0.002251 0.042161 0.003880 0.041395 0.003926
13.000000 0.010857 0.002011 0.010673 0.001950 0.039802 0.002202 0.039059 0.002192
14.000000 0.009796 0.002299 0.009620 0.002231 0.038675 0.002305 0.037965 0.002326
15.000000 0.008871 0.001784 0.008685 0.001719 0.039077 0.003431 0.038374 0.003486
16.000000 0.008370 0.001267 0.008221 0.001205 0.037677 0.002958 0.036972 0.002950
17.000000 0.007942 0.001620 0.007810 0.001571 0.036855 0.002578 0.036172 0.002531
18.000000 0.007351 0.001393 0.007257 0.001389 0.036622 0.002418 0.035962 0.002354
19.000000 0.006512 0.001275 0.006459 0.001309 0.035734 0.002029 0.035100 0.001976
20.000000 0.005912 0.000982 0.005867 0.001013 0.034526 0.001386 0.033917 0.001336
21.000000 0.005518 0.001147 0.005465 0.001169 0.033571 0.001131 0.032980 0.001083
22.000000 0.005359 0.001287 0.005304 0.001300 0.033323 0.001159 0.032736 0.001113
23.000000 0.004980 0.000999 0.004928 0.001001 0.033161 0.001277 0.032585 0.001249
24.000000 0.004406 0.001022 0.004357 0.001006 0.032499 0.001170 0.031928 0.001165
25.000000 0.004157 0.000927 0.004106 0.000915 0.032126 0.000991 0.031553 0.001018
26.000000 0.003833 0.000849 0.003785 0.000846 0.031784 0.001032 0.031219 0.001069
27.000000 0.003602 0.000917 0.003552 0.000911 0.031274 0.000886 0.030718 0.000910
28.000000 0.003379 0.000895 0.003335 0.000877 0.030954 0.000543 0.030401 0.000551
29.000000 0.003032 0.000892 0.002995 0.000870 0.030476 0.000571 0.029923 0.000554
30.000000 0.002761 0.000700 0.002732 0.000683 0.030215 0.000431 0.029659 0.000402
31.000000 0.002610 0.000689 0.002585 0.000677 0.030083 0.000441 0.029533 0.000405
32.000000 0.002418 0.000763 0.002396 0.000750 0.029952 0.000498 0.029414 0.000447
33.000000 0.002232 0.000706 0.002214 0.000692 0.029796 0.000459 0.029266 0.000407
34.000000 0.002030 0.000654 0.002017 0.000642 0.029640 0.000483 0.029117 0.000435
35.000000 0.001866 0.000609 0.001856 0.000598 0.029483 0.000474 0.028971 0.000434
36.000000 0.001757 0.000600 0.001751 0.000587 0.029353 0.000342 0.028853 0.000323
37.000000 0.001576 0.000600 0.001569 0.000592 0.029164 0.000321 0.028672 0.000312
38.000000 0.001462 0.000550 0.001458 0.000546 0.029011 0.000307 0.028525 0.000298
39.000000 0.001365 0.000501 0.001363 0.000497 0.028918 0.000274 0.028437 0.000271
40.000000 0.001242 0.000480 0.001240 0.000475 0.028837 0.000340 0.028361 0.000341
41.000000 0.001167 0.000437 0.001166 0.000435 0.028764 0.000308 0.028295 0.000310
42.000000 0.001080 0.000413 0.001080 0.000412 0.028649 0.000258 0.028189 0.000261
43.000000 0.001000 0.000394 0.001002 0.000394 0.028585 0.000255 0.028133 0.000263
44.000000 0.000946 0.000369 0.000949 0.000371 0.028531 0.000257 0.028085 0.000263
45.000000 0.000846 0.000339 0.000852 0.000341 0.028448 0.000244 0.028003 0.000246
46.000000 0.000795 0.000324 0.000801 0.000327 0.028367 0.000225 0.027920 0.000224
47.000000 0.000762 0.000304 0.000768 0.000309 0.028289 0.000216 0.027842 0.000213
48.000000 0.000701 0.000280 0.000706 0.000286 0.028238 0.000218 0.027794 0.000206
49.000000 0.000650 0.000263 0.000656 0.000269 0.028198 0.000215 0.027761 0.000193
50.000000 0.000607 0.000243 0.000614 0.000249 0.028136 0.000197 0.027705 0.000171
51.000000 0.000575 0.000228 0.000582 0.000232 0.028073 0.000194 0.027651 0.000166
52.000000 0.000541 0.000217 0.000547 0.000220 0.028033 0.000181 0.027618 0.000157
53.000000 0.000513 0.000196 0.000519 0.000199 0.027982 0.000186 0.027573 0.000165
54.000000 0.000487 0.000190 0.000494 0.000195 0.027944 0.000186 0.027541 0.000168
55.000000 0.000463 0.000175 0.000471 0.000180 0.027901 0.000177 0.027501 0.000155
56.000000 0.000453 0.000160 0.000460 0.000163 0.027852 0.000180 0.027452 0.000153
57.000000 0.000448 0.000175 0.000455 0.000179 0.027826 0.000178 0.027426 0.000150
58.000000 0.000450 0.000223 0.000454 0.000224 0.027787 0.000182 0.027391 0.000153
