# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.010300 0.000988 0.010366 0.000995 0.008202 0.000100 0.008264 0.000100
1.000000 0.012154 0.002436 0.012170 0.002449 0.008152 0.001358 0.008180 0.001359
2.000000 0.032908 0.005566 0.033048 0.005593 0.046677 0.005495 0.046798 0.005483
3.000000 0.017373 0.003924 0.017376 0.003954 0.009233 0.000873 0.009295 0.000873
4.000000 0.004050 0.000470 0.004092 0.000473 0.006657 0.000385 0.006704 0.000388
5.000000 0.011505 0.001866 0.011565 0.001902 0.006380 0.000429 0.006427 0.000433
6.000000 0.007971 0.001300 0.008015 0.001300 0.006334 0.000512 0.006385 0.000516
7.000000 0.003911 0.000491 0.003952 0.000491 0.006641 0.000546 0.006697 0.000548
8.000000 0.004006 0.000523 0.004079 0.000535 0.006443 0.000537 0.006499 0.000536
9.000000 0.004319 0.000564 0.004395 0.000571 0.005768 0.000367 0.005826 0.000362
10.000000 0.003348 0.000518 0.003396 0.000516 0.005416 0.000247 0.005475 0.000245
11.000000 0.003327 0.000497 0.003374 0.000494 0.005191 0.000232 0.005251 0.000233
12.000000 0.003452 0.000326 0.003506 0.000320 0.005027 0.000241 0.005088 0.000241
13.000000 0.003110 0.000324 0.003161 0.000315 0.004819 0.000181 0.004881 0.000181
14.000000 0.002917 0.000328 0.002971 0.000323 0.004757 0.000159 0.004823 0.000160
15.000000 0.002577 0.000198 0.002636 0.000190 0.004696 0.000156 0.004769 0.000150
16.000000 0.002346 0.000204 0.002404 0.000189 0.004526 0.000183 0.004604 0.000173
17.000000 0.002283 0.000221 0.002342 0.000209 0.004368 0.000231 0.004449 0.000222
18.000000 0.002109 0.000160 0.002172 0.000158 0.004239 0.000197 0.004320 0.000192
19.000000 0.001954 0.000208 0.002017 0.000205 0.004148 0.000124 0.004229 0.000121
20.000000 0.001884 0.000214 0.001948 0.000207 0.004078 0.000095 0.004160 0.000096
21.000000 0.001734 0.000150 0.001802 0.000144 0.003994 0.000092 0.004080 0.000096
22.000000 0.001614 0.000162 0.001680 0.000161 0.003920 0.000107 0.004010 0.000109
23.000000 0.001571 0.000137 0.001635 0.000133 0.003853 0.000096 0.003945 0.000094
24.000000 0.001506 0.000076 0.001564 0.000070 0.003814 0.000067 0.003906 0.000064
25.000000 0.001435 0.000110 0.001494 0.000105 0.003795 0.000078 0.003888 0.000077
26.000000 0.001392 0.000292 0.001451 0.000301 0.003763 0.000068 0.003860 0.000068
27.000000 0.001269 0.000141 0.001320 0.000133 0.003701 0.000074 0.003801 0.000074
28.000000 0.001172 0.000055 0.001225 0.000049 0.003643 0.000082 0.003743 0.000083
29.000000 0.001156 0.000138 0.001209 0.000142 0.003625 0.000064 0.003725 0.000063
30.000000 0.001099 0.000047 0.001151 0.000044 0.003624 0.000061 0.003723 0.000061
31.000000 0.001165 0.000367 0.001214 0.000367 0.003595 0.000041 0.003693 0.000041
32.000000 0.001575 0.001704 0.001609 0.001659 0.003564 0.000048 0.003664 0.000048
33.000000 0.001179 0.000512 0.001227 0.000513 0.003540 0.000054 0.003642 0.000051
34.000000 0.001338 0.000790 0.001383 0.000789 0.003522 0.000051 0.003624 0.000046
35.000000 0.001153 0.000519 0.001205 0.000521 0.003511 0.000047 0.003613 0.000044
36.000000 0.001545 0.001621 0.001595 0.001616 0.003491 0.000042 0.003595 0.000039
37.000000 0.001096 0.000466 0.001143 0.000465 0.003477 0.000042 0.003582 0.000038
38.000000 0.001183 0.000744 0.001232 0.000736 0.003456 0.000043 0.003562 0.000039
39.000000 0.000945 0.000311 0.000997 0.000317 0.003443 0.000046 0.003551 0.000042
40.000000 0.000958 0.000380 0.001012 0.000381 0.003428 0.000044 0.003538 0.000038
41.000000 0.000988 0.000477 0.001042 0.000477 0.003417 0.000041 0.003529 0.000036
42.000000 0.000958 0.000461 0.001013 0.000465 0.003406 0.000039 0.003518 0.000034
43.000000 0.000909 0.000415 0.000969 0.000423 0.003392 0.000039 0.003508 0.000033
44.000000 0.000886 0.000389 0.000945 0.000398 0.003381 0.000039 0.003499 0.000034
45.000000 0.000863 0.000404 0.000919 0.000414 0.003370 0.000037 0.003488 0.000030
46.000000 0.000848 0.000400 0.000903 0.000409 0.003362 0.000037 0.003481 0.000029
47.000000 0.000816 0.000385 0.000870 0.000393 0.003354 0.000036 0.003474 0.000028
48.000000 0.000798 0.000372 0.000856 0.000380 0.003345 0.000035 0.003466 0.000027
49.000000 0.000765 0.000363 0.000822 0.000373 0.003336 0.000032 0.003457 0.000026
50.000000 0.000737 0.000339 0.000792 0.000350 0.003329 0.000031 0.003451 0.000026
51.000000 0.000710 0.000318 0.000766 0.000328 0.003323 0.000031 0.003447 0.000024
52.000000 0.000684 0.000299 0.000740 0.000309 0.003318 0.000030 0.003443 0.000023
53.000000 0.000658 0.000282 0.000714 0.000293 0.003310 0.000028 0.003436 0.000021
54.000000 0.000638 0.000270 0.000693 0.000280 0.003305 0.000026 0.003432 0.000019
55.000000 0.000616 0.000251 0.000670 0.000261 0.003300 0.000026 0.003427 0.000019
56.000000 0.000590 0.000232 0.000643 0.000241 0.003296 0.000024 0.003424 0.000017
57.000000 0.000571 0.000220 0.000623 0.000229 0.003292 0.000023 0.003422 0.000016
58.000000 0.000556 0.000209 0.000606 0.000217 0.003287 0.000022 0.003419 0.000015
59.000000 0.000533 0.000192 0.000582 0.000199 0.003283 0.000020 0.003415 0.000014
60.000000 0.000518 0.000181 0.000566 0.000187 0.003279 0.000019 0.003412 0.000013
61.000000 0.000501 0.000173 0.000549 0.000179 0.003277 0.000018 0.003410 0.000012
