# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 amplitude sigma
0.221859 -0.069555 0.879236 -0.300090 0.632953 0.168392 -0.939336 -0.627638 0.542772 -0.053904 -0.581169 0.280946 0.710719 0.853312 -0.361877 1.000000 0.575056
-0.011068 0.016380 0.718446 -0.438184 -0.759369 -0.932109 -0.103452 -0.466325 -0.462148 0.461782 -0.122387 0.917008 -0.009110 -0.288158 -0.278250 1.000000 1.146019
0.440134 0.689922 0.575524 -0.053578 0.796684 -0.418172 0.792939 -0.560136 -0.284739 -0.385942 -0.985662 -0.055875 0.565472 0.673084 0.134571 1.000000 1.156301
0.738029 0.826518 -0.430565 0.421117 0.350107 0.917039 -0.438416 -0.374240 -0.746590 0.305835 0.397467 -0.353906 0.413114 -0.720352 0.808722 1.000000 0.920031
0.041508 0.435146 0.563187 0.966930 0.366419 -0.786589 -0.277435 0.414727 -0.597537 -0.244682 0.589398 0.022264 -0.091249 0.990789 0.856584 1.000000 0.739017
0.256752 0.266398 -0.801813 -0.184072 0.534343 -0.112149 -0.854142 0.592666 0.764362 -0.877494 0.728407 -0.511702 -0.459684 0.494081 0.160113 1.000000 1.421222
0.175411 0.205692 -0.860314 -0.635272 0.688904 0.316540 -0.785101 -0.769467 -0.990068 0.627575 -0.749470 0.186567 -0.646251 -0.294707 0.303357 1.000000 1.431832
0.588852 -0.823393 -0.777388 0.287859 -0.951434 -0.906322 0.417023 0.418642 -0.626442 -0.009873 -0.498754 0.847535 0.282751 -0.650453 0.074283 1.000000 0.608573
0.476786 0.736346 0.626405 0.496552 -0.112118 0.110054 -0.863976 0.944197 0.454106 -0.539919 -0.820974 0.631798 0.676993 0.122842 -0.808772 1.000000 0.634620
0.805542 0.134585 -0.294752 0.101642 -0.801233 -0.963913 0.463327 0.301950 -0.719823 0.510682 0.154092 -0.776360 0.197660 -0.391709 0.503330 1.000000 0.675469
-0.375084 -0.650589 -0.860391 -0.650726 -0.973137 0.353588 -0.928766 0.766045 -0.655098 -0.209818 0.711922 0.397505 -0.360364 -0.461908 -0.183177 1.000000 1.222550
-0.112591 0.753579 0.732273 0.170984 -0.033919 0.260995 0.404728 -0.086925 0.487548 -0.226111 -0.592775 -0.593261 0.163005 -0.386827 -0.280168 1.000000 0.574434
0.494205 0.105017 0.376830 0.001507 0.370425 0.690434 0.359634 0.532138 -0.396833 -0.884071 0.763114 -0.409050 0.811690 -0.274435 0.847270 1.000000 1.161646
-0.581838 0.837933 0.056786 -0.108030 0.083825 -0.573619 -0.404974 0.166315 -0.710783 0.392316 0.820335 -0.187472 0.739207 -0.460687 -0.320677 1.000000 1.185642
-0.031887 0.554824 0.099457 0.949381 -0.275565 -0.928122 0.791067 0.736331 -0.370436 -0.763869 -0.024678 0.108278 0.920050 0.854020 0.507693 1.000000 0.742806
