# x0 x1 x2 x3 x4 x5 x6 x7 amplitude sigma
0.162966 0.621874 0.658534 0.577105 0.619197 0.737657 0.484175 -0.545808 1.000000 0.732902
-0.468130 0.051908 -0.141020 -0.862446 -0.917045 -0.339013 -0.575584 -0.346249 1.000000 1.411690
-0.720749 0.514373 0.459482 -0.509477 0.933091 0.389359 -0.345212 0.383853 1.000000 0.551030
0.104005 -0.939213 0.317007 0.141533 0.399956 0.335420 -0.247325 0.794236 1.000000 0.510007
-0.624491 0.395938 0.064612 0.779434 0.302466 -0.351203 -0.312664 -0.037556 1.000000 0.813254
-0.226279 0.821425 -0.672765 -0.992676 -0.330851 0.036481 0.908850 0.959019 1.000000 0.802944
0.590541 -0.392390 -0.261459 0.575250 0.509442 -0.647607 0.737346 0.346691 1.000000 0.640202
-0.300634 -0.675750 -0.630012 0.924875 -0.942636 -0.146596 0.158378 0.420976 1.000000 0.861590
0.614689 -0.566472 -0.649602 -0.025771 0.790759 -0.561990 0.240517 0.106044 1.000000 0.740939
-0.833376 -0.099729 -0.065639 0.716643 -0.263807 -0.132058 0.537587 0.861869 1.000000 1.472029
-0.241776 -0.801063 -0.368297 -0.457991 0.475832 0.416176 -0.262961 0.003670 1.000000 0.770042
-0.405598 -0.562209 0.407910 0.742627 -0.230086 0.218638 0.246225 0.169851 1.000000 0.709532
-0.982943 -0.849838 -0.768294 0.073416 -0.403556 -0.962174 -0.169625 -0.919432 1.000000 0.535815
0.795250 0.616873 -0.631179 0.943495 0.475943 0.128009 -0.467615 0.875908 1.000000 1.333648
0.023475 -0.898957 0.992112 -0.127122 -0.265343 -0.574845 0.367902 0.857803 1.000000 1.119786
