# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 amplitude sigma
0.273893 -0.974747 -0.355656 -0.746449 0.631685 -0.784563 0.547742 0.788084 -0.299676 0.632841 0.713840 -0.907620 -0.231139 0.521472 -0.001386 -0.847465 0.635015 -0.856570 1.000000 1.168825
-0.804904 0.342321 -0.018679 0.578359 0.924789 -0.076594 0.358577 -0.353646 0.283614 -0.477765 0.577043 -0.502469 0.326661 0.761829 0.729951 -0.205050 -0.942447 0.597624 1.000000 0.850711
0.695572 -0.588357 0.567086 -0.610717 -0.801205 -0.173935 -0.531683 0.525458 0.817228 0.607644 0.668538 0.340352 -0.652422 -0.609376 0.062271 0.013909 0.819499 0.576271 1.000000 1.393106
-0.520416 0.158369 -0.018626 -0.007264 -0.205706 0.307345 0.475592 -0.590517 0.733314 0.440532 0.612714 0.138082 0.017013 -0.953301 0.687254 -0.439009 0.633792 -0.522877 1.000000 0.778035
-0.106008 -0.906062 -0.843408 -0.115824 0.017368 -0.575413 0.396320 -0.733361 -0.695864 -0.141203 0.050387 -0.249341 0.773723 -0.108284 -0.564031 0.224255 0.607296 0.615097 1.000000 0.552487
-0.688173 0.950114 -0.003576 0.904391 0.866357 -0.385820 -0.755307 0.681711 -0.635305 -0.165806 -0.428782 0.668287 -0.857332 0.888951 -0.113888 0.113579 0.713209 0.807415 1.000000 1.417891
0.407570 -0.935167 -0.925851 0.532157 -0.739663 0.346080 -0.732146 -0.091496 -0.599356 -0.532632 -0.554901 0.966374 0.041328 0.506242 -0.216163 0.727137 0.892088 -0.945489 1.000000 0.972162
0.122072 -0.855991 0.669862 0.077206 0.549647 0.257485 -0.946328 0.819131 0.133738 0.074386 -0.230259 -0.712806 0.244802 0.965144 -0.022993 0.517847 -0.654918 -0.434851 1.000000 0.506247
-0.385493 -0.455118 0.276011 -0.525960 -0.800033 0.115276 -0.992859 0.023980 -0.367170 -0.077881 -0.114281 0.787971 0.616841 0.542045 -0.217180 -0.149358 0.972017 -0.606331 1.000000 0.988006
0.789946 -0.920339 0.833230 0.919513 -0.752063 -0.059896 -0.918698 -0.114805 -0.839397 0.922601 -0.194838 0.858688 0.588581 0.377399 -0.178853 -0.529618 0.494741 -0.860983 1.000000 1.341127
-0.645797 0.370103 0.887540 0.223692 0.917399 0.361871 0.949936 0.360768 0.340543 0.262973 0.148621 -0.914384 0.890868 0.086832 -0.087392 0.484576 -0.580932 0.093444 1.000000 1.269953
-0.213793 0.264287 0.732478 0.184292 -0.110498 -0.064508 0.842422 0.965647 0.270593 -0.982879 -0.112379 0.520949 -0.464379 0.815600 0.296352 -0.148946 -0.136086 -0.700259 1.000000 0.846713
0.988783 -0.124323 0.453077 -0.497903 -0.504595 0.180704 -0.352789 -0.396198 -0.666564 -0.050985 -0.537503 0.057006 0.522214 -0.187749 -0.510897 -0.138689 0.858761 0.560881 1.000000 0.858937
-0.872315 0.417314 0.084141 -0.383820 -0.191117 -0.136015 -0.691173 -0.237469 -0.173285 -0.654500 -0.539078 -0.914170 -0.402502 0.882941 -0.097968 0.613665 0.388877 0.555162 1.000000 1.227285
-0.202995 0.987080 0.493454 -0.542522 0.044997 -0.439883 -0.414182 -0.602630 0.545804 -0.984187 0.449239 0.191072 -0.730971 0.331387 0.175113 -0.019275 -0.293798 0.137816 1.000000 1.162239
