# x0 x1 amplitude sigma
-0.185386 0.177183 1.000000 1.120374
0.699062 0.285534 1.000000 1.008953
-0.088188 0.749095 1.000000 0.798245
0.168875 -0.179671 1.000000 1.153799
-0.785847 0.973833 1.000000 0.773507
-0.508378 0.634125 1.000000 1.023126
0.968937 -0.716920 1.000000 0.873250
-0.964302 0.593882 1.000000 0.869279
0.274099 -0.074900 1.000000 1.234694
-0.359666 0.184375 1.000000 1.148639
-0.861561 -0.438236 1.000000 1.425797
-0.650309 0.543941 1.000000 0.727148
0.547126 0.523189 1.000000 0.905553
0.457434 0.818651 1.000000 1.383681
0.881003 -0.623438 1.000000 0.708901
