# x0 x1 x2 amplitude sigma
-0.329985 -0.432740 0.143165 1.000000 0.616059
-0.322131 0.267551 0.752391 1.000000 1.158455
0.585243 -0.731659 0.603444 1.000000 0.875589
-0.897707 -0.283780 0.922940 1.000000 1.112783
0.953734 -0.895359 -0.191751 1.000000 1.179491
0.222415 -0.552023 -0.318849 1.000000 1.182463
0.337079 -0.245479 -0.882583 1.000000 1.455010
0.464661 -0.004534 -0.600442 1.000000 1.137223
-0.686947 0.675334 0.606816 1.000000 1.012944
0.416976 -0.670116 0.642691 1.000000 0.586176
-0.283867 -0.636665 0.501882 1.000000 0.887468
-0.969124 -0.608561 -0.733957 1.000000 0.790444
0.601485 0.848523 -0.414393 1.000000 0.635401
-0.541578 0.604748 -0.295895 1.000000 0.510106
-0.544024 0.697560 0.483932 1.000000 0.912832
