# x0 x1 x2 x3 x4 amplitude sigma
-0.134105 -0.742430 -0.916274 -0.874630 -0.997458 1.000000 1.408584
-0.511632 -0.820270 -0.052450 0.216374 -0.157335 1.000000 0.757972
-0.629428 -0.196733 0.406706 0.931785 -0.266224 1.000000 1.377655
0.764474 0.538229 0.637177 0.630183 -0.346909 1.000000 1.238965
-0.432109 -0.080947 -0.400746 -0.176567 -0.285207 1.000000 1.198077
0.725557 0.945790 -0.988864 0.502367 -0.857176 1.000000 1.017209
0.625474 0.776235 0.223066 -0.288475 0.107493 1.000000 1.452110
0.633089 0.215092 -0.555124 0.194239 0.116557 1.000000 1.413645
0.995885 -0.771259 0.879623 0.772319 0.433009 1.000000 0.578174
-0.689733 -0.124475 0.929611 -0.111850 0.515812 1.000000 1.282321
-0.931067 0.548050 -0.501196 -0.133860 0.077551 1.000000 0.613665
-0.029735 0.219125 0.370990 0.546285 0.491101 1.000000 1.140850
0.803191 0.245479 -0.616202 0.799629 -0.383001 1.000000 0.579763
0.545485 -0.520893 0.088964 -0.975347 0.220963 1.000000 0.731966
-0.116994 0.530702 0.470757 -0.138783 -0.415635 1.000000 0.885952
