# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.035252 0.002898 0.034902 0.002935 0.028254 0.000106 0.027893 0.000106
1.000000 0.027073 0.001558 0.026689 0.001576 0.026765 0.000213 0.026392 0.000213
2.000000 0.022612 0.000678 0.022197 0.000680 0.024672 0.000365 0.024272 0.000366
3.000000 0.021109 0.000689 0.020672 0.000679 0.023509 0.000411 0.023053 0.000397
4.000000 0.019470 0.000676 0.019052 0.000669 0.023228 0.000389 0.022749 0.000387
5.000000 0.017441 0.000658 0.017057 0.000653 0.022004 0.000269 0.021552 0.000270
6.000000 0.015889 0.000826 0.015532 0.000821 0.021726 0.000337 0.021297 0.000339
7.000000 0.014534 0.000864 0.014201 0.000853 0.021430 0.000212 0.021008 0.000215
8.000000 0.013407 0.000816 0.013097 0.000800 0.020690 0.000228 0.020263 0.000235
9.000000 0.012438 0.000739 0.012153 0.000715 0.019864 0.000214 0.019426 0.000212
10.000000 0.011553 0.000690 0.011284 0.000653 0.019202 0.000208 0.018756 0.000202
11.000000 0.010773 0.000641 0.010509 0.000593 0.018512 0.000221 0.018067 0.000224
12.000000 0.010074 0.000582 0.009812 0.000532 0.017796 0.000213 0.017362 0.000212
13.000000 0.009503 0.000482 0.009244 0.000437 0.017223 0.000195 0.016805 0.000193
14.000000 0.009069 0.000381 0.008816 0.000345 0.016822 0.000208 0.016420 0.000212
15.000000 0.008706 0.000334 0.008463 0.000305 0.016510 0.000206 0.016119 0.000208
16.000000 0.008361 0.000340 0.008132 0.000314 0.016216 0.000139 0.015833 0.000143
17.000000 0.008021 0.000354 0.007808 0.000332 0.015903 0.000104 0.015521 0.000109
18.000000 0.007693 0.000346 0.007499 0.000328 0.015490 0.000106 0.015107 0.000109
19.000000 0.007400 0.000323 0.007224 0.000308 0.015133 0.000145 0.014749 0.000139
20.000000 0.007149 0.000297 0.006991 0.000282 0.014911 0.000122 0.014525 0.000112
21.000000 0.006917 0.000272 0.006775 0.000256 0.014761 0.000090 0.014375 0.000083
22.000000 0.006686 0.000255 0.006558 0.000240 0.014645 0.000093 0.014259 0.000089
23.000000 0.006462 0.000251 0.006344 0.000237 0.014548 0.000084 0.014162 0.000082
24.000000 0.006256 0.000246 0.006146 0.000233 0.014440 0.000065 0.014057 0.000064
25.000000 0.006070 0.000231 0.005968 0.000220 0.014309 0.000057 0.013934 0.000055
26.000000 0.005907 0.000217 0.005814 0.000206 0.014185 0.000053 0.013818 0.000051
27.000000 0.005768 0.000204 0.005684 0.000192 0.014084 0.000056 0.013727 0.000055
28.000000 0.005644 0.000189 0.005570 0.000175 0.013995 0.000065 0.013646 0.000065
29.000000 0.005526 0.000175 0.005463 0.000158 0.013902 0.000071 0.013561 0.000071
30.000000 0.005412 0.000163 0.005360 0.000144 0.013803 0.000073 0.013469 0.000075
31.000000 0.005299 0.000156 0.005259 0.000135 0.013708 0.000067 0.013381 0.000068
32.000000 0.005191 0.000152 0.005159 0.000130 0.013625 0.000065 0.013306 0.000062
33.000000 0.005089 0.000149 0.005065 0.000129 0.013556 0.000068 0.013245 0.000060
34.000000 0.004991 0.000147 0.004974 0.000132 0.013495 0.000066 0.013190 0.000059
35.000000 0.004899 0.000146 0.004889 0.000133 0.013436 0.000063 0.013138 0.000058
36.000000 0.004819 0.000150 0.004815 0.000136 0.013385 0.000060 0.013093 0.000058
37.000000 0.004742 0.000155 0.004745 0.000140 0.013337 0.000057 0.013052 0.000054
38.000000 0.004663 0.000158 0.004672 0.000144 0.013289 0.000053 0.013011 0.000050
39.000000 0.004583 0.000162 0.004600 0.000148 0.013247 0.000050 0.012976 0.000049
40.000000 0.004501 0.000166 0.004523 0.000151 0.013215 0.000048 0.012949 0.000047
41.000000 0.004422 0.000171 0.004447 0.000154 0.013188 0.000045 0.012928 0.000041
42.000000 0.004343 0.000178 0.004371 0.000161 0.013163 0.000041 0.012906 0.000036
43.000000 0.004267 0.000185 0.004298 0.000168 0.013136 0.000035 0.012882 0.000031
44.000000 0.004192 0.000192 0.004228 0.000175 0.013109 0.000031 0.012858 0.000028
45.000000 0.004120 0.000199 0.004160 0.000182 0.013086 0.000031 0.012836 0.000026
46.000000 0.004048 0.000206 0.004093 0.000189 0.013065 0.000031 0.012817 0.000026
47.000000 0.003974 0.000215 0.004025 0.000197 0.013043 0.000029 0.012797 0.000026
48.000000 0.003898 0.000225 0.003954 0.000207 0.013021 0.000026 0.012778 0.000026
49.000000 0.003820 0.000235 0.003880 0.000218 0.013002 0.000024 0.012762 0.000025
50.000000 0.003742 0.000246 0.003808 0.000230 0.012983 0.000024 0.012746 0.000024
51.000000 0.003663 0.000259 0.003735 0.000244 0.012965 0.000022 0.012731 0.000022
52.000000 0.003583 0.000272 0.003660 0.000258 0.012949 0.000022 0.012717 0.000021
53.000000 0.003500 0.000285 0.003581 0.000272 0.012934 0.000022 0.012703 0.000020
54.000000 0.003415 0.000300 0.003499 0.000287 0.012920 0.000023 0.012689 0.000019
55.000000 0.003327 0.000315 0.003417 0.000301 0.012906 0.000023 0.012676 0.000019
56.000000 0.003238 0.000329 0.003332 0.000316 0.012894 0.000023 0.012665 0.000019
57.000000 0.003146 0.000344 0.003247 0.000331 0.012883 0.000022 0.012656 0.000019
58.000000 0.003053 0.000360 0.003157 0.000348 0.012871 0.000021 0.012647 0.000020
59.000000 0.002958 0.000374 0.003067 0.000364 0.012860 0.000021 0.012638 0.000019
60.000000 0.002864 0.000385 0.002974 0.000380 0.012849 0.000020 0.012630 0.000019
61.000000 0.002774 0.000392 0.002891 0.000387 0.012840 0.000020 0.012623 0.000018
62.000000 0.002686 0.000396 0.002800 0.000397 0.012831 0.000019 0.012617 0.000017
63.000000 0.002568 0.000423 0.002685 0.000423 0.012822 0.000019 0.012611 0.000017
64.000000 0.002487 0.000432 0.002608 0.000433 0.012812 0.000019 0.012604 0.000016
65.000000 0.002430 0.000445 0.002539 0.000451 0.012803 0.000019 0.012597 0.000015
66.000000 0.002308 0.000400 0.002428 0.000403 0.012795 0.000019 0.012591 0.000016
67.000000 0.002240 0.000344 0.002355 0.000352 0.012787 0.000019 0.012586 0.000017
68.000000 0.002129 0.000413 0.002239 0.000423 0.012779 0.000019 0.012580 0.000017
69.000000 0.002055 0.000338 0.002168 0.000347 0.012771 0.000019 0.012575 0.000016
70.000000 0.002002 0.000346 0.002118 0.000364 0.012764 0.000018 0.012570 0.000015
71.000000 0.001935 0.000324 0.002033 0.000340 0.012757 0.000018 0.012565 0.000015
72.000000 0.001852 0.000301 0.001958 0.000315 0.012750 0.000018 0.012560 0.000015
73.000000 0.001864 0.000275 0.001968 0.000288 0.012743 0.000018 0.012556 0.000015
74.000000 0.001707 0.000283 0.001803 0.000305 0.012736 0.000018 0.012551 0.000015
75.000000 0.001660 0.000268 0.001754 0.000282 0.012730 0.000018 0.012546 0.000015
76.000000 0.001654 0.000293 0.001751 0.000314 0.012724 0.000018 0.012543 0.000015
77.000000 0.001575 0.000299 0.001662 0.000309 0.012718 0.000018 0.012539 0.000015
78.000000 0.001504 0.000219 0.001593 0.000236 0.012712 0.000017 0.012535 0.000014
79.000000 0.001471 0.000277 0.001560 0.000305 0.012706 0.000017 0.012531 0.000014
80.000000 0.001413 0.000230 0.001492 0.000241 0.012700 0.000017 0.012528 0.000013
81.000000 0.001339 0.000193 0.001420 0.000202 0.012695 0.000017 0.012525 0.000013
82.000000 0.001326 0.000217 0.001411 0.000239 0.012690 0.000017 0.012522 0.000012
83.000000 0.001236 0.000146 0.001313 0.000165 0.012684 0.000017 0.012519 0.000012
84.000000 0.001243 0.000180 0.001312 0.000188 0.012679 0.000016 0.012516 0.000013
85.000000 0.001160 0.000125 0.001236 0.000136 0.012674 0.000016 0.012512 0.000013
86.000000 0.001172 0.000168 0.001247 0.000183 0.012669 0.000016 0.012509 0.000013
87.000000 0.001104 0.000113 0.001171 0.000122 0.012664 0.000016 0.012506 0.000013
88.000000 0.001100 0.000133 0.001164 0.000140 0.012660 0.000016 0.012504 0.000013
89.000000 0.001055 0.000110 0.001124 0.000120 0.012655 0.000016 0.012501 0.000012
90.000000 0.001044 0.000114 0.001111 0.000123 0.012650 0.000015 0.012498 0.000012
91.000000 0.001011 0.000099 0.001074 0.000105 0.012646 0.000015 0.012496 0.000012
92.000000 0.000992 0.000099 0.001054 0.000104 0.012642 0.000015 0.012493 0.000012
93.000000 0.000975 0.000093 0.001041 0.000101 0.012637 0.000015 0.012490 0.000012
94.000000 0.000949 0.000085 0.001012 0.000091 0.012633 0.000015 0.012488 0.000012
95.000000 0.000937 0.000085 0.000998 0.000090 0.012629 0.000015 0.012486 0.000012
96.000000 0.000914 0.000080 0.000976 0.000085 0.012625 0.000015 0.012484 0.000012
97.000000 0.000904 0.000078 0.000967 0.000084 0.012621 0.000015 0.012482 0.000012
98.000000 0.000882 0.000071 0.000943 0.000075 0.012617 0.000015 0.012480 0.000012
99.000000 0.000875 0.000074 0.000935 0.000079 0.012613 0.000015 0.012478 0.000012
100.000000 0.000857 0.000066 0.000919 0.000072 0.012609 0.000014 0.012476 0.000012
101.000000 0.000851 0.000069 0.000912 0.000073 0.012606 0.000014 0.012474 0.000012
102.000000 0.000836 0.000063 0.000896 0.000067 0.012602 0.000014 0.012472 0.000012
103.000000 0.000825 0.000065 0.000884 0.000069 0.012598 0.000014 0.012471 0.000012
104.000000 0.000807 0.000057 0.000867 0.000062 0.012595 0.000014 0.012469 0.000012
105.000000 0.000800 0.000059 0.000859 0.000063 0.012591 0.000014 0.012468 0.000012
106.000000 0.000791 0.000055 0.000848 0.000058 0.012588 0.000014 0.012466 0.000012
107.000000 0.000782 0.000057 0.000841 0.000061 0.012584 0.000014 0.012465 0.000012
108.000000 0.000766 0.000051 0.000824 0.000055 0.012581 0.000014 0.012463 0.000012
109.000000 0.000762 0.000053 0.000818 0.000057 0.012577 0.000014 0.012462 0.000012
110.000000 0.000752 0.000049 0.000810 0.000053 0.012574 0.000014 0.012460 0.000012
111.000000 0.000745 0.000051 0.000803 0.000055 0.012570 0.000014 0.012459 0.000013
112.000000 0.000734 0.000048 0.000791 0.000052 0.012567 0.000014 0.012458 0.000013
113.000000 0.000728 0.000048 0.000784 0.000051 0.012564 0.000014 0.012456 0.000013
114.000000 0.000722 0.000047 0.000779 0.000050 0.012560 0.000014 0.012455 0.000013
115.000000 0.000714 0.000046 0.000770 0.000050 0.012557 0.000014 0.012454 0.000013
116.000000 0.000706 0.000046 0.000761 0.000050 0.012554 0.000014 0.012452 0.000013
117.000000 0.000699 0.000044 0.000755 0.000048 0.012551 0.000014 0.012451 0.000013
118.000000 0.000695 0.000044 0.000751 0.000047 0.012547 0.000014 0.012450 0.000013
119.000000 0.000688 0.000042 0.000743 0.000046 0.012544 0.000014 0.012449 0.000013
120.000000 0.000681 0.000043 0.000737 0.000046 0.012541 0.000014 0.012448 0.000013
121.000000 0.000675 0.000042 0.000731 0.000045 0.012538 0.000014 0.012447 0.000013
122.000000 0.000670 0.000041 0.000726 0.000044 0.012536 0.000012 0.012447 0.000013
123.000000 0.000666 0.000041 0.000721 0.000044 0.012534 0.000010 0.012448 0.000014
124.000000 0.000660 0.000039 0.000715 0.000043 0.012533 0.000011 0.012449 0.000017
