# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 amplitude sigma
-0.008521 -0.181630 0.532713 -0.208943 0.077774 -0.342993 -0.601224 0.248056 -0.845199 -0.927279 0.570394 -0.467377 1.000000 0.752402
-0.339992 -0.519783 0.473743 0.793627 -0.007149 0.227351 -0.253827 0.883940 0.317765 0.011890 0.719309 -0.691590 1.000000 0.556564
0.150363 -0.771584 0.387007 -0.297586 0.775862 -0.481951 -0.961306 -0.159937 -0.114949 0.555040 0.664813 0.238362 1.000000 1.110408
-0.963454 0.191778 0.264834 -0.499253 -0.134974 -0.936366 0.666883 0.234299 -0.250824 -0.986668 0.781486 -0.897041 1.000000 1.063422
-0.992679 -0.553208 -0.945546 0.863782 0.180288 0.765440 0.958095 -0.637047 -0.970264 0.599672 -0.516098 -0.937194 1.000000 1.084117
-0.302152 -0.469197 0.821728 -0.723826 -0.686309 -0.349086 -0.369638 0.314723 -0.888945 -0.500227 -0.143941 0.751950 1.000000 0.679576
-0.083885 0.458320 -0.020329 -0.855201 0.599845 0.375660 0.006515 0.369300 0.167629 -0.853195 -0.250206 0.361250 1.000000 1.228948
0.928629 -0.714465 0.590821 -0.237576 -0.620254 -0.061308 0.691651 -0.870103 0.177478 0.100243 0.878708 0.830139 1.000000 0.812493
-0.551077 0.475529 0.281331 -0.251451 0.036648 0.842684 -0.164561 -0.192937 -0.268352 -0.015667 0.997690 0.781589 1.000000 1.000567
-0.570885 0.367651 -0.217796 0.845010 0.556298 0.124303 -0.858261 0.994373 0.636433 -0.902696 0.707954 0.605442 1.000000 0.756749
0.977279 0.982762 0.557961 0.851803 -0.387106 0.395451 -0.324702 0.935010 0.251153 0.920735 -0.459510 -0.003988 1.000000 0.590191
-0.091740 0.443361 -0.201002 0.979789 -0.445460 0.206319 -0.712959 -0.946030 -0.642109 0.795522 -0.300504 0.764462 1.000000 0.765824
0.813309 -0.755425 -0.005975 -0.598099 0.187665 -0.431087 0.533769 0.929422 0.004185 -0.287086 0.933774 -0.954969 1.000000 1.079295
-0.869980 -0.993138 0.270238 0.371051 -0.135890 -0.950518 -0.259124 -0.316783 -0.850116 0.851358 -0.686254 -0.060457 1.000000 1.196190
-0.150069 -0.063767 -0.056514 -0.866722 0.165737 -0.436114 0.447905 0.507244 0.429493 0.584798 0.016616 0.209464 1.000000 0.704728
