# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 amplitude sigma
0.454868 -0.984565 0.268102 -0.817855 -0.516446 -0.788768 -0.709231 0.218190 0.075260 -0.491943 0.451390 0.620357 -0.044926 -0.847179 -0.246650 0.653474 -0.488349 -0.996673 0.784841 -0.388247 1.000000 1.266410
0.754218 0.755016 -0.661017 0.916208 -0.670508 0.155982 -0.748103 0.902475 0.087091 -0.189708 -0.125755 -0.952821 0.508284 0.075376 0.739905 -0.272160 0.115331 -0.864335 -0.695663 0.880178 1.000000 0.914072
-0.453606 -0.783435 0.804713 -0.934282 0.857047 0.931351 0.970617 -0.754715 -0.605510 -0.912329 -0.461523 -0.237577 -0.471622 -0.832155 0.777715 -0.787331 -0.149568 -0.347584 0.504568 0.496288 1.000000 1.324845
-0.989725 0.223180 0.915983 -0.353014 0.528235 -0.329771 0.306789 -0.811944 0.112951 -0.091205 -0.014856 -0.473427 0.194739 0.802272 -0.033482 0.759730 0.243081 -0.163779 -0.096078 0.014575 1.000000 0.548850
-0.676929 0.413452 0.686272 0.430566 0.225630 0.224831 -0.546921 0.911052 -0.923203 -0.272093 -0.470194 -0.056499 0.584244 -0.430241 0.554129 0.192946 -0.063568 0.143540 0.467074 0.519016 1.000000 1.245533
-0.645827 0.252970 0.121835 0.784964 -0.958066 0.783039 0.971386 0.510323 0.762002 0.697721 0.217279 0.449587 0.372843 -0.433520 0.714117 -0.574424 0.520410 -0.152508 0.075739 0.610624 1.000000 1.493803
-0.372111 -0.001843 0.633775 -0.439247 -0.733905 0.570217 -0.324396 0.903742 -0.625357 -0.692234 -0.983945 -0.682361 -0.126193 0.824270 -0.157015 0.393752 0.422367 -0.491668 0.171000 -0.302464 1.000000 0.779454
-0.528066 0.065133 -0.507519 0.574250 0.504198 -0.590654 -0.590635 -0.508892 0.923719 0.982189 -0.192947 -0.622264 0.566016 -0.987693 -0.783196 -0.731667 0.747615 -0.370648 -0.556597 0.038329 1.000000 1.334821
-0.266641 0.620164 0.582389 0.967950 0.419270 -0.932240 -0.104524 0.331706 -0.618481 0.229455 0.794201 -0.417578 0.770280 -0.237754 0.017934 -0.402580 0.645336 0.992653 0.839862 0.177717 1.000000 1.025718
-0.939661 0.000050 -0.707271 0.898481 -0.575704 0.323364 -0.580960 -0.511487 -0.352262 -0.955364 -0.876518 0.249379 -0.102055 0.537031 0.928905 -0.506758 -0.489282 0.282489 0.502685 -0.326495 1.000000 1.008712
0.813546 -0.791584 0.873932 0.290711 -0.896301 -0.913363 -0.222606 -0.468541 0.679953 -0.723624 -0.490956 -0.225675 0.957558 0.492153 0.472980 -0.584403 -0.103506 0.230288 -0.494471 0.491314 1.000000 0.664859
0.888701 0.128586 0.946932 0.932508 0.451377 -0.803339 0.334696 -0.622454 0.224063 0.930985 0.954008 -0.115573 0.831191 -0.768878 -0.920495 0.182697 -0.568651 0.317125 -0.903640 -0.153952 1.000000 1.067289
0.964413 -0.829236 -0.137390 -0.033728 0.205175 0.864866 0.353331 0.212171 -0.714073 -0.822464 0.062827 0.932451 -0.786605 -0.155962 -0.171897 -0.138325 -0.171835 -0.446953 0.306395 0.069809 1.000000 1.105144
0.707042 -0.069824 -0.723327 0.068459 -0.907326 -0.967316 0.212920 0.570376 0.516662 0.437307 0.386017 0.094250 0.956629 -0.166504 -0.286677 -0.728775 -0.187265 0.898467 0.644042 0.589544 1.000000 0.978229
-0.815926 -0.802076 -0.158381 0.867012 0.631508 -0.900009 -0.034231 -0.233188 0.689099 0.575002 0.394539 -0.731954 -0.584540 -0.608228 0.462288 -0.986272 0.967769 -0.393475 0.340662 0.546739 1.000000 1.333891
