# x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 amplitude sigma
0.637914 0.928967 -0.663821 -0.455297 0.184530 0.439062 0.964311 -0.834948 0.199540 0.658912 1.000000 1.191987
0.514709 -0.613674 -0.667851 -0.741168 0.542583 0.745310 -0.299291 0.963189 0.024227 -0.760997 1.000000 0.985035
0.085111 0.204859 0.448680 -0.965241 0.265783 -0.068867 -0.780635 0.300808 -0.215824 -0.652600 1.000000 0.529139
0.200692 -0.671612 0.558274 0.486785 0.246559 -0.310421 -0.990744 -0.865046 -0.485965 -0.908280 1.000000 1.069966
0.662661 -0.558903 -0.004954 -0.148359 0.172784 -0.462120 -0.378012 0.530418 -0.386256 0.864038 1.000000 1.346304
-0.736407 -0.688586 0.373878 -0.381720 0.288574 0.408355 -0.634265 0.620671 0.475633 0.934882 1.000000 1.492168
0.986460 -0.827097 -0.589597 0.187810 0.780031 0.751276 -0.857037 0.859432 -0.335117 -0.089686 1.000000 0.694407
0.265618 -0.327204 0.331083 0.808326 -0.741928 0.897358 -0.946994 0.776185 0.917170 0.756140 1.000000 1.009139
0.131699 0.406324 0.520350 0.981113 0.861237 -0.639158 -0.189040 -0.895400 0.167841 -0.639901 1.000000 0.573250
-0.830904 -0.163875 -0.767854 -0.114049 0.818395 0.183926 -0.011129 0.047073 0.061872 -0.369593 1.000000 0.648502
-0.164182 0.404171 0.420619 0.149244 -0.424799 0.092809 -0.339686 -0.236902 -0.949338 -0.645495 1.000000 0.940576
0.254839 0.142641 -0.021626 0.591620 0.479740 0.901737 0.469941 0.457233 -0.054887 0.855071 1.000000 1.095663
0.181080 -0.709270 0.931218 -0.897024 0.150486 0.190132 0.891006 0.853490 -0.850572 -0.003963 1.000000 1.440673
-0.657992 -0.294564 -0.748999 -0.517738 -0.757321 -0.958666 -0.851778 0.654856 -0.588285 0.510049 1.000000 0.991672
0.662575 -0.465560 0.691857 0.455684 0.788770 -0.423778 -0.587631 0.118249 0.186298 -0.682243 1.000000 0.995189
