# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.078588 0.001298 0.078460 0.001346 0.072434 0.000119 0.072281 0.000118
1.000000 0.068578 0.000899 0.068420 0.000908 0.070652 0.000292 0.070491 0.000294
2.000000 0.061913 0.000724 0.061725 0.000721 0.067782 0.000568 0.067606 0.000580
3.000000 0.057689 0.000787 0.057470 0.000772 0.064453 0.000580 0.064237 0.000605
4.000000 0.053142 0.000926 0.052932 0.000918 0.064368 0.000583 0.064088 0.000585
5.000000 0.047226 0.001107 0.047052 0.001128 0.061770 0.000678 0.061512 0.000698
6.000000 0.041688 0.001399 0.041524 0.001431 0.059704 0.000531 0.059480 0.000543
7.000000 0.037602 0.001494 0.037387 0.001483 0.058674 0.000592 0.058466 0.000599
8.000000 0.034371 0.001363 0.034072 0.001326 0.056939 0.000797 0.056728 0.000804
9.000000 0.031390 0.001309 0.031047 0.001350 0.054200 0.001063 0.053975 0.001069
10.000000 0.028390 0.001092 0.028057 0.001201 0.051313 0.001402 0.051084 0.001402
11.000000 0.025795 0.001074 0.025504 0.001142 0.048934 0.001591 0.048725 0.001592
12.000000 0.023998 0.001043 0.023748 0.001078 0.046684 0.001058 0.046503 0.001058
13.000000 0.022811 0.000989 0.022586 0.001004 0.044782 0.000676 0.044639 0.000679
14.000000 0.021845 0.000898 0.021633 0.000889 0.043715 0.000541 0.043611 0.000594
15.000000 0.020846 0.000797 0.020647 0.000770 0.042752 0.000778 0.042668 0.000807
16.000000 0.019770 0.000655 0.019587 0.000619 0.041342 0.001018 0.041250 0.001051
17.000000 0.018671 0.000522 0.018504 0.000482 0.039860 0.000907 0.039741 0.000943
18.000000 0.017600 0.000450 0.017448 0.000408 0.038597 0.000553 0.038459 0.000582
19.000000 0.016618 0.000413 0.016478 0.000366 0.037782 0.000401 0.037633 0.000415
20.000000 0.015807 0.000391 0.015679 0.000343 0.037354 0.000343 0.037198 0.000349
21.000000 0.015184 0.000370 0.015067 0.000332 0.037011 0.000314 0.036851 0.000314
22.000000 0.014674 0.000339 0.014566 0.000309 0.036608 0.000328 0.036447 0.000321
23.000000 0.014195 0.000297 0.014097 0.000269 0.036202 0.000308 0.036042 0.000295
24.000000 0.013717 0.000268 0.013629 0.000241 0.035839 0.000271 0.035679 0.000259
25.000000 0.013247 0.000280 0.013170 0.000259 0.035513 0.000231 0.035355 0.000227
26.000000 0.012802 0.000304 0.012737 0.000290 0.035254 0.000208 0.035097 0.000212
27.000000 0.012400 0.000302 0.012346 0.000294 0.035053 0.000208 0.034899 0.000207
28.000000 0.012047 0.000268 0.012005 0.000261 0.034825 0.000231 0.034676 0.000222
29.000000 0.011742 0.000220 0.011712 0.000213 0.034547 0.000229 0.034405 0.000216
30.000000 0.011470 0.000181 0.011453 0.000172 0.034291 0.000222 0.034157 0.000208
31.000000 0.011213 0.000159 0.011207 0.000149 0.034105 0.000192 0.033979 0.000181
32.000000 0.010960 0.000151 0.010966 0.000140 0.033967 0.000152 0.033850 0.000143
33.000000 0.010713 0.000158 0.010731 0.000147 0.033847 0.000134 0.033741 0.000123
34.000000 0.010480 0.000169 0.010510 0.000157 0.033729 0.000133 0.033635 0.000126
35.000000 0.010270 0.000177 0.010310 0.000164 0.033607 0.000122 0.033526 0.000122
36.000000 0.010081 0.000186 0.010129 0.000173 0.033492 0.000111 0.033423 0.000114
37.000000 0.009903 0.000189 0.009955 0.000178 0.033398 0.000105 0.033341 0.000108
38.000000 0.009733 0.000182 0.009785 0.000171 0.033321 0.000093 0.033275 0.000099
39.000000 0.009567 0.000173 0.009619 0.000162 0.033245 0.000087 0.033209 0.000096
40.000000 0.009402 0.000170 0.009455 0.000158 0.033173 0.000081 0.033143 0.000090
41.000000 0.009244 0.000169 0.009299 0.000156 0.033109 0.000077 0.033084 0.000081
42.000000 0.009097 0.000169 0.009152 0.000156 0.033052 0.000075 0.033030 0.000076
43.000000 0.008956 0.000172 0.009012 0.000159 0.033003 0.000070 0.032983 0.000073
44.000000 0.008819 0.000177 0.008876 0.000164 0.032960 0.000061 0.032944 0.000069
45.000000 0.008687 0.000184 0.008745 0.000170 0.032915 0.000055 0.032904 0.000064
46.000000 0.008561 0.000193 0.008622 0.000178 0.032868 0.000056 0.032861 0.000061
47.000000 0.008441 0.000203 0.008507 0.000187 0.032825 0.000060 0.032824 0.000064
48.000000 0.008323 0.000211 0.008395 0.000194 0.032787 0.000063 0.032791 0.000069
49.000000 0.008204 0.000218 0.008282 0.000200 0.032748 0.000059 0.032758 0.000068
50.000000 0.008083 0.000228 0.008169 0.000208 0.032706 0.000052 0.032722 0.000061
51.000000 0.007963 0.000240 0.008056 0.000219 0.032667 0.000051 0.032689 0.000057
52.000000 0.007845 0.000252 0.007944 0.000229 0.032633 0.000055 0.032661 0.000059
