# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 7.639915 0.015715 7.637750 0.015822 7.634603 0.006953 7.632981 0.006917
1.000000 6.559682 0.062319 6.554295 0.062723 6.569847 0.103622 6.566485 0.104117
2.000000 3.951672 0.131313 3.938402 0.133254 2.791181 0.247931 2.781942 0.248723
3.000000 1.664578 0.287810 1.649856 0.288710 2.581915 0.725001 2.590609 0.722642
4.000000 3.034648 0.421921 3.030094 0.419042 1.132618 0.333369 1.127864 0.332654
5.000000 1.072902 0.107108 1.076506 0.110767 1.660877 0.272195 1.655289 0.271347
6.000000 0.936219 0.091461 0.935236 0.093697 1.938777 0.410830 1.934562 0.409762
7.000000 1.180453 0.079468 1.178483 0.078844 1.196219 0.411700 1.190469 0.412841
8.000000 1.203033 0.128552 1.201409 0.126831 0.703774 0.215353 0.697042 0.213553
9.000000 1.009599 0.146553 1.007665 0.145241 0.654822 0.192919 0.650936 0.194618
10.000000 0.732928 0.131131 0.730229 0.130703 0.707549 0.184404 0.704352 0.186318
11.000000 0.485061 0.099676 0.482028 0.099356 0.580383 0.203088 0.576473 0.205001
12.000000 0.345423 0.048301 0.343046 0.047020 0.435622 0.102596 0.430811 0.101517
13.000000 0.319256 0.039559 0.318106 0.038265 0.403547 0.117537 0.398105 0.115728
14.000000 0.340338 0.029348 0.339763 0.029356 0.397948 0.117108 0.393390 0.115491
15.000000 0.340585 0.033568 0.339788 0.033541 0.344802 0.085440 0.341682 0.083940
16.000000 0.292532 0.036464 0.291698 0.037187 0.285449 0.061539 0.283441 0.061069
17.000000 0.224571 0.034082 0.224128 0.034988 0.256724 0.064865 0.255299 0.065838
18.000000 0.186509 0.016042 0.186624 0.016669 0.249305 0.096685 0.247914 0.098036
19.000000 0.197177 0.015722 0.197663 0.015528 0.231904 0.051458 0.230338 0.051357
20.000000 0.218952 0.018601 0.219450 0.018341 0.200277 0.054811 0.198407 0.054150
21.000000 0.211333 0.025640 0.211566 0.025736 0.176871 0.048307 0.174855 0.047939
22.000000 0.178856 0.032174 0.178718 0.032258 0.168878 0.063289 0.167086 0.062904
23.000000 0.143299 0.027233 0.142919 0.027143 0.157544 0.044755 0.156104 0.044859
24.000000 0.117749 0.017515 0.117248 0.017502 0.145995 0.029194 0.144585 0.029522
25.000000 0.108615 0.010819 0.107883 0.011322 0.138608 0.023736 0.137002 0.023931
26.000000 0.111437 0.008289 0.110338 0.008522 0.130269 0.039722 0.128631 0.039889
27.000000 0.110544 0.007646 0.109183 0.007562 0.112472 0.021394 0.110901 0.021460
28.000000 0.100572 0.013078 0.099189 0.013086 0.103332 0.019756 0.101862 0.019700
29.000000 0.090333 0.012184 0.089093 0.012064 0.113356 0.027631 0.112048 0.027370
30.000000 0.084267 0.007558 0.083244 0.007503 0.105678 0.019983 0.104507 0.019621
31.000000 0.079868 0.004578 0.079059 0.004606 0.087822 0.012381 0.086768 0.012530
32.000000 0.075764 0.004972 0.075082 0.004841 0.087255 0.014767 0.086293 0.014997
33.000000 0.071063 0.004868 0.070414 0.004761 0.089948 0.022619 0.088979 0.022664
34.000000 0.064446 0.007147 0.063810 0.007098 0.082941 0.012049 0.081980 0.012050
35.000000 0.057158 0.005906 0.056561 0.005939 0.075099 0.008218 0.074129 0.008139
36.000000 0.052546 0.003533 0.051994 0.003598 0.071218 0.014683 0.070121 0.014661
37.000000 0.050861 0.002994 0.050337 0.002795 0.070711 0.014874 0.069518 0.014793
38.000000 0.048470 0.003360 0.047992 0.003253 0.068134 0.011334 0.066972 0.011286
39.000000 0.044101 0.004526 0.043715 0.004529 0.062542 0.009012 0.061432 0.008981
40.000000 0.040128 0.004620 0.039831 0.004590 0.059661 0.008707 0.058584 0.008709
41.000000 0.037677 0.003471 0.037396 0.003502 0.057630 0.010333 0.056600 0.010329
42.000000 0.036130 0.002651 0.035808 0.002670 0.054573 0.010304 0.053598 0.010270
43.000000 0.035023 0.003126 0.034686 0.003100 0.052214 0.007763 0.051296 0.007669
44.000000 0.033807 0.002795 0.033501 0.002718 0.050733 0.008634 0.049887 0.008503
45.000000 0.031767 0.002634 0.031496 0.002571 0.048952 0.008680 0.048148 0.008530
46.000000 0.029090 0.002741 0.028832 0.002723 0.046064 0.007693 0.045232 0.007449
47.000000 0.027364 0.002241 0.027104 0.002234 0.044835 0.008755 0.043964 0.008468
48.000000 0.026798 0.001849 0.026529 0.001776 0.043942 0.008602 0.043082 0.008347
49.000000 0.025859 0.002215 0.025604 0.002130 0.041275 0.006802 0.040458 0.006580
50.000000 0.024481 0.001895 0.024274 0.001835 0.039846 0.007049 0.039055 0.006768
51.000000 0.023216 0.001941 0.023066 0.001896 0.039149 0.008787 0.038362 0.008475
52.000000 0.021894 0.001856 0.021778 0.001799 0.037706 0.007652 0.036928 0.007363
53.000000 0.020979 0.001786 0.020858 0.001691 0.036046 0.005743 0.035292 0.005486
54.000000 0.020558 0.001539 0.020424 0.001446 0.034882 0.006889 0.034169 0.006678
55.000000 0.019679 0.001483 0.019551 0.001403 0.034113 0.007794 0.033446 0.007644
56.000000 0.018694 0.001757 0.018582 0.001685 0.032883 0.006304 0.032239 0.006179
57.000000 0.018081 0.001837 0.017973 0.001766 0.031733 0.005871 0.031099 0.005728
58.000000 0.017385 0.001707 0.017269 0.001620 0.030812 0.007016 0.030200 0.006884
59.000000 0.016876 0.001387 0.016749 0.001326 0.029705 0.006553 0.029117 0.006442
60.000000 0.016545 0.001196 0.016415 0.001158 0.028992 0.005948 0.028419 0.005840
61.000000 0.015911 0.001415 0.015790 0.001377 0.028311 0.006428 0.027747 0.006319
62.000000 0.015213 0.001622 0.015101 0.001568 0.027208 0.006213 0.026661 0.006097
63.000000 0.014782 0.001500 0.014680 0.001430 0.026411 0.005967 0.025888 0.005827
64.000000 0.014398 0.001262 0.014305 0.001200 0.025811 0.006264 0.025312 0.006120
65.000000 0.014061 0.001198 0.013973 0.001144 0.024851 0.006037 0.024373 0.005913
66.000000 0.013716 0.001262 0.013627 0.001204 0.024073 0.005677 0.023607 0.005555
67.000000 0.013167 0.001421 0.013073 0.001365 0.023593 0.005885 0.023126 0.005757
68.000000 0.012777 0.001359 0.012678 0.001307 0.022780 0.005825 0.022305 0.005684
69.000000 0.012555 0.001158 0.012454 0.001107 0.022058 0.005550 0.021578 0.005395
70.000000 0.012268 0.001142 0.012165 0.001098 0.021521 0.005491 0.021042 0.005340
71.000000 0.011966 0.001227 0.011863 0.001182 0.020972 0.005666 0.020505 0.005525
72.000000 0.011652 0.001250 0.011549 0.001199 0.020345 0.005485 0.019900 0.005346
73.000000 0.011387 0.001181 0.011285 0.001125 0.019744 0.005278 0.019316 0.005133
74.000000 0.011200 0.001111 0.011099 0.001053 0.019353 0.005403 0.018931 0.005251
75.000000 0.010984 0.001127 0.010884 0.001068 0.018742 0.005354 0.018324 0.005213
76.000000 0.010702 0.001186 0.010599 0.001128 0.018181 0.005126 0.017774 0.005006
77.000000 0.010465 0.001146 0.010355 0.001088 0.017846 0.005218 0.017451 0.005119
78.000000 0.010268 0.001091 0.010154 0.001035 0.017338 0.005110 0.016953 0.005012
79.000000 0.010093 0.001056 0.009983 0.001004 0.016812 0.004953 0.016432 0.004841
80.000000 0.009896 0.001066 0.009796 0.001021 0.016424 0.004999 0.016049 0.004881
81.000000 0.009689 0.001088 0.009597 0.001052 0.015998 0.004897 0.015630 0.004790
82.000000 0.009515 0.001048 0.009426 0.001016 0.015556 0.004786 0.015199 0.004694
